交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KCF,201501,54.3,54.4,54.2,54.3,0.4,0.74%,9,54.3,126,53.6,54.7,54.6,50.4,,
2015/1/5,KCF,201502,54.2,54.4,54.1,54.1,0.3,0.56%,24,54.1,19,53.6,54.6,54.5,52.5,,
2015/1/5,KCF,201503,-,-,-,-,-,-,-,54.5,3,-,55.8,54.1,53.8,,
2015/1/5,KCF,201506,-,-,-,-,-,-,-,54.4,0,-,55.8,-,-,,
2015/1/5,KCF,201509,-,-,-,-,-,-,-,54.7,0,-,55.8,-,-,,
2015/1/6,KCF,201501,53.3,53.7,53.3,53.7,-0.6,-1.10%,7,53.7,127,53.1,54.1,54.6,50.4,,
2015/1/6,KCF,201502,-,-,-,-,-,-,-,53.5,19,53.1,54,54.5,52.5,,
2015/1/6,KCF,201503,53.3,53.3,53.3,53.3,-1.2,-2.20%,2,53.3,1,-,-,54.1,53.3,,
2015/1/6,KCF,201506,-,-,-,-,-,-,-,53.8,0,-,-,-,-,,
2015/1/6,KCF,201509,-,-,-,-,-,-,-,54.1,0,-,-,-,-,,
2015/1/7,KCF,201501,53.1,53.1,52,52,-1.7,-3.17%,8,52.0,130,51.8,54.1,54.6,50.4,,
2015/1/7,KCF,201502,53.1,53.1,52,52.6,-0.9,-1.68%,26,52.6,14,51.9,54.2,54.5,52,,
2015/1/7,KCF,201503,53.3,53.3,53.3,53.3,0,0.00%,2,53.3,3,52.2,55.1,54.1,53.3,,
2015/1/7,KCF,201506,-,-,-,-,-,-,-,52.1,0,-,55.1,-,-,,
2015/1/7,KCF,201509,-,-,-,-,-,-,-,52.4,0,-,55.1,-,-,,
2015/1/8,KCF,201501,52.9,52.9,52.9,52.9,0.9,1.73%,2,52.9,130,52.8,53.3,54.6,50.4,,
2015/1/8,KCF,201502,-,-,-,-,-,-,-,53.0,14,52.7,53.2,54.5,52,,
2015/1/8,KCF,201503,-,-,-,-,-,-,-,54.2,3,-,54.5,54.1,53.3,,
2015/1/8,KCF,201506,-,-,-,-,-,-,-,53.0,0,-,54.5,-,-,,
2015/1/8,KCF,201509,-,-,-,-,-,-,-,53.3,0,-,54.5,-,-,,
2015/1/9,KCF,201501,52.9,53,52.8,53,0.1,0.19%,13,53.0,125,52.6,53.5,54.6,50.4,,
2015/1/9,KCF,201502,53.2,53.2,53.2,53.2,0.2,0.38%,2,53.2,14,52.5,53.4,54.5,52,,
2015/1/9,KCF,201503,-,-,-,-,-,-,-,54.3,3,-,54.2,54.1,53.3,,
2015/1/9,KCF,201506,-,-,-,-,-,-,-,53.1,0,-,54.6,-,-,,
2015/1/9,KCF,201509,-,-,-,-,-,-,-,53.4,0,-,54.6,-,-,,
2015/1/12,KCF,201501,52.3,52.3,52.3,52.3,-0.7,-1.32%,2,52.3,127,52,53.2,54.6,50.4,,
2015/1/12,KCF,201502,53.1,53.1,52.4,52.4,-0.8,-1.50%,3,52.4,15,51.9,53.1,54.5,52,,
2015/1/12,KCF,201503,-,-,-,-,-,-,-,53.6,3,-,53.7,54.1,53.3,,
2015/1/12,KCF,201506,-,-,-,-,-,-,-,52.4,0,-,54.5,-,-,,
