交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KGF,201501,67.1,68.5,67.1,68.5,1.6,2.39%,53,68.5,83,68.5,69.2,69.2,58.8,,
2015/1/5,KGF,201502,67.2,68.7,67.2,68.7,1.9,2.84%,17,68.7,26,68.5,69.2,68.7,63.6,,
2015/1/5,KGF,201503,-,-,-,-,-,-,-,68.8,6,-,-,66.8,66.3,,
2015/1/5,KGF,201506,-,-,-,-,-,-,-,69.0,0,-,-,-,-,,
2015/1/5,KGF,201509,-,-,-,-,-,-,-,69.4,0,-,-,-,-,,
2015/1/6,KGF,201501,68.3,68.3,67.6,67.8,-0.7,-1.02%,33,67.8,94,67.5,68.2,69.2,58.8,,
2015/1/6,KGF,201502,67.9,68.2,67.7,67.7,-1,-1.46%,16,67.7,31,67.5,68.3,68.7,63.6,,
2015/1/6,KGF,201503,-,-,-,-,-,-,-,68.1,6,-,-,66.8,66.3,,
2015/1/6,KGF,201506,-,-,-,-,-,-,-,68.3,0,-,-,-,-,,
2015/1/6,KGF,201509,-,-,-,-,-,-,-,68.7,0,-,-,-,-,,
2015/1/7,KGF,201501,67.4,68.3,66.8,68.1,0.3,0.44%,27,68.1,81,67,68.2,69.2,58.8,,
2015/1/7,KGF,201502,67.3,68.2,67.3,68.2,0.5,0.74%,6,68.2,32,67.1,68.3,68.7,63.6,,
2015/1/7,KGF,201503,-,-,-,-,-,-,-,68.4,6,-,-,66.8,66.3,,
2015/1/7,KGF,201506,-,-,-,-,-,-,-,68.6,0,-,-,-,-,,
2015/1/7,KGF,201509,-,-,-,-,-,-,-,69.0,0,-,-,-,-,,
2015/1/8,KGF,201501,67.9,67.9,67,67.1,-1,-1.47%,27,67.1,91,67,67.5,69.2,58.8,,
2015/1/8,KGF,201502,68,68.2,67.4,67.4,-0.8,-1.17%,10,67.4,35,66.9,67.6,68.7,63.6,,
2015/1/8,KGF,201503,-,-,-,-,-,-,-,67.4,6,-,-,66.8,66.3,,
2015/1/8,KGF,201506,-,-,-,-,-,-,-,67.6,0,-,-,-,-,,
2015/1/8,KGF,201509,-,-,-,-,-,-,-,68.0,0,-,-,-,-,,
2015/1/9,KGF,201501,67.8,69.3,67.8,69,1.9,2.83%,108,69.0,116,68.6,69,69.3,58.8,,
2015/1/9,KGF,201502,67.4,69.2,67.4,68.5,1.1,1.63%,53,68.5,30,68.3,69.1,69.2,63.6,,
2015/1/9,KGF,201503,68,68.7,68,68,0.6,0.89%,8,69.3,0,-,-,68.7,66.3,,
2015/1/9,KGF,201506,-,-,-,-,-,-,-,69.5,0,-,-,-,-,,
2015/1/9,KGF,201509,-,-,-,-,-,-,-,69.9,0,-,-,-,-,,
2015/1/12,KGF,201501,68.9,70.1,68.8,68.9,-0.1,-0.14%,169,68.9,104,68.3,68.9,70.1,58.8,,
2015/1/12,KGF,201502,68.9,69.9,68.7,68.9,0.4,0.58%,93,68.9,40,68.3,69,69.9,63.6,,
2015/1/12,KGF,201503,-,-,-,-,-,-,-,69.2,0,-,-,68.7,66.3,,
2015/1/12,KGF,201506,-,-,-,-,-,-,-,69.4,0,-,-,-,-,,
2015/1/12,KGF,201509,-,-,-,-,-,-,-,69.8,0,-,-,-,-,,
2015/1/13,KGF,201501,68.5,69.3,68.4,68.7,-0.2,-0.29%,20,68.7,108,68.4,69,70.1,58.8,,
2015/1/13,KGF,201502,68.5,69.1,68.5,68.7,-0.2,-0.29%,17,68.7,50,68.5,68.9,69.9,63.6,,
2015/1/13,KGF,201503,-,-,-,-,-,-,-,69.0,0,-,-,68.7,66.3,,
2015/1/13,KGF,201506,-,-,-,-,-,-,-,69.2,0,-,-,-,-,,
2015/1/13,KGF,201509,-,-,-,-,-,-,-,69.6,0,-,-,-,-,,
2015/1/14,KGF,201501,68.1,69.6,67.6,69.6,0.9,1.31%,59,69.3,77,69,69.5,70.1,58.8,,
2015/1/14,KGF,201502,67.8,69.1,67.8,69.1,0.4,0.58%,9,69.4,42,68.9,69.9,69.9,63.6,,
2015/1/14,KGF,201503,-,-,-,-,-,-,-,69.6,0,-,-,68.7,66.3,,
2015/1/14,KGF,201506,-,-,-,-,-,-,-,69.8,0,-,-,-,-,,
