交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KHF,201501,-,-,-,-,-,-,-,166.5,27,162.5,168.5,170,152.5,,
2015/1/5,KHF,201502,-,-,-,-,-,-,-,166.5,22,162,169,169.5,165,,
2015/1/5,KHF,201503,-,-,-,-,-,-,-,167.5,0,-,169.5,-,-,,
2015/1/5,KHF,201506,-,-,-,-,-,-,-,167.5,2,-,-,165.5,145,,
2015/1/5,KHF,201509,-,-,-,-,-,-,-,168.5,2,-,-,166,166,,
2015/1/6,KHF,201501,164,164,161.5,161.5,-5,-3.00%,6,161.5,22,160,162.5,170,152.5,,
2015/1/6,KHF,201502,163,163,163,163,-3.5,-2.10%,1,161.0,22,159.5,162.5,169.5,163,,
2015/1/6,KHF,201503,-,-,-,-,-,-,-,162.5,0,-,163.5,-,-,,
2015/1/6,KHF,201506,-,-,-,-,-,-,-,162.5,2,-,-,165.5,145,,
2015/1/6,KHF,201509,-,-,-,-,-,-,-,163.5,2,-,-,166,166,,
2015/1/7,KHF,201501,160,160,159,159,-2.5,-1.55%,4,159.0,21,157,160.5,170,152.5,,
2015/1/7,KHF,201502,161,161,159,159,-2,-1.24%,2,159.0,22,156.5,161,169.5,159,,
2015/1/7,KHF,201503,-,-,-,-,-,-,-,160.0,0,-,161.5,-,-,,
2015/1/7,KHF,201506,-,-,-,-,-,-,-,160.0,2,-,-,165.5,145,,
2015/1/7,KHF,201509,-,-,-,-,-,-,-,161.0,2,-,-,166,166,,
2015/1/8,KHF,201501,160.5,161.5,160.5,161,2,1.26%,3,161.0,20,160,163.5,170,152.5,,
2015/1/8,KHF,201502,-,-,-,-,-,-,-,161.0,22,160,164,169.5,159,,
2015/1/8,KHF,201503,-,-,-,-,-,-,-,162.0,0,-,164.5,-,-,,
2015/1/8,KHF,201506,-,-,-,-,-,-,-,162.0,2,-,-,165.5,145,,
2015/1/8,KHF,201509,-,-,-,-,-,-,-,163.0,2,-,-,166,166,,
2015/1/9,KHF,201501,165.5,165.5,162.5,162.5,1.5,0.93%,5,162.5,18,162.5,164.5,170,152.5,,
2015/1/9,KHF,201502,164,165,163,163,2,1.24%,12,163.0,18,162,165,169.5,159,,
2015/1/9,KHF,201503,-,-,-,-,-,-,-,163.5,0,-,165.5,-,-,,
2015/1/9,KHF,201506,-,-,-,-,-,-,-,163.5,2,-,-,165.5,145,,
2015/1/9,KHF,201509,-,-,-,-,-,-,-,164.5,2,-,-,166,166,,
2015/1/12,KHF,201501,162.5,162.5,162.5,162.5,0,0.00%,3,162.5,15,162.5,165,170,152.5,,
2015/1/12,KHF,201502,162,162,162,162,-1,-0.61%,7,162.0,24,162,164.5,169.5,159,,
2015/1/12,KHF,201503,-,-,-,-,-,-,-,163.5,0,-,-,-,-,,
2015/1/12,KHF,201506,-,-,-,-,-,-,-,163.5,2,-,-,165.5,145,,
2015/1/12,KHF,201509,-,-,-,-,-,-,-,164.5,2,-,-,166,166,,
2015/1/13,KHF,201501,-,-,-,-,-,-,-,162.5,15,161.5,165,170,152.5,,
2015/1/13,KHF,201502,162,162,162,162,0,0.00%,3,162.0,27,162,165,169.5,159,,
