交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/4/9,KO1,201504,61.2,61.2,60.6,61.1,-0.2,-0.33%,18,61.1,93,60.4,61.1,63.3,56.1,,
2015/4/9,KO1,201505,-,-,-,-,-,-,-,61.1,30,60.5,-,63,58.5,,
2015/4/9,KO1,201506,-,-,-,-,-,-,-,60.1,1,-,-,56.2,48.3,,
2015/4/9,KO1,201509,-,-,-,-,-,-,-,60.9,10,-,-,60.6,46,,
2015/4/10,KO1,201504,-,-,-,-,-,-,-,60.7,93,59,61.2,63.3,56.1,,
2015/4/10,KO1,201505,60.7,60.7,60.4,60.4,-0.7,-1.15%,8,60.7,33,58.2,60.9,63,58.5,,
2015/4/10,KO1,201506,-,-,-,-,-,-,-,59.7,1,-,-,56.2,48.3,,
2015/4/10,KO1,201509,-,-,-,-,-,-,-,60.5,10,-,-,60.6,46,,
2015/4/13,KO1,201504,59,62,59,60.9,0.2,0.33%,4,60.2,91,59,60.9,63.3,56.1,,
2015/4/13,KO1,201505,-,-,-,-,-,-,-,60.3,33,59.1,60.9,63,58.5,,
2015/4/13,KO1,201506,-,-,-,-,-,-,-,59.2,1,-,-,56.2,48.3,,
2015/4/13,KO1,201509,-,-,-,-,-,-,-,60.0,10,-,-,60.6,46,,
2015/4/14,KO1,201504,60.7,60.9,59.6,60.7,0.5,0.83%,16,60.7,75,60.5,60.8,63.3,56.1,,
2015/4/14,KO1,201505,-,-,-,-,-,-,-,60.8,33,60.5,-,63,58.5,,
2015/4/14,KO1,201506,-,-,-,-,-,-,-,59.7,1,-,-,56.2,48.3,,
2015/4/14,KO1,201509,-,-,-,-,-,-,-,60.5,10,-,-,60.6,46,,
2015/4/15,KO1,201504,60.3,60.3,60.3,60.3,-0.4,-0.66%,2,0.0,70,59.5,60.9,63.3,56.1,,
2015/4/15,KO1,201505,-,-,-,-,-,-,-,60.2,33,-,-,63,58.5,,
2015/4/15,KO1,201506,-,-,-,-,-,-,-,59.3,1,-,-,56.2,48.3,,
2015/4/15,KO1,201509,-,-,-,-,-,-,-,60.1,10,-,-,60.6,46,,
2015/4/16,KO1,201505,-,-,-,-,-,-,-,60.7,33,58,-,63,58.5,,
2015/4/16,KO1,201506,-,-,-,-,-,-,-,60.6,1,-,-,56.2,48.3,,
2015/4/16,KO1,201509,-,-,-,-,-,-,-,60.6,10,-,-,60.6,46,,
2015/4/17,KO1,201505,60.9,60.9,60.9,60.9,0.2,0.33%,5,60.4,28,60.1,-,63,58.5,,
2015/4/17,KO1,201506,-,-,-,-,-,-,-,60.3,1,-,-,56.2,48.3,,
2015/4/17,KO1,201509,-,-,-,-,-,-,-,60.3,10,-,-,60.6,46,,
2015/4/20,KO1,201505,-,-,-,-,-,-,-,59.9,28,59.8,-,63,58.5,,
2015/4/20,KO1,201506,-,-,-,-,-,-,-,59.8,1,-,-,56.2,48.3,,
2015/4/20,KO1,201509,-,-,-,-,-,-,-,59.8,10,-,-,60.6,46,,
2015/4/21,KO1,201505,59.5,59.5,59.5,59.5,-0.4,-0.67%,5,57.9,33,58.4,59.5,63,58.5,,
2015/4/21,KO1,201506,-,-,-,-,-,-,-,58.6,1,-,-,56.2,48.3,,
2015/4/21,KO1,201509,-,-,-,-,-,-,-,57.8,10,-,-,60.6,46,,
2015/4/22,KO1,201505,58.6,58.7,58.6,58.7,0.8,1.38%,5,58.8,33,58.2,-,63,58.5,,
2015/4/22,KO1,201506,-,-,-,-,-,-,-,59.5,1,-,-,56.2,48.3,,
2015/4/22,KO1,201509,-,-,-,-,-,-,-,58.7,10,-,-,60.6,46,,
2015/4/23,KO1,201505,58.8,58.8,58.8,58.8,0,0.00%,1,58.7,33,-,-,63,58.5,,
2015/4/23,KO1,201506,-,-,-,-,-,-,-,58.8,1,-,-,56.2,48.3,,
2015/4/23,KO1,201509,-,-,-,-,-,-,-,58.6,10,-,-,60.6,46,,
2015/4/24,KO1,201505,57.7,57.7,57.7,57.7,-1,-1.70%,2,58.1,31,57.8,58.1,63,57.7,,
2015/4/24,KO1,201506,-,-,-,-,-,-,-,58.0,1,57.9,58.2,56.2,48.3,,
2015/4/24,KO1,201509,-,-,-,-,-,-,-,58.0,10,-,-,60.6,46,,
2015/4/27,KO1,201505,-,-,-,-,-,-,-,57.8,31,-,-,63,57.7,,
2015/4/27,KO1,201506,-,-,-,-,-,-,-,57.9,1,-,-,56.2,48.3,,
2015/4/27,KO1,201509,-,-,-,-,-,-,-,57.7,10,-,-,60.6,46,,
2015/4/28,KO1,201505,58.3,58.3,58.3,58.3,0.5,0.87%,2,58.7,29,57.5,58.8,63,57.7,,
2015/4/28,KO1,201506,-,-,-,-,-,-,-,58.5,1,-,-,56.2,48.3,,
2015/4/28,KO1,201509,-,-,-,-,-,-,-,58.6,10,-,-,60.6,46,,
2015/4/29,KO1,201505,-,-,-,-,-,-,-,58.3,29,-,-,63,57.7,,
2015/4/29,KO1,201506,-,-,-,-,-,-,-,58.1,1,-,-,56.2,48.3,,
2015/4/29,KO1,201509,-,-,-,-,-,-,-,58.2,10,-,-,60.6,46,,
2015/4/30,KO1,201505,57.5,57.5,57.5,57.5,-0.8,-1.37%,5,57.4,34,57.5,-,63,57.5,,
2015/4/30,KO1,201506,-,-,-,-,-,-,-,58.0,1,-,-,56.2,48.3,,
2015/4/30,KO1,201509,-,-,-,-,-,-,-,57.8,10,-,-,60.6,46,,
2015/5/4,KO1,201505,57.4,57.4,57.4,57.4,0,0.00%,10,56.8,34,56.5,-,63,57.4,,
2015/5/4,KO1,201506,-,-,-,-,-,-,-,56.8,1,-,-,56.2,48.3,,
2015/5/4,KO1,201509,-,-,-,-,-,-,-,57.2,10,-,-,60.6,46,,
2015/5/5,KO1,201505,57.2,57.2,57.2,57.2,0.4,0.70%,3,57.2,36,56.8,-,63,57.2,,
2015/5/5,KO1,201506,-,-,-,-,-,-,-,57.3,1,-,-,56.2,48.3,,
2015/5/5,KO1,201509,-,-,-,-,-,-,-,57.6,10,-,-,60.6,46,,
2015/5/6,KO1,201505,57,57,57,57,-0.2,-0.35%,1,57.3,37,-,-,63,57,,
2015/5/6,KO1,201506,-,-,-,-,-,-,-,57.3,1,-,-,56.2,48.3,,
2015/5/6,KO1,201509,-,-,-,-,-,-,-,57.7,10,-,-,60.6,46,,
2015/5/7,KO1,201505,-,-,-,-,-,-,-,58.0,37,-,58.5,63,57,,
2015/5/7,KO1,201506,-,-,-,-,-,-,-,58.0,1,-,-,56.2,48.3,,
2015/5/7,KO1,201509,-,-,-,-,-,-,-,58.4,10,-,-,60.6,46,,
2015/5/8,KO1,201505,57.8,57.8,57.8,57.8,-0.2,-0.34%,3,57.6,40,-,58.4,63,57,,
2015/5/8,KO1,201506,-,-,-,-,-,-,-,57.6,1,-,-,56.2,48.3,,
2015/5/8,KO1,201509,-,-,-,-,-,-,-,58.0,10,-,-,60.6,46,,
2015/5/11,KO1,201505,58.6,58.6,57.8,57.8,0.2,0.35%,3,58.3,40,55,-,63,57,,
2015/5/11,KO1,201506,-,-,-,-,-,-,-,58.0,1,-,-,56.2,48.3,,
2015/5/11,KO1,201509,-,-,-,-,-,-,-,58.7,10,-,-,60.6,46,,
2015/5/12,KO1,201505,58.3,58.3,58.3,58.3,0,0.00%,1,58.3,40,58.2,-,63,57,,
2015/5/12,KO1,201506,58,58,58,58,0,0.00%,1,58.3,2,-,-,58,48.3,,
2015/5/12,KO1,201509,-,-,-,-,-,-,-,58.7,10,-,-,60.6,46,,
2015/5/13,KO1,201505,-,-,-,-,-,-,-,58.2,40,58,-,63,57,,
2015/5/13,KO1,201506,-,-,-,-,-,-,-,58.2,2,-,-,58,48.3,,
2015/5/13,KO1,201509,-,-,-,-,-,-,-,58.6,10,-,-,60.6,46,,
2015/5/14,KO1,201505,57.9,58.7,57.9,58.7,0.5,0.86%,6,59.9,45,-,-,63,57,,
2015/5/14,KO1,201506,-,-,-,-,-,-,-,59.8,2,-,-,58,48.3,,
2015/5/14,KO1,201509,-,-,-,-,-,-,-,60.3,10,-,-,60.6,46,,
2015/5/15,KO1,201505,60,60,59.7,59.7,-0.2,-0.33%,2,61.6,45,-,-,63,57,,
2015/5/15,KO1,201506,-,-,-,-,-,-,-,61.2,2,-,-,58,48.3,,
2015/5/15,KO1,201509,-,-,-,-,-,-,-,62.0,10,-,-,60.6,46,,
2015/5/18,KO1,201505,61.3,61.4,61.3,61.3,-0.3,-0.49%,4,61.1,41,61,-,63,57,,
2015/5/18,KO1,201506,-,-,-,-,-,-,-,61.3,2,-,-,58,48.3,,
2015/5/18,KO1,201509,-,-,-,-,-,-,-,61.5,10,-,-,60.6,46,,
