交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/27,KT1,201509,41.1,43.3,41.1,43.3,3.65,9.21%,14,43.3,11,35.8,-,72.7,38,,
2015/8/27,KT1,201510,-,-,-,-,-,-,-,42.15,1,38.5,-,40,40,,
2015/8/28,KT1,201509,-,-,-,-,-,-,-,47.1,11,-,-,72.7,38,,
2015/8/28,KT1,201510,-,-,-,-,-,-,-,45.95,1,-,-,40,40,,
2015/8/31,KT1,201509,47.15,47.7,47.15,47.7,0.6,1.27%,2,47.7,10,46.5,-,72.7,38,,
2015/8/31,KT1,201510,-,-,-,-,-,-,-,47.35,1,-,-,40,40,,
2015/9/1,KT1,201509,-,-,-,-,-,-,-,47.15,10,44.5,48.45,72.7,38,,
2015/9/1,KT1,201510,-,-,-,-,-,-,-,46.8,1,-,-,40,40,,
2015/9/2,KT1,201509,46.65,46.8,46.65,46.8,-0.35,-0.74%,2,47.05,9,46,47.6,72.7,38,,
2015/9/2,KT1,201510,-,-,-,-,-,-,-,46.7,1,-,-,40,40,,
2015/9/3,KT1,201509,47,47,46.9,46.9,-0.15,-0.32%,4,46.9,6,-,47.4,72.7,38,,
2015/9/3,KT1,201510,-,-,-,-,-,-,-,46.55,1,-,-,40,40,,
2015/9/4,KT1,201509,47.25,47.25,47.25,47.25,0.35,0.75%,1,46.7,6,46,46.9,72.7,38,,
2015/9/4,KT1,201510,-,-,-,-,-,-,-,46.7,1,-,-,40,40,,
2015/9/7,KT1,201509,-,-,-,-,-,-,-,46.7,6,46.25,-,72.7,38,,
2015/9/7,KT1,201510,-,-,-,-,-,-,-,46.7,1,-,-,40,40,,
2015/9/8,KT1,201509,-,-,-,-,-,-,-,46.7,6,46.8,-,72.7,38,,
2015/9/8,KT1,201510,46.7,46.7,46.7,46.7,0,0.00%,2,46.7,3,-,-,46.7,40,,
2015/9/9,KT1,201509,47.5,47.55,47.5,47.55,0.85,1.82%,3,47.55,5,-,48.35,72.7,38,,
2015/9/9,KT1,201510,-,-,-,-,-,-,-,47.55,3,-,-,46.7,40,,
2015/9/10,KT1,201509,-,-,-,-,-,-,-,48.3,5,48,48.8,72.7,38,,
2015/9/10,KT1,201510,-,-,-,-,-,-,-,48.3,3,-,-,46.7,40,,
2015/9/11,KT1,201509,-,-,-,-,-,-,-,48.15,5,47.45,-,72.7,38,,
2015/9/11,KT1,201510,-,-,-,-,-,-,-,48.15,3,-,-,46.7,40,,
2015/9/14,KT1,201509,48,48,48,48,-0.15,-0.31%,1,47.1,4,46.35,-,72.7,38,,
2015/9/14,KT1,201510,-,-,-,-,-,-,-,47.1,3,-,-,46.7,40,,
2015/9/15,KT1,201509,-,-,-,-,-,-,-,46.1,4,45.35,46.25,72.7,38,,
2015/9/15,KT1,201510,-,-,-,-,-,-,-,46.1,3,-,-,46.7,40,,
2015/9/16,KT1,201509,-,-,-,-,-,-,-,0.0,4,-,-,72.7,38,,
2015/9/16,KT1,201510,-,-,-,-,-,-,-,46.65,3,-,-,46.7,40,,
2015/9/17,KT1,201510,-,-,-,-,-,-,-,46.6,3,-,-,46.7,40,,
2015/9/18,KT1,201510,-,-,-,-,-,-,-,47.6,3,-,-,46.7,40,,
2015/9/21,KT1,201510,-,-,-,-,-,-,-,46.3,3,-,47.15,46.7,40,,
2015/9/22,KT1,201510,-,-,-,-,-,-,-,46.05,3,-,-,46.7,40,,
2015/9/23,KT1,201510,-,-,-,-,-,-,-,45.2,3,44.75,45.45,46.7,40,,
2015/9/24,KT1,201510,-,-,-,-,-,-,-,43.4,3,42.7,43.4,46.7,40,,
2015/9/25,KT1,201510,-,-,-,-,-,-,-,43.55,3,43.2,43.9,46.7,40,,
2015/9/30,KT1,201510,-,-,-,-,-,-,-,44.3,3,43.8,44.4,46.7,40,,
2015/10/1,KT1,201510,-,-,-,-,-,-,-,44.2,3,44.05,-,46.7,40,,
2015/10/2,KT1,201510,-,-,-,-,-,-,-,45.4,3,45.05,45.7,46.7,40,,
2015/10/5,KT1,201510,-,-,-,-,-,-,-,45.6,3,-,45.95,46.7,40,,
2015/10/6,KT1,201510,-,-,-,-,-,-,-,50.0,3,-,-,46.7,40,,
2015/10/7,KT1,201510,51.9,51.9,51.9,51.9,1.9,3.80%,1,49.45,3,49,49.85,51.9,40,,
2015/10/8,KT1,201510,-,-,-,-,-,-,-,47.65,3,47.2,48.05,51.9,40,,
2015/10/12,KT1,201510,-,-,-,-,-,-,-,49.55,3,-,50,51.9,40,,
2015/10/13,KT1,201510,-,-,-,-,-,-,-,49.35,3,49.25,50.1,51.9,40,,
2015/10/14,KT1,201510,-,-,-,-,-,-,-,49.4,3,-,49.9,51.9,40,,
2015/10/15,KT1,201510,-,-,-,-,-,-,-,50.0,3,49.55,-,51.9,40,,
2015/10/16,KT1,201510,-,-,-,-,-,-,-,53.7,3,-,53.8,51.9,40,,
2015/10/19,KT1,201510,-,-,-,-,-,-,-,58.9,3,-,-,51.9,40,,
2015/10/20,KT1,201510,-,-,-,-,-,-,-,58.4,3,57.6,58.5,51.9,40,,
2015/10/21,KT1,201510,-,-,-,-,-,-,-,0.0,3,-,-,51.9,40,,
