交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KW1,201503,-,-,-,-,-,-,-,19.7,1,-,-,22.1,16.3,,
2015/1/6,KW1,201503,-,-,-,-,-,-,-,19.4,1,-,-,22.1,16.3,,
2015/1/7,KW1,201503,-,-,-,-,-,-,-,19.4,1,-,-,22.1,16.3,,
2015/1/8,KW1,201503,-,-,-,-,-,-,-,19.4,1,-,-,22.1,16.3,,
2015/1/9,KW1,201503,-,-,-,-,-,-,-,19.35,1,-,-,22.1,16.3,,
2015/1/12,KW1,201503,-,-,-,-,-,-,-,19.4,1,-,-,22.1,16.3,,
2015/1/13,KW1,201503,-,-,-,-,-,-,-,19.4,1,-,-,22.1,16.3,,
2015/1/14,KW1,201503,-,-,-,-,-,-,-,19.2,1,-,-,22.1,16.3,,
2015/1/15,KW1,201503,-,-,-,-,-,-,-,19.2,1,-,-,22.1,16.3,,
2015/1/16,KW1,201503,-,-,-,-,-,-,-,18.7,1,-,-,22.1,16.3,,
2015/1/19,KW1,201503,-,-,-,-,-,-,-,18.55,1,-,-,22.1,16.3,,
2015/1/20,KW1,201503,-,-,-,-,-,-,-,18.75,1,-,-,22.1,16.3,,
2015/1/21,KW1,201503,-,-,-,-,-,-,-,18.45,1,18.15,18.6,22.1,16.3,,
2015/1/22,KW1,201503,-,-,-,-,-,-,-,18.85,1,18.6,19.05,22.1,16.3,,
2015/1/23,KW1,201503,-,-,-,-,-,-,-,19.0,1,18.8,19.3,22.1,16.3,,
2015/1/26,KW1,201503,18.9,18.9,18.9,18.9,-0.1,-0.53%,5,18.9,6,18.75,19.2,22.1,16.3,,
2015/1/27,KW1,201503,18.85,18.85,18.85,18.85,-0.05,-0.26%,5,18.85,11,-,19.1,22.1,16.3,,
2015/1/28,KW1,201503,-,-,-,-,-,-,-,18.9,11,18.75,-,22.1,16.3,,
2015/1/29,KW1,201503,-,-,-,-,-,-,-,18.7,11,18.4,18.85,22.1,16.3,,
2015/1/30,KW1,201503,18.6,18.6,18.6,18.6,-0.1,-0.53%,5,18.65,6,18.45,18.95,22.1,16.3,,
2015/2/2,KW1,201503,18.7,18.7,18.7,18.7,0.05,0.27%,10,18.45,10,18.4,-,22.1,16.3,,
2015/2/3,KW1,201503,18.55,18.55,18.55,18.55,0.1,0.54%,10,18.55,6,18.35,18.8,22.1,16.3,,
2015/2/4,KW1,201503,-,-,-,-,-,-,-,18.45,6,18.2,18.65,22.1,16.3,,
2015/2/5,KW1,201503,18.1,18.1,18.1,18.1,-0.35,-1.90%,10,18.1,5,18,18.45,22.1,16.3,,
2015/2/6,KW1,201503,18.25,18.3,18.1,18.1,0,0.00%,35,18.1,11,17.9,18.35,22.1,16.3,,
2015/2/9,KW1,201503,18.2,18.2,18.1,18.15,0.05,0.28%,15,18.1,6,17.95,18.4,22.1,16.3,,
2015/2/10,KW1,201503,18.15,18.15,18.15,18.15,0.05,0.28%,5,18.1,5,18,18.45,22.1,16.3,,
2015/2/11,KW1,201503,17.95,17.95,17.9,17.9,-0.2,-1.10%,10,18.0,10,17.8,18.25,22.1,16.3,,
2015/2/12,KW1,201503,-,-,-,-,-,-,-,17.95,10,17.7,18.15,22.1,16.3,,
2015/2/13,KW1,201503,-,-,-,-,-,-,-,18.0,10,17.6,-,22.1,16.3,,
2015/2/24,KW1,201503,17.9,17.9,17.9,17.9,-0.1,-0.56%,5,18.0,5,17.7,18.15,22.1,16.3,,
2015/2/25,KW1,201503,-,-,-,-,-,-,-,18.05,5,17.75,18.2,22.1,16.3,,
2015/2/26,KW1,201503,-,-,-,-,-,-,-,18.0,5,17.75,18.2,22.1,16.3,,
2015/3/2,KW1,201503,17.95,18.15,17.95,18.05,0.05,0.28%,30,18.0,15,17.8,18.25,22.1,16.3,,
2015/3/3,KW1,201503,-,-,-,-,-,-,-,18.0,15,17.75,18.2,22.1,16.3,,
2015/3/4,KW1,201503,18.2,18.45,18.2,18.45,0.45,2.50%,10,18.6,25,18.4,18.85,22.1,16.3,,
2015/3/5,KW1,201503,18.65,18.75,18.65,18.75,0.15,0.81%,15,18.75,20,18.35,18.8,22.1,16.3,,
2015/3/6,KW1,201503,-,-,-,-,-,-,-,18.6,20,-,18.8,22.1,16.3,,
2015/3/9,KW1,201503,18.45,18.5,18.4,18.4,-0.2,-1.08%,15,18.4,20,18.1,-,22.1,16.3,,
2015/3/10,KW1,201503,18.6,18.6,18.6,18.6,0.2,1.09%,5,18.35,15,18.1,18.55,22.1,16.3,,
2015/3/11,KW1,201503,18.3,18.65,18.3,18.65,0.3,1.63%,15,18.65,20,18.25,18.75,22.1,16.3,,
2015/3/12,KW1,201503,-,-,-,-,-,-,-,18.4,20,18.15,18.6,22.1,16.3,,
2015/3/13,KW1,201503,18.65,18.65,18.65,18.65,0.25,1.36%,10,18.65,20,18.4,18.9,22.1,16.3,,
2015/3/16,KW1,201503,-,-,-,-,-,-,-,18.35,20,18.15,18.6,22.1,16.3,,
2015/3/17,KW1,201503,-,-,-,-,-,-,-,18.3,20,18.05,18.5,22.1,16.3,,
2015/3/18,KW1,201503,-,-,-,-,-,-,-,0.0,20,-,-,22.1,16.3,,
