交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KWF,201501,19.4,19.9,19.4,19.9,0.2,1.02%,7,19.7,41,19.45,19.95,20.25,17.4,,
2015/1/5,KWF,201502,19.5,19.55,19.5,19.55,-0.15,-0.76%,15,19.65,28,19.4,19.9,20.2,18.25,,
2015/1/5,KWF,201503,-,-,-,-,-,-,-,19.7,3,-,-,21.55,16.1,,
2015/1/5,KWF,201506,-,-,-,-,-,-,-,19.75,3,-,-,21.55,21.55,,
2015/1/5,KWF,201509,-,-,-,-,-,-,-,19.8,0,-,-,-,-,,
2015/1/6,KWF,201501,19.45,19.45,19.4,19.4,-0.3,-1.52%,15,19.4,46,19.05,19.4,20.25,17.4,,
2015/1/6,KWF,201502,19.4,19.4,19.4,19.4,-0.25,-1.27%,10,19.4,35,19.1,19.45,20.2,18.25,,
2015/1/6,KWF,201503,-,-,-,-,-,-,-,19.4,3,-,-,21.55,16.1,,
2015/1/6,KWF,201506,-,-,-,-,-,-,-,19.45,3,-,-,21.55,21.55,,
2015/1/6,KWF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/7,KWF,201501,19.3,19.4,19.3,19.4,0,0.00%,6,19.4,40,19.05,19.55,20.25,17.4,,
2015/1/7,KWF,201502,-,-,-,-,-,-,-,19.4,35,19.05,19.5,20.2,18.25,,
2015/1/7,KWF,201503,-,-,-,-,-,-,-,19.4,3,-,-,21.55,16.1,,
2015/1/7,KWF,201506,-,-,-,-,-,-,-,19.45,3,-,-,21.55,21.55,,
2015/1/7,KWF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/8,KWF,201501,-,-,-,-,-,-,-,19.4,40,19.25,19.75,20.25,17.4,,
2015/1/8,KWF,201502,19.45,19.45,19.45,19.45,0.05,0.26%,1,19.45,35,19.25,19.7,20.2,18.25,,
2015/1/8,KWF,201503,-,-,-,-,-,-,-,19.4,3,-,-,21.55,16.1,,
2015/1/8,KWF,201506,-,-,-,-,-,-,-,19.45,3,-,-,21.55,21.55,,
2015/1/8,KWF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/9,KWF,201501,19.35,19.35,19.35,19.35,-0.05,-0.26%,1,19.35,40,19.2,19.7,20.25,17.4,,
2015/1/9,KWF,201502,-,-,-,-,-,-,-,19.4,35,19.2,19.65,20.2,18.25,,
2015/1/9,KWF,201503,-,-,-,-,-,-,-,19.35,3,-,-,21.55,16.1,,
2015/1/9,KWF,201506,-,-,-,-,-,-,-,19.4,3,-,-,21.55,21.55,,
2015/1/9,KWF,201509,-,-,-,-,-,-,-,19.45,0,-,-,-,-,,
2015/1/12,KWF,201501,19.4,19.4,19.4,19.4,0.05,0.26%,5,19.4,35,18.45,19.55,20.25,17.4,,
2015/1/12,KWF,201502,19.4,19.4,19.4,19.4,0,0.00%,7,19.4,35,19,19.5,20.2,18.25,,
2015/1/12,KWF,201503,-,-,-,-,-,-,-,19.4,3,-,-,21.55,16.1,,
2015/1/12,KWF,201506,-,-,-,-,-,-,-,19.45,3,-,-,21.55,21.55,,
2015/1/12,KWF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/13,KWF,201501,19.4,19.4,19.4,19.4,0,0.00%,5,19.4,40,19.2,19.7,20.25,17.4,,
2015/1/13,KWF,201502,19.45,19.45,19.35,19.35,-0.05,-0.26%,7,19.35,32,19.3,19.65,20.2,18.25,,
2015/1/13,KWF,201503,-,-,-,-,-,-,-,19.4,3,-,-,21.55,16.1,,
2015/1/13,KWF,201506,-,-,-,-,-,-,-,19.45,3,-,-,21.55,21.55,,
2015/1/13,KWF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/14,KWF,201501,-,-,-,-,-,-,-,19.2,40,18.95,19.4,20.25,17.4,,
2015/1/14,KWF,201502,-,-,-,-,-,-,-,19.15,32,18.95,19.35,20.2,18.25,,
