交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/11/04,LE1,201911  ,448,460.5,446,454.5,11.5,2.60%,476.0,455,1205,454,456,496,411.5,,一般,,
2019/11/04,LE1,201912  ,452,458,451,453,11,2.49%,43.0,454.5,241,452.5,455,487.5,304.5,,一般,,
2019/11/04,LE1,202003  ,-,-,-,-,-,-,0.0,451,1,-,-,451.5,396.5,,一般,,
2019/11/05,LE1,201911  ,459.5,480,455,476,21,4.62%,364.0,476,1119,475,476.5,496,411.5,,一般,,
2019/11/05,LE1,201912  ,464.5,476.5,463,476.5,22,4.84%,32.0,474,232,473.5,475.5,487.5,304.5,,一般,,
2019/11/05,LE1,202003  ,-,-,-,-,-,-,0.0,474,1,470,-,451.5,396.5,,一般,,
2019/11/06,LE1,201911  ,474,476.5,460.5,463,-13,-2.73%,103.0,464.5,1100,463.5,464.5,496,411.5,,一般,,
2019/11/06,LE1,201912  ,475,475,460,463,-11,-2.32%,46.0,463,229,462,463.5,487.5,304.5,,一般,,
2019/11/06,LE1,202003  ,-,-,-,-,-,-,0.0,460.5,1,452,-,451.5,396.5,,一般,,
2019/11/07,LE1,201911  ,462.5,463,441,450.5,-14,-3.01%,140.0,450,1055,450.5,451,496,411.5,,一般,,
2019/11/07,LE1,201912  ,460,460,443,443,-20,-4.32%,15.0,449,235,449,450.5,487.5,304.5,,一般,,
2019/11/07,LE1,202003  ,-,-,-,-,-,-,0.0,446,1,-,-,451.5,396.5,,一般,,
2019/11/08,LE1,201911  ,447,450.5,444,447,-3,-0.67%,57.0,446.5,1047,445.5,453,496,411.5,,一般,,
2019/11/08,LE1,201912  ,443.5,449,443.5,449,0,0.00%,2.0,448.5,236,444,453,487.5,304.5,,一般,,
2019/11/08,LE1,202003  ,-,-,-,-,-,-,0.0,446,1,-,-,451.5,396.5,,一般,,
2019/11/11,LE1,201911  ,443,443,419.5,423.5,-23,-5.15%,373.0,423.5,769,423.5,424,496,411.5,,一般,,
2019/11/11,LE1,201912  ,431,431,422.5,422.5,-26,-5.80%,17.0,422.5,229,422,422.5,487.5,304.5,,一般,,
2019/11/11,LE1,202003  ,-,-,-,-,-,-,0.0,420,1,-,-,451.5,396.5,,一般,,
2019/11/12,LE1,201911  ,424,432,422,432,8.5,2.01%,20.0,432,763,428,432.5,496,411.5,,一般,,
2019/11/12,LE1,201912  ,422.5,424,422.5,424,1.5,0.36%,6.0,429.5,226,427,431.5,487.5,304.5,,一般,,
2019/11/12,LE1,202003  ,-,-,-,-,-,-,0.0,426,1,-,-,451.5,396.5,,一般,,
2019/11/13,LE1,201911  ,426,434.5,425,425.5,-6.5,-1.50%,22.0,427,757,424.5,428,496,411.5,,一般,,
2019/11/13,LE1,201912  ,422.5,425,422.5,425,-4.5,-1.05%,9.0,423.5,226,423,427,487.5,304.5,,一般,,
2019/11/13,LE1,202003  ,-,-,-,-,-,-,0.0,423,1,-,-,451.5,396.5,,一般,,
2019/11/14,LE1,201911  ,435.5,435.5,424.5,424.5,-2.5,-0.59%,29.0,424.5,747,424.5,425.5,496,411.5,,一般,,
2019/11/14,LE1,201912  ,428.5,428.5,423,423,-0.5,-0.12%,5.0,423,227,423,424.5,487.5,304.5,,一般,,
2019/11/14,LE1,202003  ,-,-,-,-,-,-,0.0,419.5,1,-,-,451.5,396.5,,一般,,
2019/11/15,LE1,201911  ,428.5,428.5,426.5,428,3.5,0.82%,9.0,427.5,743,425.5,429,496,411.5,,一般,,
2019/11/15,LE1,201912  ,423,423.5,423,423.5,0.5,0.12%,4.0,426,228,424.5,427.5,487.5,304.5,,一般,,
2019/11/15,LE1,202003  ,-,-,-,-,-,-,0.0,422.5,1,-,-,451.5,396.5,,一般,,
2019/11/18,LE1,201911  ,419.5,421.5,418,419,-8.5,-1.99%,27.0,423.5,733,419,429.5,496,411.5,,一般,,
2019/11/18,LE1,201912  ,418.5,420,417,420,-6,-1.41%,8.0,422.5,225,417.5,428,487.5,304.5,,一般,,
2019/11/18,LE1,202003  ,-,-,-,-,-,-,0.0,419,1,-,-,451.5,396.5,,一般,,
2019/11/19,LE1,201911  ,421,426.5,421,426,2.5,0.59%,54.0,426,697,425.5,429.5,496,411.5,,一般,,
2019/11/19,LE1,201912  ,424,424,424,424,1.5,0.36%,28.0,425,243,424,428,487.5,304.5,,一般,,
2019/11/19,LE1,202003  ,-,-,-,-,-,-,0.0,421.5,1,-,-,451.5,396.5,,一般,,
2019/11/20,LE1,201911  ,426,426,409.5,410,-16,-3.76%,184.0,0,606,410,410.5,496,409.5,,一般,,
2019/11/20,LE1,201912  ,421.5,421.5,406.5,406.5,-18.5,-4.35%,35.0,406,254,406,407,487.5,304.5,,一般,,
2019/11/20,LE1,202003  ,-,-,-,-,-,-,0.0,404.5,1,-,-,451.5,396.5,,一般,,
2019/11/21,LE1,201912  ,397.5,415.5,397.5,415.5,9.5,2.34%,19.0,416,254,415,416,487.5,304.5,,一般,,
2019/11/21,LE1,202003  ,-,-,-,-,-,-,0.0,414.5,1,-,-,451.5,396.5,,一般,,
2019/11/22,LE1,201912  ,414,414,409,409,-7,-1.68%,20.0,409,243,409,410,487.5,304.5,,一般,,
2019/11/22,LE1,202003  ,-,-,-,-,-,-,0.0,407.5,1,-,-,451.5,396.5,,一般,,
2019/11/25,LE1,201912  ,411.5,416.5,410.5,411.5,2.5,0.61%,15.0,412.5,241,412,413,487.5,304.5,,一般,,
2019/11/25,LE1,202003  ,-,-,-,-,-,-,0.0,411,1,-,-,451.5,396.5,,一般,,
2019/11/26,LE1,201912  ,415,415.5,412.5,413.5,1,0.24%,8.0,414,241,413.5,414.5,487.5,304.5,,一般,,
2019/11/26,LE1,202003  ,-,-,-,-,-,-,0.0,410.5,1,-,-,451.5,396.5,,一般,,
2019/11/27,LE1,201912  ,422,422.5,420,422,8,1.93%,9.0,421,241,420.5,422,487.5,304.5,,一般,,
2019/11/27,LE1,202003  ,-,-,-,-,-,-,0.0,419,1,-,-,451.5,396.5,,一般,,
2019/11/28,LE1,201912  ,418,418,418,418,-3,-0.71%,1.0,410.5,242,410.5,411.5,487.5,304.5,,一般,,
2019/11/28,LE1,202003  ,-,-,-,-,-,-,0.0,411,1,-,-,451.5,396.5,,一般,,
2019/11/29,LE1,201912  ,416,416,409,409,-1.5,-0.37%,4.0,410,242,410,411,487.5,304.5,,一般,,
2019/11/29,LE1,202003  ,-,-,-,-,-,-,0.0,408,1,-,-,451.5,396.5,,一般,,
2019/11/04,LE1,201911/201912     ,-1.99,-1.14,-1.99,-1.16,-,-,3.0,-,-,-1.18,-1.02,-0.64,-1.99,,一般,10.0,
