交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LI1,201503,-,-,-,-,-,-,-,71.6,2,-,-,92.5,82.5,,
2015/1/6,LI1,201503,-,-,-,-,-,-,-,69.9,2,-,-,92.5,82.5,,
2015/1/7,LI1,201503,-,-,-,-,-,-,-,71.7,2,-,-,92.5,82.5,,
2015/1/8,LI1,201503,-,-,-,-,-,-,-,72.7,2,-,-,92.5,82.5,,
2015/1/9,LI1,201503,-,-,-,-,-,-,-,72.3,2,-,-,92.5,82.5,,
2015/1/12,LI1,201503,-,-,-,-,-,-,-,72.2,2,-,-,92.5,82.5,,
2015/1/13,LI1,201503,-,-,-,-,-,-,-,72.1,2,-,-,92.5,82.5,,
2015/1/14,LI1,201503,-,-,-,-,-,-,-,71.5,2,-,-,92.5,82.5,,
2015/1/15,LI1,201503,-,-,-,-,-,-,-,71.9,2,-,-,92.5,82.5,,
2015/1/16,LI1,201503,-,-,-,-,-,-,-,71.1,2,-,-,92.5,82.5,,
2015/1/19,LI1,201503,-,-,-,-,-,-,-,70.3,2,-,-,92.5,82.5,,
2015/1/20,LI1,201503,-,-,-,-,-,-,-,71.4,2,-,-,92.5,82.5,,
2015/1/21,LI1,201503,-,-,-,-,-,-,-,71.8,2,70.7,72.9,92.5,82.5,,
2015/1/22,LI1,201503,-,-,-,-,-,-,-,73.0,2,72.1,74.4,92.5,82.5,,
2015/1/23,LI1,201503,-,-,-,-,-,-,-,74.0,2,72.6,74.9,92.5,82.5,,
2015/1/26,LI1,201503,75.5,75.5,75.5,75.5,1.5,2.03%,15,75.8,17,74.5,76.9,92.5,75.5,,
2015/1/27,LI1,201503,75.7,75.7,75.7,75.7,-0.1,-0.13%,5,75.7,17,74.9,77.2,92.5,75.5,,
2015/1/28,LI1,201503,-,-,-,-,-,-,-,75.7,17,74.8,77.2,92.5,75.5,,
2015/1/29,LI1,201503,75.3,75.3,75.3,75.3,-0.4,-0.53%,5,75.3,17,74.1,76.5,92.5,75.3,,
2015/1/30,LI1,201503,75.2,75.2,75.2,75.2,-0.1,-0.13%,15,75.2,12,74.2,76.6,92.5,75.2,,
2015/2/2,LI1,201503,-,-,-,-,-,-,-,74.9,12,74,74.8,92.5,75.2,,
2015/2/3,LI1,201503,75,75,75,75,0.1,0.13%,5,75.0,12,74.2,75.5,92.5,75,,
2015/2/4,LI1,201503,-,-,-,-,-,-,-,75.7,12,74.4,76.8,92.5,75,,
2015/2/5,LI1,201503,76.5,77.3,76.5,77.3,1.6,2.11%,18,77.3,20,76.5,78.5,92.5,75,,
2015/2/6,LI1,201503,-,-,-,-,-,-,-,76.6,20,75.3,77.7,92.5,75,,
2015/2/9,LI1,201503,-,-,-,-,-,-,-,76.9,20,75.6,-,92.5,75,,
2015/2/10,LI1,201503,75.2,75.6,75.2,75.6,-1.3,-1.69%,11,75.6,10,74.6,77,92.5,75,,
2015/2/11,LI1,201503,75.8,76.4,75.8,76.3,0.7,0.93%,25,75.9,10,74.8,77.2,92.5,75,,
2015/2/12,LI1,201503,76.3,76.3,76.3,76.3,0.4,0.53%,1,76.3,9,75.3,77.7,92.5,75,,
2015/2/13,LI1,201503,77.2,77.2,77.2,77.2,0.9,1.18%,5,77.0,12,75.7,78.1,92.5,75,,
2015/2/24,LI1,201503,78.1,78.1,78.1,78.1,1.1,1.43%,1,78.5,12,-,80.9,92.5,75,,
2015/2/25,LI1,201503,-,-,-,-,-,-,-,78.2,12,76.7,81,92.5,75,,
2015/2/26,LI1,201503,78,78,77.9,77.9,-0.3,-0.38%,3,78.4,15,-,79.4,92.5,75,,
2015/3/2,LI1,201503,79.6,79.6,79.6,79.6,1.2,1.53%,3,79.9,16,79.5,80.9,92.5,75,,
2015/3/3,LI1,201503,-,-,-,-,-,-,-,79.1,16,77.8,80.9,92.5,75,,
2015/3/4,LI1,201503,79.9,79.9,79.7,79.7,0.6,0.76%,2,79.8,15,79.7,80,92.5,75,,
2015/3/5,LI1,201503,-,-,-,-,-,-,-,80.0,15,78.3,81.4,92.5,75,,
2015/3/6,LI1,201503,80.1,80.1,80.1,80.1,0.1,0.13%,5,80.2,20,78.8,81.4,92.5,75,,
2015/3/9,LI1,201503,79.2,79.9,79,79.9,-0.3,-0.37%,20,79.9,15,79.8,81.1,92.5,75,,
2015/3/10,LI1,201503,79.2,79.2,79.2,79.2,-0.7,-0.88%,1,80.1,16,78.8,80.3,92.5,75,,
2015/3/11,LI1,201503,81.6,81.9,81.4,81.4,1.3,1.62%,70,81.4,21,81.4,82.8,92.5,75,,
2015/3/12,LI1,201503,82.7,83.1,82.7,83.1,1.7,2.09%,20,83.2,16,82,84.6,92.5,75,,
2015/3/13,LI1,201503,84,84,84,84,0.8,0.96%,1,84.0,16,82.4,84.9,92.5,75,,
2015/3/16,LI1,201503,-,-,-,-,-,-,-,84.1,16,82.6,85.2,92.5,75,,
2015/3/17,LI1,201503,85.7,86,85.7,86,1.9,2.26%,3,85.9,14,85.9,87.2,92.5,75,,
2015/3/18,LI1,201503,89.4,89.4,88.7,88.7,2.8,3.26%,10,0.0,18,87,91.9,92.5,75,,
2015/8/18,LI1,201508,96,96.7,95.2,95.3,1.3,1.38%,89,95.2,209,95.1,96.5,142,89.3,,
2015/8/18,LI1,201509,96,96.2,95.4,95.8,1.9,2.02%,67,95.8,629,94.4,95.9,130,89.5,,
2015/8/18,LI1,201512,-,-,-,-,-,-,-,95.1,1,-,-,121.5,97.5,,
2015/8/19,LI1,201508,94.3,96.1,93.9,94.6,-0.6,-0.63%,64,0.0,172,94.3,94.6,142,89.3,,
