交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LIF,201501,71.4,71.6,71.3,71.5,0.5,0.70%,16,71.5,253,71.4,71.5,75,61.5,,
2015/1/5,LIF,201502,71.4,71.4,71.4,71.4,0.7,0.99%,1,71.4,177,71.3,71.5,73.2,68.9,,
2015/1/5,LIF,201503,-,-,-,-,-,-,-,71.6,0,69.8,72.1,-,-,,
2015/1/5,LIF,201506,-,-,-,-,-,-,-,72.0,0,-,-,-,-,,
2015/1/5,LIF,201509,-,-,-,-,-,-,-,72.3,0,-,-,-,-,,
2015/1/6,LIF,201501,69.1,70.6,69.1,69.8,-1.7,-2.38%,38,69.8,248,69.5,69.8,75,61.5,,
2015/1/6,LIF,201502,69.1,70.3,69.1,69.8,-1.6,-2.24%,22,69.8,188,69.4,69.8,73.2,68.9,,
2015/1/6,LIF,201503,-,-,-,-,-,-,-,69.9,0,68.6,70.8,-,-,,
2015/1/6,LIF,201506,-,-,-,-,-,-,-,70.3,0,-,-,-,-,,
2015/1/6,LIF,201509,-,-,-,-,-,-,-,70.6,0,-,-,-,-,,
2015/1/7,LIF,201501,70.1,71.9,70.1,71.6,1.8,2.58%,114,71.6,260,71.4,71.6,75,61.5,,
2015/1/7,LIF,201502,70.1,71.8,70.1,71.5,1.7,2.44%,121,71.5,213,71.5,71.7,73.2,68.9,,
2015/1/7,LIF,201503,-,-,-,-,-,-,-,71.7,0,71,72.6,-,-,,
2015/1/7,LIF,201506,-,-,-,-,-,-,-,72.1,0,-,-,-,-,,
2015/1/7,LIF,201509,-,-,-,-,-,-,-,72.4,0,-,-,-,-,,
2015/1/8,LIF,201501,72,74.6,72,72.7,1.1,1.54%,86,72.7,247,72.6,72.9,75,61.5,,
2015/1/8,LIF,201502,74,74,72.7,72.7,1.2,1.68%,34,72.7,219,72.5,72.9,74,68.9,,
2015/1/8,LIF,201503,-,-,-,-,-,-,-,72.7,0,72,73.4,-,-,,
2015/1/8,LIF,201506,-,-,-,-,-,-,-,73.2,0,-,-,-,-,,
2015/1/8,LIF,201509,-,-,-,-,-,-,-,73.5,0,-,-,-,-,,
2015/1/9,LIF,201501,72,72.3,72,72.3,-0.4,-0.55%,10,72.3,247,72,72.6,75,61.5,,
2015/1/9,LIF,201502,72.1,72.3,72.1,72.2,-0.5,-0.69%,14,72.2,226,71.9,72.5,74,68.9,,
2015/1/9,LIF,201503,-,-,-,-,-,-,-,72.3,0,70.5,73,-,-,,
2015/1/9,LIF,201506,-,-,-,-,-,-,-,72.8,0,-,-,-,-,,
2015/1/9,LIF,201509,-,-,-,-,-,-,-,73.1,0,-,-,-,-,,
2015/1/12,LIF,201501,72.9,72.9,72,72.2,-0.1,-0.14%,7,72.2,245,72.1,72.5,75,61.5,,
2015/1/12,LIF,201502,72.8,72.8,72.3,72.3,0.1,0.14%,17,72.3,230,72,72.4,74,68.9,,
2015/1/12,LIF,201503,-,-,-,-,-,-,-,72.2,0,70.2,72.9,-,-,,
2015/1/12,LIF,201506,-,-,-,-,-,-,-,72.7,0,-,-,-,-,,
2015/1/12,LIF,201509,-,-,-,-,-,-,-,73.0,0,-,-,-,-,,
2015/1/13,LIF,201501,70,72.3,70,72.1,-0.1,-0.14%,39,72.1,239,71.9,73,75,61.5,,
2015/1/13,LIF,201502,72,72.3,72,72,-0.3,-0.41%,18,72.0,237,72,73,74,68.9,,
2015/1/13,LIF,201503,-,-,-,-,-,-,-,72.1,0,71.5,73.5,-,-,,
2015/1/13,LIF,201506,-,-,-,-,-,-,-,72.6,0,-,-,-,-,,
2015/1/13,LIF,201509,-,-,-,-,-,-,-,72.9,0,-,-,-,-,,
2015/1/14,LIF,201501,72.9,72.9,71.8,71.8,-0.3,-0.42%,6,71.8,239,71.3,72,75,61.5,,
2015/1/14,LIF,201502,72.1,72.1,71.7,71.7,-0.3,-0.42%,5,71.7,240,71.2,71.9,74,68.9,,
2015/1/14,LIF,201503,-,-,-,-,-,-,-,71.5,0,70.5,72.4,-,-,,
2015/1/14,LIF,201506,-,-,-,-,-,-,-,72.3,0,-,-,-,-,,
2015/1/14,LIF,201509,-,-,-,-,-,-,-,72.6,0,-,-,-,-,,
2015/1/15,LIF,201501,70.2,73,70.2,72.2,0.4,0.56%,52,72.2,237,71.8,72.3,75,61.5,,
2015/1/15,LIF,201502,71.9,72.1,71.8,72.1,0.4,0.56%,39,72.1,242,71.7,72.4,74,68.9,,
2015/1/15,LIF,201503,-,-,-,-,-,-,-,71.9,0,70.5,72.9,-,-,,
2015/1/15,LIF,201506,-,-,-,-,-,-,-,72.7,0,-,-,-,-,,
2015/1/15,LIF,201509,-,-,-,-,-,-,-,73.0,0,-,-,-,-,,
2015/1/16,LIF,201501,70,73,70,71.2,-1,-1.39%,49,71.2,212,70.7,72.1,75,61.5,,
2015/1/16,LIF,201502,71.9,71.9,70.9,71,-1.1,-1.53%,54,71.0,243,70.8,72,74,68.9,,
2015/1/16,LIF,201503,-,-,-,-,-,-,-,71.1,0,70.3,72.5,-,-,,
2015/1/16,LIF,201506,-,-,-,-,-,-,-,71.7,0,-,-,-,-,,
2015/1/16,LIF,201509,-,-,-,-,-,-,-,72.0,0,-,-,-,-,,
2015/1/19,LIF,201501,74.8,74.8,70.1,70.1,-1.1,-1.54%,86,70.1,156,69.2,70.9,75,61.5,,
2015/1/19,LIF,201502,71.7,71.7,70,70,-1,-1.41%,86,70.0,239,68.9,70.9,74,68.9,,
2015/1/19,LIF,201503,-,-,-,-,-,-,-,70.3,0,68.2,71.4,-,-,,
2015/1/19,LIF,201506,-,-,-,-,-,-,-,70.6,0,-,-,-,-,,
2015/1/19,LIF,201509,-,-,-,-,-,-,-,70.9,0,-,-,-,-,,
2015/1/20,LIF,201501,68.3,70.9,68.3,70.9,0.8,1.14%,44,70.9,153,71.2,72.2,75,61.5,,
2015/1/20,LIF,201502,70,71.2,70,71.2,1.2,1.71%,52,71.2,248,71.3,72,74,68.9,,
2015/1/20,LIF,201503,-,-,-,-,-,-,-,71.4,0,70.8,72.5,-,-,,
2015/1/20,LIF,201506,-,-,-,-,-,-,-,71.4,0,-,-,-,-,,
2015/1/20,LIF,201509,-,-,-,-,-,-,-,71.7,0,-,-,-,-,,
2015/1/21,LIF,201501,72.8,72.8,71,72,1.1,1.55%,28,0.0,90,-,72.2,75,61.5,,
2015/1/21,LIF,201502,72.1,72.5,71.6,71.7,0.5,0.70%,67,71.7,278,71.1,71.7,74,68.9,,
2015/1/21,LIF,201503,-,-,-,-,-,-,-,71.8,0,70.7,72.2,-,-,,
2015/1/21,LIF,201506,-,-,-,-,-,-,-,72.5,0,-,-,-,-,,
2015/1/21,LIF,201509,-,-,-,-,-,-,-,72.8,0,-,-,-,-,,
2015/1/22,LIF,201502,71.9,73.8,71.9,73,1.3,1.81%,323,73.0,284,72.8,73,74,68.9,,
2015/1/22,LIF,201503,72,73.5,72,73,1.2,1.67%,18,73.0,15,72.3,73.5,73.5,72,,
2015/1/22,LIF,201506,-,-,-,-,-,-,-,73.8,0,-,-,-,-,,
2015/1/22,LIF,201509,-,-,-,-,-,-,-,74.1,0,-,-,-,-,,
2015/1/22,LIF,201512,-,-,-,-,-,-,-,73.7,0,-,-,-,-,,
2015/1/23,LIF,201502,73.9,74.5,73.4,74,1,1.37%,289,74.0,321,74,74.1,74.5,68.9,,
2015/1/23,LIF,201503,73.6,74.4,73.6,74,1,1.37%,50,74.0,39,73.5,74.6,74.4,72,,
2015/1/23,LIF,201506,-,-,-,-,-,-,-,74.8,0,-,-,-,-,,
2015/1/23,LIF,201509,-,-,-,-,-,-,-,75.1,0,-,-,-,-,,
2015/1/23,LIF,201512,-,-,-,-,-,-,-,74.7,0,-,-,-,-,,
2015/1/26,LIF,201502,73,76.3,73,75.9,1.9,2.57%,200,75.9,315,75.8,76.7,76.3,68.9,,
2015/1/26,LIF,201503,73.9,76.2,73.8,75.8,1.8,2.43%,84,75.8,47,75.7,76.8,76.2,72,,
2015/1/26,LIF,201506,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/1/26,LIF,201509,-,-,-,-,-,-,-,77.0,0,-,-,-,-,,
2015/1/26,LIF,201512,-,-,-,-,-,-,-,76.6,0,-,-,-,-,,
2015/1/27,LIF,201502,75.2,76.8,75.2,75.9,0,0.00%,141,75.9,350,75.4,76,76.8,68.9,,
2015/1/27,LIF,201503,76.6,76.6,75.5,76,0.2,0.26%,39,75.7,66,75.3,76,76.6,72,,
2015/1/27,LIF,201506,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/1/27,LIF,201509,-,-,-,-,-,-,-,77.0,0,-,-,-,-,,
2015/1/27,LIF,201512,-,-,-,-,-,-,-,76.6,0,-,-,-,-,,
2015/1/28,LIF,201502,75.4,76,75,75.6,-0.3,-0.40%,33,75.6,349,75.5,75.8,76.8,68.9,,
2015/1/28,LIF,201503,75.2,76,75.2,75.7,0,0.00%,10,75.7,65,75.4,75.8,76.6,72,,
2015/1/28,LIF,201506,-,-,-,-,-,-,-,76.4,0,-,-,-,-,,
2015/1/28,LIF,201509,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/1/28,LIF,201512,-,-,-,-,-,-,-,76.3,0,-,-,-,-,,
2015/1/29,LIF,201502,75.5,75.8,75,75.2,-0.4,-0.53%,55,75.2,369,75,76.6,76.8,68.9,,
2015/1/29,LIF,201503,75.4,75.8,75,75,-0.7,-0.92%,15,75.3,79,74.9,76.5,76.6,72,,
2015/1/29,LIF,201506,-,-,-,-,-,-,-,76.0,0,-,-,-,-,,
2015/1/29,LIF,201509,-,-,-,-,-,-,-,76.3,0,-,-,-,-,,
2015/1/29,LIF,201512,-,-,-,-,-,-,-,75.9,0,-,-,-,-,,
2015/1/30,LIF,201502,76,76,75,75,-0.2,-0.27%,238,75.0,315,74.7,75.3,76.8,68.9,,
2015/1/30,LIF,201503,75.4,75.8,75,75,-0.3,-0.40%,127,75.2,98,74.6,75.3,76.6,72,,
2015/1/30,LIF,201506,-,-,-,-,-,-,-,75.8,0,-,-,-,-,,
2015/1/30,LIF,201509,-,-,-,-,-,-,-,76.1,0,-,-,-,-,,
2015/1/30,LIF,201512,-,-,-,-,-,-,-,75.7,0,-,-,-,-,,
2015/2/2,LIF,201502,75.2,75.5,74.4,75,0,0.00%,64,75.0,304,74.6,74.8,76.8,68.9,,
2015/2/2,LIF,201503,75.2,75.2,74.3,74.9,-0.3,-0.40%,31,74.9,122,74.4,74.8,76.6,72,,
2015/2/2,LIF,201506,-,-,-,-,-,-,-,75.8,0,-,-,-,-,,
2015/2/2,LIF,201509,-,-,-,-,-,-,-,76.1,0,-,-,-,-,,
2015/2/2,LIF,201512,-,-,-,-,-,-,-,75.7,0,-,-,-,-,,
2015/2/3,LIF,201502,75.7,75.7,75.1,75.4,0.4,0.53%,25,75.4,306,75.2,75.3,76.8,68.9,,
2015/2/3,LIF,201503,75.3,75.3,75,75,0.1,0.13%,4,75.0,122,74.9,75.3,76.6,72,,
2015/2/3,LIF,201506,-,-,-,-,-,-,-,76.2,0,-,-,-,-,,
2015/2/3,LIF,201509,-,-,-,-,-,-,-,76.5,0,-,-,-,-,,
2015/2/3,LIF,201512,-,-,-,-,-,-,-,76.1,0,-,-,-,-,,
2015/2/4,LIF,201502,76.5,77.5,75.4,75.8,0.4,0.53%,86,75.8,295,75.6,76.8,77.5,68.9,,
2015/2/4,LIF,201503,76.4,76.4,75.3,75.7,0.7,0.93%,15,75.7,122,74.6,75.7,76.6,72,,
2015/2/4,LIF,201506,-,-,-,-,-,-,-,76.6,0,-,-,-,-,,
2015/2/4,LIF,201509,-,-,-,-,-,-,-,76.9,0,-,-,-,-,,
2015/2/4,LIF,201512,-,-,-,-,-,-,-,76.5,0,-,-,-,-,,
2015/2/5,LIF,201502,76.9,80,76,77.2,1.4,1.85%,191,77.2,258,77.1,77.3,80,68.9,,
2015/2/5,LIF,201503,77.4,79.7,76.2,77.1,1.4,1.85%,108,77.3,165,77,77.3,79.7,72,,
2015/2/5,LIF,201506,-,-,-,-,-,-,-,78.0,0,-,-,-,-,,
2015/2/5,LIF,201509,-,-,-,-,-,-,-,78.3,0,-,-,-,-,,
2015/2/5,LIF,201512,-,-,-,-,-,-,-,77.9,0,-,-,-,-,,
2015/2/6,LIF,201502,78.6,78.6,76.5,76.5,-0.7,-0.91%,58,76.5,230,76.5,77,80,68.9,,
2015/2/6,LIF,201503,76.7,77,76.4,76.5,-0.8,-1.03%,124,76.6,186,76.5,77.1,79.7,72,,
2015/2/6,LIF,201506,-,-,-,-,-,-,-,77.3,0,-,-,-,-,,
2015/2/6,LIF,201509,-,-,-,-,-,-,-,77.6,0,-,-,-,-,,
2015/2/6,LIF,201512,-,-,-,-,-,-,-,77.2,0,-,-,-,-,,
2015/2/9,LIF,201502,76.8,77,76.4,76.5,0,0.00%,64,76.5,223,76.4,77,80,68.9,,
2015/2/9,LIF,201503,76.8,77,76.5,76.5,-0.1,-0.13%,56,76.9,229,76.3,76.9,79.7,72,,
2015/2/9,LIF,201506,-,-,-,-,-,-,-,77.3,0,-,-,-,-,,
2015/2/9,LIF,201509,-,-,-,-,-,-,-,77.6,0,-,-,-,-,,
2015/2/9,LIF,201512,-,-,-,-,-,-,-,77.2,0,-,-,-,-,,
2015/2/10,LIF,201502,76.9,76.9,75.4,75.4,-1.1,-1.44%,47,75.4,205,75.5,75.9,80,68.9,,
2015/2/10,LIF,201503,75.5,75.9,75.3,75.6,-1.3,-1.69%,69,75.6,256,75.5,75.8,79.7,72,,
2015/2/10,LIF,201506,-,-,-,-,-,-,-,76.2,0,-,-,-,-,,
2015/2/10,LIF,201509,-,-,-,-,-,-,-,76.5,0,-,-,-,-,,
2015/2/10,LIF,201512,-,-,-,-,-,-,-,76.1,0,-,-,-,-,,
2015/2/11,LIF,201502,75.3,76.5,75.3,76.3,0.9,1.19%,80,76.3,158,74.6,76.3,80,68.9,,
2015/2/11,LIF,201503,75.3,76.5,75.3,75.9,0.3,0.40%,59,75.9,273,70.6,76.3,79.7,72,,
2015/2/11,LIF,201506,-,-,-,-,-,-,-,76.5,0,-,-,-,-,,
2015/2/11,LIF,201509,-,-,-,-,-,-,-,76.8,0,-,-,-,-,,
2015/2/11,LIF,201512,-,-,-,-,-,-,-,76.4,0,-,-,-,-,,
2015/2/12,LIF,201502,76.2,76.6,76.2,76.6,0.3,0.39%,73,76.6,117,76.3,77.4,80,68.9,,
2015/2/12,LIF,201503,76.3,76.7,76,76.4,0.5,0.66%,165,76.3,360,76.3,76.7,79.7,72,,
2015/2/12,LIF,201506,-,-,-,-,-,-,-,76.8,0,-,-,-,-,,
2015/2/12,LIF,201509,-,-,-,-,-,-,-,77.1,0,-,-,-,-,,
2015/2/12,LIF,201512,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/2/13,LIF,201502,77.3,77.6,77,77,0.4,0.52%,26,77.0,119,75.6,77.1,80,68.9,,
2015/2/13,LIF,201503,76.6,77.7,76.6,77,0.7,0.92%,51,77.0,393,77,77.1,79.7,72,,
2015/2/13,LIF,201506,-,-,-,-,-,-,-,77.2,0,-,-,-,-,,
2015/2/13,LIF,201509,-,-,-,-,-,-,-,77.5,0,-,-,-,-,,
2015/2/13,LIF,201512,-,-,-,-,-,-,-,77.1,0,-,-,-,-,,
2015/2/24,LIF,201502,78,78.5,77.6,78.3,1.3,1.69%,35,0.0,104,71.9,80.2,80,68.9,,
2015/2/24,LIF,201503,77.7,78.6,77.7,78.5,1.5,1.95%,119,78.5,461,78.3,78.6,79.7,72,,
2015/2/24,LIF,201506,-,-,-,-,-,-,-,78.5,0,-,-,-,-,,
2015/2/24,LIF,201509,-,-,-,-,-,-,-,78.8,0,-,-,-,-,,
2015/2/24,LIF,201512,-,-,-,-,-,-,-,78.4,0,-,-,-,-,,
2015/2/25,LIF,201503,78.7,79.3,78.2,78.2,-0.3,-0.38%,241,78.2,400,78,78.3,79.7,72,,
2015/2/25,LIF,201504,78.6,79.3,78.3,78.3,-0.2,-0.25%,185,78.3,184,78,78.4,79.3,78.3,,
2015/2/25,LIF,201506,-,-,-,-,-,-,-,78.2,0,-,-,-,-,,
2015/2/25,LIF,201509,-,-,-,-,-,-,-,78.5,0,-,-,-,-,,
2015/2/25,LIF,201512,-,-,-,-,-,-,-,78.1,0,-,-,-,-,,
2015/2/26,LIF,201503,78,78.6,77.9,78.4,0.2,0.26%,97,78.4,413,78.3,78.6,79.7,72,,
2015/2/26,LIF,201504,77.9,78.5,77.7,78.2,-0.1,-0.13%,70,78.2,238,78.2,78.5,79.3,77.7,,
2015/2/26,LIF,201506,-,-,-,-,-,-,-,78.4,0,-,-,-,-,,
2015/2/26,LIF,201509,-,-,-,-,-,-,-,78.7,0,-,-,-,-,,
2015/2/26,LIF,201512,-,-,-,-,-,-,-,78.3,0,-,-,-,-,,
2015/3/2,LIF,201503,79.2,80,79.2,79.9,1.5,1.91%,94,79.9,392,79.8,80.5,80,72,,
2015/3/2,LIF,201504,79.2,80.2,79.2,79.8,1.6,2.05%,93,79.8,297,79.9,80.6,80.2,77.7,,
2015/3/2,LIF,201506,-,-,-,-,-,-,-,79.9,0,-,-,-,-,,
2015/3/2,LIF,201509,-,-,-,-,-,-,-,80.2,0,-,-,-,-,,
2015/3/2,LIF,201512,-,-,-,-,-,-,-,79.8,0,-,-,-,-,,
2015/3/3,LIF,201503,79.7,79.8,78.8,79.1,-0.8,-1.00%,47,79.1,397,79,79.2,80,72,,
2015/3/3,LIF,201504,79.7,79.7,78.7,79.1,-0.7,-0.88%,24,79.1,305,78.9,79.1,80.2,77.7,,
2015/3/3,LIF,201506,-,-,-,-,-,-,-,79.1,0,-,-,-,-,,
2015/3/3,LIF,201509,-,-,-,-,-,-,-,79.4,0,-,-,-,-,,
2015/3/3,LIF,201512,-,-,-,-,-,-,-,79.0,0,-,-,-,-,,
2015/3/4,LIF,201503,79.2,79.9,79.2,79.8,0.7,0.88%,126,79.8,389,79.7,80,80,72,,
2015/3/4,LIF,201504,79,79.8,79,79.8,0.7,0.88%,68,79.8,319,79.7,80.1,80.2,77.7,,
2015/3/4,LIF,201506,-,-,-,-,-,-,-,79.8,0,-,-,-,-,,
2015/3/4,LIF,201509,-,-,-,-,-,-,-,80.1,0,-,-,-,-,,
2015/3/4,LIF,201512,-,-,-,-,-,-,-,79.7,0,-,-,-,-,,
2015/3/5,LIF,201503,79.8,80.7,79,80,0.2,0.25%,172,80.0,353,80,80.3,80.7,72,,
2015/3/5,LIF,201504,79.8,80.5,79.8,79.9,0.1,0.13%,71,79.9,308,79.9,80.2,80.5,77.7,,
2015/3/5,LIF,201506,-,-,-,-,-,-,-,80.0,0,-,-,-,-,,
2015/3/5,LIF,201509,-,-,-,-,-,-,-,80.3,0,-,-,-,-,,
2015/3/5,LIF,201512,-,-,-,-,-,-,-,79.9,0,-,-,-,-,,
2015/3/6,LIF,201503,80,80.2,79.5,80.2,0.2,0.25%,37,80.2,341,80.2,80.9,80.7,72,,
2015/3/6,LIF,201504,79.7,80,79.7,80,0.1,0.13%,41,80.0,317,80.1,80.8,80.5,77.7,,
2015/3/6,LIF,201506,-,-,-,-,-,-,-,80.2,0,-,80.8,-,-,,
2015/3/6,LIF,201509,-,-,-,-,-,-,-,80.5,0,-,-,-,-,,
2015/3/6,LIF,201512,-,-,-,-,-,-,-,80.1,0,-,-,-,-,,
2015/3/9,LIF,201503,79.4,80.1,79,79.8,-0.4,-0.50%,233,79.9,366,79.4,79.9,80.7,72,,
2015/3/9,LIF,201504,79.5,80,79,79.7,-0.3,-0.38%,98,79.7,318,79.3,79.9,80.5,77.7,,
2015/3/9,LIF,201506,-,-,-,-,-,-,-,79.9,0,-,81,-,-,,
2015/3/9,LIF,201509,-,-,-,-,-,-,-,80.2,0,-,-,-,-,,
2015/3/9,LIF,201512,-,-,-,-,-,-,-,79.8,0,-,-,-,-,,
2015/3/10,LIF,201503,79.8,80.5,79.2,80.1,0.2,0.25%,162,80.1,288,79.7,80.3,80.7,72,,
2015/3/10,LIF,201504,79.8,80.3,79,80.1,0.4,0.50%,107,80.1,360,79.7,80.3,80.5,77.7,,
2015/3/10,LIF,201506,-,-,-,-,-,-,-,80.1,0,-,81.3,-,-,,
2015/3/10,LIF,201509,-,-,-,-,-,-,-,80.4,0,-,-,-,-,,
2015/3/10,LIF,201512,-,-,-,-,-,-,-,80.0,0,-,-,-,-,,
2015/3/11,LIF,201503,79.8,82.4,79.8,81.4,1.3,1.62%,181,81.4,250,81.4,81.9,82.4,72,,
2015/3/11,LIF,201504,80.8,82.2,80.7,81.4,1.3,1.62%,135,81.4,387,81.3,81.8,82.2,77.7,,
2015/3/11,LIF,201506,-,-,-,-,-,-,-,81.4,0,-,82.8,-,-,,
2015/3/11,LIF,201509,-,-,-,-,-,-,-,81.7,0,-,-,-,-,,
2015/3/11,LIF,201512,-,-,-,-,-,-,-,81.3,0,-,-,-,-,,
2015/3/12,LIF,201503,82.4,83.8,82.1,83.2,1.8,2.21%,297,83.2,206,83.2,84.6,83.8,72,,
2015/3/12,LIF,201504,82.3,83.7,82.1,83.2,1.8,2.21%,229,83.2,457,83.2,84.6,83.7,77.7,,
2015/3/12,LIF,201506,-,-,-,-,-,-,-,83.2,0,-,-,-,-,,
2015/3/12,LIF,201509,-,-,-,-,-,-,-,83.5,0,-,-,-,-,,
2015/3/12,LIF,201512,-,-,-,-,-,-,-,83.1,0,-,-,-,-,,
2015/3/13,LIF,201503,85.3,85.3,83.8,84.1,0.9,1.08%,100,84.0,175,83.7,84.2,85.3,72,,
2015/3/13,LIF,201504,84,86.5,83.7,83.8,0.6,0.72%,140,83.8,550,83.7,84.1,86.5,77.7,,
2015/3/13,LIF,201506,-,-,-,-,-,-,-,84.0,0,-,85.1,-,-,,
2015/3/13,LIF,201509,-,-,-,-,-,-,-,84.3,0,-,-,-,-,,
2015/3/13,LIF,201512,-,-,-,-,-,-,-,83.9,0,-,-,-,-,,
2015/3/16,LIF,201503,84.4,84.4,84.1,84.1,0.1,0.12%,46,84.1,141,84.1,84.3,85.3,72,,
2015/3/16,LIF,201504,84.1,84.4,84,84.1,0.3,0.36%,61,84.1,569,84,84.2,86.5,77.7,,
2015/3/16,LIF,201506,-,-,-,-,-,-,-,84.1,0,-,85.2,-,-,,
2015/3/16,LIF,201509,-,-,-,-,-,-,-,84.4,0,-,-,-,-,,
2015/3/16,LIF,201512,-,-,-,-,-,-,-,84.0,0,-,-,-,-,,
2015/3/17,LIF,201503,84.7,86.3,84.2,85.9,1.8,2.14%,168,85.9,119,85.9,86.1,86.3,72,,
2015/3/17,LIF,201504,84.6,86.2,84.1,86.1,2,2.38%,281,86.1,631,85.9,86.2,86.5,77.7,,
2015/3/17,LIF,201506,-,-,-,-,-,-,-,85.9,0,-,87.2,-,-,,
2015/3/17,LIF,201509,-,-,-,-,-,-,-,86.2,0,-,-,-,-,,
2015/3/17,LIF,201512,-,-,-,-,-,-,-,85.8,0,-,-,-,-,,
2015/3/18,LIF,201503,85.9,90.3,85.9,87.9,2,2.33%,176,0.0,90,87.8,87.9,90.3,72,,
2015/3/18,LIF,201504,85.5,90.2,85.5,87.2,1.1,1.28%,335,87.2,678,87,87.3,90.2,77.7,,
2015/3/18,LIF,201506,88.4,88.4,88.4,88.4,2.5,2.91%,1,87.0,1,-,90.6,88.4,88.4,,
2015/3/18,LIF,201509,-,-,-,-,-,-,-,87.3,0,-,-,-,-,,
2015/3/18,LIF,201512,-,-,-,-,-,-,-,86.9,0,-,-,-,-,,
2015/3/19,LIF,201504,88,89.1,88,88.8,1.6,1.83%,151,88.8,672,88.9,89,90.2,77.7,,
2015/3/19,LIF,201505,89,89,88.3,88.8,1.6,1.83%,100,88.8,79,88.7,89,89,88.3,,
2015/3/19,LIF,201506,-,-,-,-,-,-,-,88.6,1,-,-,88.4,88.4,,
2015/3/19,LIF,201509,-,-,-,-,-,-,-,88.9,0,-,-,-,-,,
2015/3/19,LIF,201512,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/3/20,LIF,201504,88.6,88.8,86.7,87.4,-1.4,-1.58%,535,87.4,579,87.7,87.8,90.2,77.7,,
2015/3/20,LIF,201505,89.1,89.2,86.6,87.5,-1.3,-1.46%,349,87.5,229,87.7,87.8,89.2,86.6,,
2015/3/20,LIF,201506,-,-,-,-,-,-,-,87.2,1,-,88.8,88.4,88.4,,
2015/3/20,LIF,201509,-,-,-,-,-,-,-,87.5,0,-,-,-,-,,
2015/3/20,LIF,201512,-,-,-,-,-,-,-,87.1,0,-,-,-,-,,
2015/3/23,LIF,201504,82.5,89.8,82.5,87.9,0.5,0.57%,202,87.9,558,87.5,87.9,90.2,77.7,,
2015/3/23,LIF,201505,87.2,89.7,86.8,87.9,0.4,0.46%,114,87.9,300,87.4,87.9,89.7,86.6,,
2015/3/23,LIF,201506,-,-,-,-,-,-,-,87.7,1,-,88.9,88.4,88.4,,
2015/3/23,LIF,201509,-,-,-,-,-,-,-,88.0,0,-,-,-,-,,
2015/3/23,LIF,201512,-,-,-,-,-,-,-,87.6,0,-,-,-,-,,
2015/3/24,LIF,201504,87.9,88.8,87.5,88.5,0.6,0.68%,84,88.5,542,88.3,88.6,90.2,77.7,,
2015/3/24,LIF,201505,88,88.6,87.5,88.2,0.3,0.34%,65,88.2,320,88.2,88.5,89.7,86.6,,
2015/3/24,LIF,201506,-,-,-,-,-,-,-,88.3,1,-,89.7,88.4,88.4,,
2015/3/24,LIF,201509,-,-,-,-,-,-,-,88.6,0,-,-,-,-,,
2015/3/24,LIF,201512,-,-,-,-,-,-,-,88.2,0,-,-,-,-,,
2015/3/25,LIF,201504,88.5,90.4,87.6,89.3,0.8,0.90%,185,89.3,522,89,89.3,90.4,77.7,,
2015/3/25,LIF,201505,88.4,90.3,88.4,89.1,0.9,1.02%,97,89.1,355,88.9,89.3,90.3,86.6,,
2015/3/25,LIF,201506,-,-,-,-,-,-,-,89.1,1,-,90.3,88.4,88.4,,
