交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LMF,201501,211,211,209.5,209.5,-5.5,-2.56%,3,209.5,81,209,213,231,200.5,,
2015/1/5,LMF,201502,212,212,212,212,-3,-1.40%,1,212.0,38,209,213.5,216,208.5,,
2015/1/5,LMF,201503,-,-,-,-,-,-,-,211.0,7,208,214,212,197,,
2015/1/5,LMF,201506,-,-,-,-,-,-,-,210.5,1,-,214,217.5,197,,
2015/1/5,LMF,201509,-,-,-,-,-,-,-,210.5,0,-,214,-,-,,
2015/1/6,LMF,201501,209.5,210,208,208.5,-1,-0.48%,6,208.5,78,207.5,212,231,200.5,,
2015/1/6,LMF,201502,210.5,210.5,208.5,209,-3,-1.42%,4,209.0,39,207.5,212,216,208.5,,
2015/1/6,LMF,201503,-,-,-,-,-,-,-,210.0,7,206.5,213,212,197,,
2015/1/6,LMF,201506,-,-,-,-,-,-,-,209.5,1,-,213,217.5,197,,
2015/1/6,LMF,201509,-,-,-,-,-,-,-,209.5,0,-,213,-,-,,
2015/1/7,LMF,201501,210.5,210.5,210,210,1.5,0.72%,3,210.0,76,207.5,211,231,200.5,,
2015/1/7,LMF,201502,210,210,210,210,1,0.48%,1,210.0,39,208,211.5,216,208.5,,
2015/1/7,LMF,201503,-,-,-,-,-,-,-,209.5,7,207,212,212,197,,
2015/1/7,LMF,201506,-,-,-,-,-,-,-,211.0,1,-,212,217.5,197,,
2015/1/7,LMF,201509,-,-,-,-,-,-,-,211.0,0,-,212,-,-,,
2015/1/8,LMF,201501,215,215,215,215,5,2.38%,2,215.0,76,213,215.5,231,200.5,,
2015/1/8,LMF,201502,214,214,214,214,4,1.90%,1,214.0,39,212.5,216,216,208.5,,
2015/1/8,LMF,201503,-,-,-,-,-,-,-,214.5,7,212,216.5,212,197,,
2015/1/8,LMF,201506,-,-,-,-,-,-,-,216.0,1,-,216.5,217.5,197,,
2015/1/8,LMF,201509,-,-,-,-,-,-,-,216.0,0,-,216.5,-,-,,
2015/1/9,LMF,201501,215,215,215,215,0,0.00%,2,215.0,74,214.5,216.5,231,200.5,,
2015/1/9,LMF,201502,216.5,216.5,216,216,2,0.93%,3,216.0,41,214.5,216.5,216.5,208.5,,
2015/1/9,LMF,201503,-,-,-,-,-,-,-,215.5,7,213.5,217.5,212,197,,
2015/1/9,LMF,201506,-,-,-,-,-,-,-,216.0,1,-,219.5,217.5,197,,
2015/1/9,LMF,201509,-,-,-,-,-,-,-,216.0,0,-,219.5,-,-,,
2015/1/12,LMF,201501,216.5,216.5,216.5,216.5,1.5,0.70%,3,216.5,71,215.5,217,231,200.5,,
2015/1/12,LMF,201502,215.5,217,215.5,217,1,0.46%,6,217.0,46,215.5,218,217,208.5,,
2015/1/12,LMF,201503,216,216,216,216,0.5,0.23%,1,216.5,7,214.5,218,216,197,,
2015/1/12,LMF,201506,-,-,-,-,-,-,-,217.5,1,-,218,217.5,197,,
2015/1/12,LMF,201509,-,-,-,-,-,-,-,217.5,0,-,218,-,-,,
2015/1/13,LMF,201501,223,223,221,221,4.5,2.08%,10,221.0,66,219,224,231,200.5,,
2015/1/13,LMF,201502,222.5,223,221,221,4,1.84%,14,221.0,53,219,224,223,208.5,,
2015/1/13,LMF,201503,223,223,223,223,6.5,3.00%,4,221.5,8,218,225,223,197,,
2015/1/13,LMF,201506,-,-,-,-,-,-,-,222.0,1,-,225.5,217.5,197,,
2015/1/13,LMF,201509,-,-,-,-,-,-,-,222.0,0,-,225.5,-,-,,
2015/1/14,LMF,201501,-,-,-,-,-,-,-,220.5,66,218,222.5,231,200.5,,
2015/1/14,LMF,201502,220,221,220,221,0,0.00%,3,221.0,55,218.5,222.5,223,208.5,,
2015/1/14,LMF,201503,-,-,-,-,-,-,-,221.0,8,217.5,223.5,223,197,,
2015/1/14,LMF,201506,-,-,-,-,-,-,-,221.5,1,-,224.5,217.5,197,,
2015/1/14,LMF,201509,-,-,-,-,-,-,-,221.5,0,-,224.5,-,-,,
2015/1/15,LMF,201501,221,225.5,221,224,3.5,1.59%,18,224.0,58,222,225,231,200.5,,
2015/1/15,LMF,201502,223,226,223,225,4,1.81%,13,225.0,62,222.5,226,226,208.5,,
2015/1/15,LMF,201503,-,-,-,-,-,-,-,224.5,8,221,226,223,197,,
2015/1/15,LMF,201506,-,-,-,-,-,-,-,225.0,1,-,226,217.5,197,,
2015/1/15,LMF,201509,-,-,-,-,-,-,-,225.0,0,-,226,-,-,,
2015/1/16,LMF,201501,219,219,215,215,-9,-4.02%,5,215.0,56,213,217.5,231,200.5,,
2015/1/16,LMF,201502,219.5,219.5,214.5,214.5,-10.5,-4.67%,15,214.5,71,214,217.5,226,208.5,,
2015/1/16,LMF,201503,215.5,215.5,215.5,215.5,-9,-4.01%,1,215.5,8,213,218.5,223,197,,
2015/1/16,LMF,201506,-,-,-,-,-,-,-,216.0,1,-,224.5,217.5,197,,
2015/1/16,LMF,201509,-,-,-,-,-,-,-,216.0,0,-,224.5,-,-,,
2015/1/19,LMF,201501,216,216,216,216,1,0.47%,1,215.5,55,214,216.5,231,200.5,,
2015/1/19,LMF,201502,216,216,216,216,1.5,0.70%,2,216.0,71,214,216.5,226,208.5,,
