交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LNF,201501,76.7,77.2,76.7,77.1,-0.6,-0.77%,3,76.7,18,76.1,77.2,77.5,74.1,,
2015/1/5,LNF,201502,-,-,-,-,-,-,-,77.0,4,76.7,77.2,76.5,76,,
2015/1/5,LNF,201503,-,-,-,-,-,-,-,76.6,0,-,-,-,-,,
2015/1/5,LNF,201506,-,-,-,-,-,-,-,76.6,0,-,-,86,80.5,,
2015/1/5,LNF,201509,-,-,-,-,-,-,-,77.8,0,-,-,-,-,,
2015/1/6,LNF,201501,-,-,-,-,-,-,-,75.6,18,74.6,76.4,77.5,74.1,,
2015/1/6,LNF,201502,-,-,-,-,-,-,-,75.9,4,75.2,76.4,76.5,76,,
2015/1/6,LNF,201503,-,-,-,-,-,-,-,75.5,0,-,-,-,-,,
2015/1/6,LNF,201506,-,-,-,-,-,-,-,75.5,0,-,-,86,80.5,,
2015/1/6,LNF,201509,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/1/7,LNF,201501,-,-,-,-,-,-,-,75.2,18,74.6,75.8,77.5,74.1,,
2015/1/7,LNF,201502,-,-,-,-,-,-,-,75.5,4,74,75.8,76.5,76,,
2015/1/7,LNF,201503,-,-,-,-,-,-,-,75.1,0,-,-,-,-,,
2015/1/7,LNF,201506,-,-,-,-,-,-,-,75.1,0,-,-,86,80.5,,
2015/1/7,LNF,201509,-,-,-,-,-,-,-,76.3,0,-,-,-,-,,
2015/1/8,LNF,201501,-,-,-,-,-,-,-,75.7,18,75.6,75.7,77.5,74.1,,
2015/1/8,LNF,201502,75.8,75.8,75.8,75.8,0.3,0.40%,5,75.8,9,75.6,76.3,76.5,75.8,,
2015/1/8,LNF,201503,-,-,-,-,-,-,-,75.6,0,-,-,-,-,,
2015/1/8,LNF,201506,-,-,-,-,-,-,-,75.6,0,-,-,86,80.5,,
2015/1/8,LNF,201509,-,-,-,-,-,-,-,76.8,0,-,-,-,-,,
2015/1/9,LNF,201501,75.8,75.8,75.8,75.8,0.1,0.13%,1,75.8,18,75.8,76.5,77.5,74.1,,
2015/1/9,LNF,201502,-,-,-,-,-,-,-,75.9,9,75.5,76.6,76.5,75.8,,
2015/1/9,LNF,201503,-,-,-,-,-,-,-,75.7,0,-,-,-,-,,
2015/1/9,LNF,201506,-,-,-,-,-,-,-,75.7,0,-,-,86,80.5,,
2015/1/9,LNF,201509,-,-,-,-,-,-,-,76.9,0,-,-,-,-,,
2015/1/12,LNF,201501,-,-,-,-,-,-,-,75.8,18,75.2,76.3,77.5,74.1,,
2015/1/12,LNF,201502,-,-,-,-,-,-,-,75.9,9,74.1,76.3,76.5,75.8,,
2015/1/12,LNF,201503,-,-,-,-,-,-,-,75.7,0,-,-,-,-,,
2015/1/12,LNF,201506,-,-,-,-,-,-,-,75.7,0,-,-,86,80.5,,
2015/1/12,LNF,201509,-,-,-,-,-,-,-,76.9,0,-,-,-,-,,
2015/1/13,LNF,201501,-,-,-,-,-,-,-,76.3,18,75.8,76.9,77.5,74.1,,
2015/1/13,LNF,201502,-,-,-,-,-,-,-,76.4,9,75.9,77,76.5,75.8,,
2015/1/13,LNF,201503,-,-,-,-,-,-,-,76.2,0,-,-,-,-,,
2015/1/13,LNF,201506,-,-,-,-,-,-,-,76.2,0,-,-,86,80.5,,
2015/1/13,LNF,201509,-,-,-,-,-,-,-,77.4,0,-,-,-,-,,
2015/1/14,LNF,201501,-,-,-,-,-,-,-,75.8,18,75.2,76.3,77.5,74.1,,
2015/1/14,LNF,201502,-,-,-,-,-,-,-,75.9,9,75.2,76.4,76.5,75.8,,
2015/1/14,LNF,201503,-,-,-,-,-,-,-,75.7,0,-,-,-,-,,
