交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/2/2,LO2,201503,-,-,-,-,-,-,-,16.3,1284,-,-,18.4,16.1,,
2015/2/2,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/3,LO2,201503,16.3,16.3,16.25,16.3,0,0.00%,95,16.3,1284,16.2,16.3,18.4,16.1,,
2015/2/3,LO2,201506,-,-,-,-,-,-,-,16.35,101,-,-,18.05,16.6,,
2015/2/4,LO2,201503,16.3,16.3,16.25,16.25,-0.05,-0.31%,100,16.25,1284,16.25,16.3,18.4,16.1,,
2015/2/4,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/5,LO2,201503,-,-,-,-,-,-,-,16.3,1284,16.25,-,18.4,16.1,,
2015/2/5,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/6,LO2,201503,-,-,-,-,-,-,-,16.3,1284,16.25,-,18.4,16.1,,
2015/2/6,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/9,LO2,201503,-,-,-,-,-,-,-,16.3,1284,16.25,-,18.4,16.1,,
2015/2/9,LO2,201506,-,-,-,-,-,-,-,16.35,101,-,-,18.05,16.6,,
2015/2/10,LO2,201503,16.3,16.35,16.3,16.35,0.05,0.31%,50,16.25,1284,16.25,-,18.4,16.1,,
2015/2/10,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/11,LO2,201503,-,-,-,-,-,-,-,16.3,1284,16.25,-,18.4,16.1,,
2015/2/11,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/12,LO2,201503,-,-,-,-,-,-,-,16.3,1284,-,16.3,18.4,16.1,,
2015/2/12,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/13,LO2,201503,-,-,-,-,-,-,-,16.3,1284,16.25,-,18.4,16.1,,
2015/2/13,LO2,201506,-,-,-,-,-,-,-,16.4,101,-,-,18.05,16.6,,
2015/2/24,LO2,201503,-,-,-,-,-,-,-,16.25,1284,16.25,-,18.4,16.1,,
2015/2/24,LO2,201506,-,-,-,-,-,-,-,16.35,101,-,-,18.05,16.6,,
2015/2/25,LO2,201503,-,-,-,-,-,-,-,16.25,1284,16.25,-,18.4,16.1,,
2015/2/25,LO2,201506,-,-,-,-,-,-,-,16.35,101,-,-,18.05,16.6,,
2015/2/26,LO2,201503,-,-,-,-,-,-,-,16.25,1284,16.25,-,18.4,16.1,,
2015/2/26,LO2,201506,16.2,16.2,16.2,16.2,-0.15,-0.92%,2,16.35,103,-,-,18.05,16.2,,
2015/3/2,LO2,201503,16.25,16.25,16.25,16.25,0,0.00%,65,16.25,1284,16.25,16.35,18.4,16.1,,
2015/3/2,LO2,201506,-,-,-,-,-,-,-,16.35,103,-,-,18.05,16.2,,
2015/3/3,LO2,201503,16.25,16.25,16.25,16.25,0,0.00%,25,16.25,1284,16.2,16.3,18.4,16.1,,
2015/3/3,LO2,201506,-,-,-,-,-,-,-,16.35,103,-,-,18.05,16.2,,
2015/3/4,LO2,201503,16.25,16.25,16.25,16.25,0,0.00%,75,16.25,1284,16.2,-,18.4,16.1,,
2015/3/4,LO2,201506,-,-,-,-,-,-,-,16.35,103,-,-,18.05,16.2,,
2015/3/5,LO2,201503,16.25,16.25,16.25,16.25,0,0.00%,50,16.2,1284,-,16.25,18.4,16.1,,
2015/3/5,LO2,201506,-,-,-,-,-,-,-,16.3,103,-,-,18.05,16.2,,
2015/3/6,LO2,201503,-,-,-,-,-,-,-,16.25,1284,16.2,16.25,18.4,16.1,,
2015/3/6,LO2,201506,-,-,-,-,-,-,-,16.35,103,-,-,18.05,16.2,,
2015/3/9,LO2,201503,16.2,16.25,16.2,16.25,0,0.00%,40,16.25,1284,15.2,16.25,18.4,16.1,,
2015/3/9,LO2,201506,-,-,-,-,-,-,-,16.35,103,-,-,18.05,16.2,,
2015/3/10,LO2,201503,16.2,16.2,16.2,16.2,-0.05,-0.31%,34,16.15,1284,-,16.25,18.4,16.1,,
2015/3/10,LO2,201506,-,-,-,-,-,-,-,16.25,103,-,-,18.05,16.2,,
2015/3/11,LO2,201503,16.2,16.2,16.15,16.15,0,0.00%,30,16.15,1284,-,-,18.4,16.1,,
2015/3/11,LO2,201506,-,-,-,-,-,-,-,16.2,103,-,-,18.05,16.2,,
2015/3/12,LO2,201503,16.15,16.15,16.15,16.15,0,0.00%,12,16.15,1284,-,-,18.4,16.1,,
2015/3/12,LO2,201506,-,-,-,-,-,-,-,16.25,103,-,-,18.05,16.2,,
2015/3/13,LO2,201503,-,-,-,-,-,-,-,16.1,1284,-,-,18.4,16.1,,
2015/3/13,LO2,201506,-,-,-,-,-,-,-,16.2,103,-,-,18.05,16.2,,
2015/3/16,LO2,201503,-,-,-,-,-,-,-,16.1,1284,-,-,18.4,16.1,,
2015/3/16,LO2,201506,-,-,-,-,-,-,-,16.2,103,-,-,18.05,16.2,,
