交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LUF,201501,82.1,85.5,82.1,85.5,0.9,1.06%,20,85.5,116,85,85.6,87.5,80.6,,
2015/1/5,LUF,201502,85.2,85.3,85.2,85.3,0.6,0.71%,3,85.3,49,85,85.6,85.3,84.1,,
2015/1/5,LUF,201503,-,-,-,-,-,-,-,85.5,4,-,86.7,84.1,83.1,,
2015/1/5,LUF,201506,-,-,-,-,-,-,-,86.0,0,-,-,-,-,,
2015/1/5,LUF,201509,-,-,-,-,-,-,-,86.4,0,-,-,-,-,,
2015/1/6,LUF,201501,84.4,84.4,83,83.4,-2.1,-2.46%,17,83.4,110,83.2,83.7,87.5,80.6,,
2015/1/6,LUF,201502,83.3,83.3,83.1,83.2,-2.1,-2.46%,5,83.2,49,83.1,83.6,85.3,83.1,,
2015/1/6,LUF,201503,-,-,-,-,-,-,-,83.4,4,-,86.8,84.1,83.1,,
2015/1/6,LUF,201506,-,-,-,-,-,-,-,83.9,0,-,-,-,-,,
2015/1/6,LUF,201509,-,-,-,-,-,-,-,84.3,0,-,-,-,-,,
2015/1/7,LUF,201501,83.1,84.2,82.7,84.2,0.8,0.96%,112,84.2,92,84.1,84.4,87.5,80.6,,
2015/1/7,LUF,201502,83.2,84,82.7,84,0.8,0.96%,34,84.0,53,84,84.3,85.3,82.7,,
2015/1/7,LUF,201503,-,-,-,-,-,-,-,84.2,4,-,85.8,84.1,83.1,,
2015/1/7,LUF,201506,-,-,-,-,-,-,-,84.7,0,-,-,-,-,,
2015/1/7,LUF,201509,-,-,-,-,-,-,-,85.1,0,-,-,-,-,,
2015/1/8,LUF,201501,85.6,86.1,85.5,85.5,1.3,1.54%,48,85.5,98,84.7,85.6,87.5,80.6,,
2015/1/8,LUF,201502,85.9,86.2,85.4,85.4,1.4,1.67%,30,85.4,54,84.8,85.5,86.2,82.7,,
2015/1/8,LUF,201503,-,-,-,-,-,-,-,85.5,4,-,87,84.1,83.1,,
