交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,LZF,201501,-,-,-,-,-,-,-,149.5,3,146.5,150.5,142.5,134,,
2015/1/5,LZF,201502,149.5,149.5,149.5,149.5,3,2.05%,1,149.5,2,146.5,151.5,149.5,137,,
2015/1/5,LZF,201503,-,-,-,-,-,-,-,147.0,7,-,-,179.5,129.5,,
2015/1/5,LZF,201506,-,-,-,-,-,-,-,149.5,5,-,-,178,130.5,,
2015/1/5,LZF,201509,-,-,-,-,-,-,-,151.0,1,-,-,150,130,,
2015/1/6,LZF,201501,-,-,-,-,-,-,-,149.0,3,146.5,150.5,142.5,134,,
2015/1/6,LZF,201502,-,-,-,-,-,-,-,149.0,2,146.5,150.5,149.5,137,,
2015/1/6,LZF,201503,-,-,-,-,-,-,-,146.5,7,-,-,179.5,129.5,,
2015/1/6,LZF,201506,-,-,-,-,-,-,-,149.0,5,-,-,178,130.5,,
2015/1/6,LZF,201509,-,-,-,-,-,-,-,150.5,1,-,-,150,130,,
2015/1/7,LZF,201501,-,-,-,-,-,-,-,150.0,3,147.5,151.5,142.5,134,,
2015/1/7,LZF,201502,-,-,-,-,-,-,-,150.0,2,147.5,151.5,149.5,137,,
2015/1/7,LZF,201503,-,-,-,-,-,-,-,147.5,7,-,-,179.5,129.5,,
2015/1/7,LZF,201506,-,-,-,-,-,-,-,150.0,5,-,-,178,130.5,,
2015/1/7,LZF,201509,-,-,-,-,-,-,-,151.5,1,-,-,150,130,,
2015/1/8,LZF,201501,-,-,-,-,-,-,-,149.0,3,148,152,142.5,134,,
2015/1/8,LZF,201502,-,-,-,-,-,-,-,149.0,2,148,152,149.5,137,,
2015/1/8,LZF,201503,-,-,-,-,-,-,-,146.5,7,-,-,179.5,129.5,,
2015/1/8,LZF,201506,-,-,-,-,-,-,-,149.0,5,-,-,178,130.5,,
2015/1/8,LZF,201509,-,-,-,-,-,-,-,150.5,1,-,-,150,130,,
2015/1/9,LZF,201501,153.5,153.5,153.5,153.5,4.5,3.02%,1,152.0,3,150,154,153.5,134,,
2015/1/9,LZF,201502,-,-,-,-,-,-,-,152.0,2,151,152.5,149.5,137,,
2015/1/9,LZF,201503,-,-,-,-,-,-,-,149.5,7,-,-,179.5,129.5,,
2015/1/9,LZF,201506,-,-,-,-,-,-,-,152.0,5,-,-,178,130.5,,
2015/1/9,LZF,201509,-,-,-,-,-,-,-,153.5,1,-,-,150,130,,
2015/1/12,LZF,201501,-,-,-,-,-,-,-,152.0,3,149.5,154,153.5,134,,
2015/1/12,LZF,201502,-,-,-,-,-,-,-,152.0,2,149.5,153.5,149.5,137,,
2015/1/12,LZF,201503,-,-,-,-,-,-,-,149.5,7,-,-,179.5,129.5,,
2015/1/12,LZF,201506,-,-,-,-,-,-,-,152.0,5,-,-,178,130.5,,
2015/1/12,LZF,201509,-,-,-,-,-,-,-,153.5,1,-,-,150,130,,
2015/1/13,LZF,201501,-,-,-,-,-,-,-,151.0,3,150,153,153.5,134,,
2015/1/13,LZF,201502,151,151,150.5,150.5,-1.5,-0.99%,2,150.5,2,150,153.5,151,137,,
2015/1/13,LZF,201503,-,-,-,-,-,-,-,148.5,7,-,-,179.5,129.5,,
2015/1/13,LZF,201506,150.5,150.5,150.5,150.5,-1.5,-0.99%,1,150.5,4,-,-,178,130.5,,
2015/1/13,LZF,201509,-,-,-,-,-,-,-,152.5,1,-,-,150,130,,
2015/1/14,LZF,201501,-,-,-,-,-,-,-,151.5,3,149.5,154,153.5,134,,
2015/1/14,LZF,201502,152,152,152,152,1.5,1.00%,1,152.0,3,149.5,153.5,152,137,,
2015/1/14,LZF,201503,-,-,-,-,-,-,-,149.0,7,-,-,179.5,129.5,,
2015/1/14,LZF,201506,-,-,-,-,-,-,-,151.0,4,-,-,178,130.5,,
2015/1/14,LZF,201509,-,-,-,-,-,-,-,153.0,1,-,-,150,130,,
2015/1/15,LZF,201501,-,-,-,-,-,-,-,150.5,3,149,153.5,153.5,134,,
2015/1/15,LZF,201502,-,-,-,-,-,-,-,151.0,3,149,153.5,152,137,,
2015/1/15,LZF,201503,-,-,-,-,-,-,-,148.0,7,-,-,179.5,129.5,,
2015/1/15,LZF,201506,-,-,-,-,-,-,-,150.0,4,-,-,178,130.5,,
2015/1/15,LZF,201509,-,-,-,-,-,-,-,152.0,1,-,-,150,130,,
2015/1/16,LZF,201501,-,-,-,-,-,-,-,146.5,3,143.5,149,153.5,134,,
2015/1/16,LZF,201502,147,147,147,147,-4,-2.65%,1,147.0,4,143.5,147.5,152,137,,
2015/1/16,LZF,201503,-,-,-,-,-,-,-,144.0,7,-,-,179.5,129.5,,
2015/1/16,LZF,201506,-,-,-,-,-,-,-,146.0,4,-,-,178,130.5,,
2015/1/16,LZF,201509,-,-,-,-,-,-,-,148.0,1,-,-,150,130,,
2015/1/19,LZF,201501,-,-,-,-,-,-,-,147.0,3,146,149.5,153.5,134,,
2015/1/19,LZF,201502,-,-,-,-,-,-,-,147.5,4,146,150.5,152,137,,
2015/1/19,LZF,201503,-,-,-,-,-,-,-,144.5,7,-,-,179.5,129.5,,
2015/1/19,LZF,201506,-,-,-,-,-,-,-,146.5,4,-,-,178,130.5,,
2015/1/19,LZF,201509,-,-,-,-,-,-,-,148.5,1,-,-,150,130,,
2015/1/20,LZF,201501,140,140,140,140,-7,-4.76%,1,150.5,4,148,153,153.5,134,,
2015/1/20,LZF,201502,149,149,149,149,1.5,1.02%,1,149.0,3,148,152,152,137,,
