交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MCF,201501,31.1,31.55,30.75,30.8,0.25,0.82%,66,30.8,289,30.8,31.15,31.55,27.95,,
2015/1/5,MCF,201502,30.7,31.45,30.7,30.9,0.3,0.98%,45,30.9,112,30.65,31.05,31.45,29.25,,
2015/1/5,MCF,201503,-,-,-,-,-,-,-,31.0,0,-,32.15,-,-,,
2015/1/5,MCF,201506,-,-,-,-,-,-,-,31.0,1,-,32.15,33.75,25.05,,
2015/1/5,MCF,201509,-,-,-,-,-,-,-,31.35,0,-,32.15,-,-,,
2015/1/6,MCF,201501,30.6,30.6,29.85,29.9,-0.9,-2.92%,55,29.9,288,29.75,30.05,31.55,27.95,,
2015/1/6,MCF,201502,30.55,30.55,29.9,30,-0.9,-2.91%,15,30.0,117,29.7,30.1,31.45,29.25,,
2015/1/6,MCF,201503,-,-,-,-,-,-,-,30.1,0,-,31.05,-,-,,
2015/1/6,MCF,201506,-,-,-,-,-,-,-,30.1,1,-,31.05,33.75,25.05,,
2015/1/6,MCF,201509,-,-,-,-,-,-,-,30.45,0,-,31.05,-,-,,
2015/1/7,MCF,201501,30.1,30.85,30.1,30.55,0.65,2.17%,78,30.55,301,30.5,30.65,31.55,27.95,,
2015/1/7,MCF,201502,30.45,30.7,30.45,30.5,0.5,1.67%,24,30.5,114,30.3,30.7,31.45,29.25,,
2015/1/7,MCF,201503,-,-,-,-,-,-,-,30.75,0,-,31.65,-,-,,
2015/1/7,MCF,201506,-,-,-,-,-,-,-,30.75,1,-,31.65,33.75,25.05,,
2015/1/7,MCF,201509,-,-,-,-,-,-,-,31.1,0,-,31.65,-,-,,
2015/1/8,MCF,201501,30.85,30.95,30.6,30.75,0.2,0.65%,70,30.75,288,30.65,30.9,31.55,27.95,,
2015/1/8,MCF,201502,30.8,30.9,30.8,30.9,0.4,1.31%,10,30.9,114,30.65,31.15,31.45,29.25,,
2015/1/8,MCF,201503,-,-,-,-,-,-,-,30.95,0,-,31.9,-,-,,
2015/1/8,MCF,201506,-,-,-,-,-,-,-,30.95,1,-,31.9,33.75,25.05,,
2015/1/8,MCF,201509,-,-,-,-,-,-,-,31.3,0,-,31.9,-,-,,
2015/1/9,MCF,201501,30.45,30.85,30.3,30.8,0.05,0.16%,27,30.8,278,30.7,30.95,31.55,27.95,,
2015/1/9,MCF,201502,30.7,30.7,30.5,30.7,-0.2,-0.65%,11,30.7,119,30.4,30.95,31.45,29.25,,
2015/1/9,MCF,201503,-,-,-,-,-,-,-,31.0,0,-,31.95,-,-,,
2015/1/9,MCF,201506,-,-,-,-,-,-,-,31.0,1,-,31.95,33.75,25.05,,
2015/1/9,MCF,201509,-,-,-,-,-,-,-,31.35,0,-,31.95,-,-,,
2015/1/12,MCF,201501,30.5,30.8,30.5,30.8,0,0.00%,3,30.8,278,30.4,30.7,31.55,27.95,,
2015/1/12,MCF,201502,30.65,30.65,30.65,30.65,-0.05,-0.16%,1,30.65,119,30.15,30.9,31.45,29.25,,
2015/1/12,MCF,201503,-,-,-,-,-,-,-,31.0,0,-,31.7,-,-,,
2015/1/12,MCF,201506,-,-,-,-,-,-,-,31.0,1,-,31.7,33.75,25.05,,
2015/1/12,MCF,201509,-,-,-,-,-,-,-,31.35,0,-,31.7,-,-,,
2015/1/13,MCF,201501,30.55,30.55,30.15,30.15,-0.65,-2.11%,6,30.15,276,30.1,30.4,31.55,27.95,,
2015/1/13,MCF,201502,30.5,30.55,30.2,30.2,-0.45,-1.47%,36,30.2,134,30.1,30.4,31.45,29.25,,
2015/1/13,MCF,201503,-,-,-,-,-,-,-,30.35,0,-,31.4,-,-,,
2015/1/13,MCF,201506,-,-,-,-,-,-,-,30.35,1,-,31.4,33.75,25.05,,
2015/1/13,MCF,201509,-,-,-,-,-,-,-,30.7,0,-,31.4,-,-,,
2015/1/14,MCF,201501,30.6,30.6,30.2,30.2,0.05,0.17%,11,30.2,276,30.2,30.55,31.55,27.95,,
2015/1/14,MCF,201502,30.65,30.65,30.4,30.5,0.3,0.99%,22,30.5,134,30.3,30.6,31.45,29.25,,
2015/1/14,MCF,201503,-,-,-,-,-,-,-,30.4,0,-,31.55,-,-,,
2015/1/14,MCF,201506,-,-,-,-,-,-,-,30.4,1,-,31.55,33.75,25.05,,
2015/1/14,MCF,201509,-,-,-,-,-,-,-,30.75,0,-,31.55,-,-,,
2015/1/15,MCF,201501,30.8,31.25,30.8,30.9,0.7,2.32%,54,30.9,261,30.85,31.1,31.55,27.95,,
2015/1/15,MCF,201502,30.8,31.2,30.8,30.9,0.4,1.31%,50,30.9,152,30.85,31.35,31.45,29.25,,
2015/1/15,MCF,201503,-,-,-,-,-,-,-,31.1,0,-,32.1,-,-,,
2015/1/15,MCF,201506,-,-,-,-,-,-,-,31.1,1,-,32.1,33.75,25.05,,
2015/1/15,MCF,201509,-,-,-,-,-,-,-,31.45,0,-,32.1,-,-,,
2015/1/16,MCF,201501,30.7,30.7,30.1,30.1,-0.8,-2.59%,47,30.1,242,29.95,30.3,31.55,27.95,,
2015/1/16,MCF,201502,30.7,30.7,30,30,-0.9,-2.91%,72,30.0,142,30,30.15,31.45,29.25,,
2015/1/16,MCF,201503,-,-,-,-,-,-,-,30.3,0,-,31.3,-,-,,
2015/1/16,MCF,201506,-,-,-,-,-,-,-,30.3,1,-,31.3,33.75,25.05,,
2015/1/16,MCF,201509,-,-,-,-,-,-,-,30.65,0,-,31.3,-,-,,
2015/1/19,MCF,201501,30.15,30.2,29.65,29.7,-0.4,-1.33%,60,29.7,195,29.6,30,31.55,27.95,,
2015/1/19,MCF,201502,30.25,30.25,29.6,29.6,-0.4,-1.33%,50,29.6,172,-,29.75,31.45,29.25,,
2015/1/19,MCF,201503,-,-,-,-,-,-,-,29.9,0,-,31,-,-,,
2015/1/19,MCF,201506,-,-,-,-,-,-,-,29.9,1,-,31,33.75,25.05,,
2015/1/19,MCF,201509,-,-,-,-,-,-,-,30.25,0,-,31,-,-,,
2015/1/20,MCF,201501,30.2,30.2,30.2,30.2,0.5,1.68%,4,30.2,195,30.2,30.6,31.55,27.95,,
