交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,ME1,201503,-,-,-,-,-,-,-,34.2,9,-,-,36.4,34.3,,
2015/1/5,ME1,201506,-,-,-,-,-,-,-,34.2,4,-,-,35.8,35.1,,
2015/1/6,ME1,201503,-,-,-,-,-,-,-,33.25,9,-,-,36.4,34.3,,
2015/1/6,ME1,201506,-,-,-,-,-,-,-,33.25,4,-,-,35.8,35.1,,
2015/1/7,ME1,201503,-,-,-,-,-,-,-,33.85,9,-,-,36.4,34.3,,
2015/1/7,ME1,201506,-,-,-,-,-,-,-,33.85,4,-,-,35.8,35.1,,
2015/1/8,ME1,201503,-,-,-,-,-,-,-,34.15,9,-,-,36.4,34.3,,
2015/1/8,ME1,201506,-,-,-,-,-,-,-,34.15,4,-,-,35.8,35.1,,
2015/1/9,ME1,201503,-,-,-,-,-,-,-,33.8,9,-,-,36.4,34.3,,
2015/1/9,ME1,201506,-,-,-,-,-,-,-,33.8,4,-,-,35.8,35.1,,
2015/1/12,ME1,201503,-,-,-,-,-,-,-,33.95,9,-,-,36.4,34.3,,
2015/1/12,ME1,201506,-,-,-,-,-,-,-,33.95,4,-,-,35.8,35.1,,
2015/1/13,ME1,201503,-,-,-,-,-,-,-,33.7,9,-,-,36.4,34.3,,
2015/1/13,ME1,201506,-,-,-,-,-,-,-,33.7,4,-,-,35.8,35.1,,
2015/1/14,ME1,201503,-,-,-,-,-,-,-,33.4,9,-,-,36.4,34.3,,
2015/1/14,ME1,201506,-,-,-,-,-,-,-,33.4,4,-,-,35.8,35.1,,
2015/1/15,ME1,201503,-,-,-,-,-,-,-,33.2,9,-,-,36.4,34.3,,
2015/1/15,ME1,201506,-,-,-,-,-,-,-,33.2,4,-,-,35.8,35.1,,
2015/1/16,ME1,201503,-,-,-,-,-,-,-,32.65,9,-,-,36.4,34.3,,
2015/1/16,ME1,201506,-,-,-,-,-,-,-,32.65,4,-,-,35.8,35.1,,
2015/1/19,ME1,201503,-,-,-,-,-,-,-,32.4,9,-,-,36.4,34.3,,
2015/1/19,ME1,201506,-,-,-,-,-,-,-,32.4,4,-,-,35.8,35.1,,
2015/1/20,ME1,201503,-,-,-,-,-,-,-,33.2,9,-,-,36.4,34.3,,
