交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MKF,201501,111.5,114.5,111.5,112.5,0.5,0.45%,139,112.5,288,112.5,113.5,118,102.5,,
2015/1/5,MKF,201502,111,114,111,113,1.5,1.35%,10,113.0,101,112.5,114,115.5,104,,
2015/1/5,MKF,201503,-,-,-,-,-,-,-,112.5,0,111.5,114.5,-,-,,
2015/1/5,MKF,201506,-,-,-,-,-,-,-,112.5,0,-,114.5,-,-,,
2015/1/5,MKF,201509,-,-,-,-,-,-,-,112.5,0,-,114.5,-,-,,
2015/1/6,MKF,201501,111,112,109.5,111.5,-1,-0.89%,91,111.5,275,110.5,111.5,118,102.5,,
2015/1/6,MKF,201502,110.5,111,109.5,111,-2,-1.77%,12,111.0,103,111,111.5,115.5,104,,
2015/1/6,MKF,201503,-,-,-,-,-,-,-,111.5,0,110,112.5,-,-,,
2015/1/6,MKF,201506,-,-,-,-,-,-,-,111.5,0,-,112.5,-,-,,
2015/1/6,MKF,201509,-,-,-,-,-,-,-,111.5,0,-,112.5,-,-,,
2015/1/7,MKF,201501,111.5,115,111,111.5,0,0.00%,237,111.5,315,111,112,118,102.5,,
2015/1/7,MKF,201502,113,114.5,111.5,111.5,0.5,0.45%,29,111.5,110,111,112.5,115.5,104,,
2015/1/7,MKF,201503,112,112,112,112,0.5,0.45%,1,112.0,1,110,113,112,112,,
2015/1/7,MKF,201506,-,-,-,-,-,-,-,111.5,0,-,113,-,-,,
2015/1/7,MKF,201509,-,-,-,-,-,-,-,111.5,0,-,113,-,-,,
2015/1/8,MKF,201501,111.5,114.5,110,112,0.5,0.45%,193,112.0,300,111.5,112.5,118,102.5,,
2015/1/8,MKF,201502,113,114,112.5,112.5,1,0.90%,12,112.5,107,112,112.5,115.5,104,,
2015/1/8,MKF,201503,-,-,-,-,-,-,-,112.5,1,111,113.5,112,112,,
2015/1/8,MKF,201506,-,-,-,-,-,-,-,112.0,0,-,113.5,-,-,,
2015/1/8,MKF,201509,-,-,-,-,-,-,-,112.0,0,-,113.5,-,-,,
2015/1/9,MKF,201501,113,113.5,112,112.5,0.5,0.45%,80,112.5,286,112,113,118,102.5,,
2015/1/9,MKF,201502,113,113,112.5,112.5,0,0.00%,8,112.5,106,112,113,115.5,104,,
2015/1/9,MKF,201503,-,-,-,-,-,-,-,113.0,1,111,114,112,112,,
2015/1/9,MKF,201506,-,-,-,-,-,-,-,112.5,0,-,114,-,-,,
2015/1/9,MKF,201509,-,-,-,-,-,-,-,112.5,0,-,114,-,-,,
2015/1/12,MKF,201501,112.5,113,110,111,-1.5,-1.33%,75,111.0,279,111,111.5,118,102.5,,
2015/1/12,MKF,201502,112.5,113,110.5,111,-1.5,-1.33%,28,111.0,122,110.5,111.5,115.5,104,,
2015/1/12,MKF,201503,-,-,-,-,-,-,-,111.5,1,109.5,112.5,112,112,,
2015/1/12,MKF,201506,-,-,-,-,-,-,-,111.0,0,-,112.5,-,-,,
2015/1/12,MKF,201509,-,-,-,-,-,-,-,111.0,0,-,112.5,-,-,,
2015/1/13,MKF,201501,111.5,113,111.5,112,1,0.90%,70,112.0,278,111,111.5,118,102.5,,
2015/1/13,MKF,201502,112.5,112.5,111,111.5,0.5,0.45%,30,111.5,130,111,112,115.5,104,,
2015/1/13,MKF,201503,-,-,-,-,-,-,-,112.5,1,110,112.5,112,112,,
2015/1/13,MKF,201506,-,-,-,-,-,-,-,112.0,0,-,112.5,-,-,,
2015/1/13,MKF,201509,-,-,-,-,-,-,-,112.0,0,-,112.5,-,-,,
2015/1/14,MKF,201501,111,112,110.5,112,0,0.00%,48,112.0,259,111.5,112,118,102.5,,
2015/1/14,MKF,201502,111.5,111.5,111,111.5,0,0.00%,10,111.5,132,111.5,112,115.5,104,,
2015/1/14,MKF,201503,-,-,-,-,-,-,-,112.5,1,110.5,113,112,112,,
2015/1/14,MKF,201506,-,-,-,-,-,-,-,112.0,0,-,113,-,-,,
2015/1/14,MKF,201509,-,-,-,-,-,-,-,112.0,0,-,113,-,-,,
2015/1/15,MKF,201501,112,115,112,113.5,1.5,1.34%,331,113.5,243,113,114,118,102.5,,
2015/1/15,MKF,201502,112.5,115,112,113.5,2,1.79%,57,113.5,138,113.5,114,115.5,104,,
2015/1/15,MKF,201503,-,-,-,-,-,-,-,114.0,1,112.5,115,112,112,,
2015/1/15,MKF,201506,-,-,-,-,-,-,-,113.5,0,-,115,-,-,,
2015/1/15,MKF,201509,-,-,-,-,-,-,-,113.5,0,-,115,-,-,,
2015/1/16,MKF,201501,113,113.5,106,106,-7.5,-6.61%,151,106.0,228,-,106,118,102.5,,
2015/1/16,MKF,201502,112,112.5,106,106,-7.5,-6.61%,46,106.0,153,-,106,115.5,104,,
2015/1/16,MKF,201503,-,-,-,-,-,-,-,106.5,1,-,107,112,112,,
2015/1/16,MKF,201506,-,-,-,-,-,-,-,106.0,0,-,107,-,-,,
2015/1/16,MKF,201509,-,-,-,-,-,-,-,106.0,0,-,107,-,-,,
2015/1/19,MKF,201501,106,106,98.6,98.6,-7.4,-6.98%,240,98.6,189,-,98.6,118,98.6,,
2015/1/19,MKF,201502,105,105,98.6,98.6,-7.4,-6.98%,128,98.6,194,-,98.6,115.5,98.6,,
2015/1/19,MKF,201503,99.2,99.2,99.2,99.2,-7.3,-6.85%,1,99.2,2,-,99.2,112,99.2,,
2015/1/19,MKF,201506,-,-,-,-,-,-,-,98.6,0,-,99.6,-,-,,
2015/1/19,MKF,201509,-,-,-,-,-,-,-,98.6,0,-,99.6,-,-,,
2015/1/20,MKF,201501,99.2,100.5,96.3,99.1,0.5,0.51%,145,99.1,157,98.6,99.9,118,96.3,,
2015/1/20,MKF,201502,98.7,101,95.8,98.6,0,0.00%,145,98.6,228,98.5,99.5,115.5,95.8,,
2015/1/20,MKF,201503,97,97,97,97,-2.2,-2.22%,1,98.8,3,97.5,100,112,97,,
2015/1/20,MKF,201506,-,-,-,-,-,-,-,99.1,0,-,101,-,-,,
2015/1/20,MKF,201509,-,-,-,-,-,-,-,99.1,0,-,101,-,-,,
2015/1/21,MKF,201501,100.5,101.5,99.1,99.8,0.7,0.71%,99,0.0,96,99.7,99.9,118,96.3,,
2015/1/21,MKF,201502,99.6,101.5,99.3,99.4,0.8,0.81%,153,99.4,312,99.3,99.5,115.5,95.8,,
2015/1/21,MKF,201503,-,-,-,-,-,-,-,99.5,3,98.3,100,112,97,,
2015/1/21,MKF,201506,-,-,-,-,-,-,-,99.8,0,-,-,-,-,,
2015/1/21,MKF,201509,-,-,-,-,-,-,-,99.8,0,-,-,-,-,,
2015/1/22,MKF,201502,99.5,105.5,98.2,104,4.6,4.63%,451,104.0,323,103.5,104,115.5,95.8,,
2015/1/22,MKF,201503,99.6,105.5,99.6,102.5,3,3.02%,27,104.0,15,103,104.5,112,97,,
2015/1/22,MKF,201506,-,-,-,-,-,-,-,104.5,0,-,-,-,-,,
2015/1/22,MKF,201509,-,-,-,-,-,-,-,104.5,0,-,-,-,-,,
2015/1/22,MKF,201512,-,-,-,-,-,-,-,105.0,0,-,-,-,-,,
2015/1/23,MKF,201502,105.5,109,105.5,107.5,3.5,3.37%,384,107.5,378,106.5,107.5,115.5,95.8,,
2015/1/23,MKF,201503,108,109,107,107.5,3.5,3.37%,32,107.5,23,106.5,108,112,97,,
2015/1/23,MKF,201506,107,107,107,107,2.5,2.39%,15,107.0,15,-,-,107,107,,
2015/1/23,MKF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/1/23,MKF,201512,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/1/26,MKF,201502,108,108,105.5,107.5,0,0.00%,120,107.5,359,107,107.5,115.5,95.8,,
2015/1/26,MKF,201503,107,107,105.5,106.5,-1,-0.93%,17,106.5,29,106.5,107.5,112,97,,
2015/1/26,MKF,201506,107,107,107,107,0,0.00%,45,107.0,60,-,-,107,107,,
2015/1/26,MKF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/1/26,MKF,201512,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/1/27,MKF,201502,107.5,109,106.5,109,1.5,1.40%,118,109.0,354,108,109,115.5,95.8,,
2015/1/27,MKF,201503,108.5,108.5,107,108,1.5,1.41%,4,108.0,30,107.5,109,112,97,,
2015/1/27,MKF,201506,-,-,-,-,-,-,-,108.5,60,-,-,107,107,,
2015/1/27,MKF,201509,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/1/27,MKF,201512,-,-,-,-,-,-,-,110.0,0,-,-,-,-,,
2015/1/28,MKF,201502,107.5,108.5,107,107.5,-1.5,-1.38%,95,107.5,379,107.5,108,115.5,95.8,,
2015/1/28,MKF,201503,108,108.5,107,107,-1,-0.93%,11,107.0,37,107,108,112,97,,
2015/1/28,MKF,201506,-,-,-,-,-,-,-,107.0,60,-,-,107,107,,
2015/1/28,MKF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/1/28,MKF,201512,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/1/29,MKF,201502,106.5,108,106.5,106.5,-1,-0.93%,101,106.5,383,106.5,107.5,115.5,95.8,,
2015/1/29,MKF,201503,106,107.5,106,107.5,0.5,0.47%,7,107.5,33,106,107,112,97,,
2015/1/29,MKF,201506,-,-,-,-,-,-,-,106.0,60,-,-,107,107,,
2015/1/29,MKF,201509,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/1/29,MKF,201512,-,-,-,-,-,-,-,107.5,0,-,-,-,-,,
2015/1/30,MKF,201502,107.5,109,104.5,104.5,-2,-1.88%,285,104.5,331,104.5,105.5,115.5,95.8,,
2015/1/30,MKF,201503,108,109,105,105.5,-2,-1.86%,28,105.5,38,104,105.5,112,97,,
2015/1/30,MKF,201506,-,-,-,-,-,-,-,104.0,60,-,-,107,107,,
2015/1/30,MKF,201509,-,-,-,-,-,-,-,105.0,0,-,-,-,-,,
2015/1/30,MKF,201512,-,-,-,-,-,-,-,105.5,0,-,-,-,-,,
2015/2/2,MKF,201502,106,106.5,104,105,0.5,0.48%,183,105.0,289,104.5,105.5,115.5,95.8,,
2015/2/2,MKF,201503,104.5,105,104,104,-1.5,-1.42%,21,104.0,45,104,105,112,97,,
2015/2/2,MKF,201506,-,-,-,-,-,-,-,104.5,60,-,-,107,107,,
2015/2/2,MKF,201509,-,-,-,-,-,-,-,105.5,0,-,-,-,-,,
2015/2/2,MKF,201512,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/2/3,MKF,201502,105,106,104.5,105.5,0.5,0.48%,87,105.5,280,105,105.5,115.5,95.8,,
2015/2/3,MKF,201503,105.5,105.5,104.5,105,1,0.96%,24,105.0,54,104.5,105.5,112,97,,
2015/2/3,MKF,201506,-,-,-,-,-,-,-,105.0,60,-,-,107,107,,
2015/2/3,MKF,201509,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/2/3,MKF,201512,-,-,-,-,-,-,-,106.5,0,-,-,-,-,,
2015/2/4,MKF,201502,106.5,108.5,105,107.5,2,1.90%,339,107.5,278,107,107.5,115.5,95.8,,
2015/2/4,MKF,201503,106,108.5,105.5,106.5,1.5,1.43%,65,106.5,85,107,108,112,97,,
2015/2/4,MKF,201506,-,-,-,-,-,-,-,107.0,60,-,-,107,107,,
2015/2/4,MKF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/2/4,MKF,201512,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/2/5,MKF,201502,106.5,106.5,105.5,106,-1.5,-1.40%,70,106.0,265,106,106.5,115.5,95.8,,
2015/2/5,MKF,201503,106,106.5,106,106,-0.5,-0.47%,18,106.0,88,106,107,112,97,,
2015/2/5,MKF,201506,-,-,-,-,-,-,-,105.5,60,-,-,107,107,,
2015/2/5,MKF,201509,-,-,-,-,-,-,-,106.5,0,-,-,-,-,,
2015/2/5,MKF,201512,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/2/6,MKF,201502,106,109,106,106.5,0.5,0.47%,224,106.5,252,106,106.5,115.5,95.8,,
2015/2/6,MKF,201503,106.5,109,106.5,107,1,0.94%,44,107.0,99,106,107,112,97,,
2015/2/6,MKF,201506,-,-,-,-,-,-,-,106.0,60,-,-,107,107,,
2015/2/6,MKF,201509,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/2/6,MKF,201512,-,-,-,-,-,-,-,107.5,0,-,-,-,-,,
