交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MLF,201501,102.5,103.5,102.5,103,0,0.00%,7,103.0,34,102,103.5,110,98.2,,
2015/1/5,MLF,201502,103,103,103,103,0.5,0.49%,1,103.0,6,101.5,103.5,103,100.5,,
2015/1/5,MLF,201503,-,-,-,-,-,-,-,102.0,2,-,-,103.5,103.5,,
2015/1/5,MLF,201506,-,-,-,-,-,-,-,102.0,0,-,-,-,-,,
2015/1/5,MLF,201509,-,-,-,-,-,-,-,103.0,0,-,-,-,-,,
2015/1/6,MLF,201501,101.5,101.5,100.5,101.5,-1.5,-1.46%,9,101.5,29,99.9,103,110,98.2,,
2015/1/6,MLF,201502,101,101,101,101,-2,-1.94%,1,101.0,6,99.6,103,103,100.5,,
2015/1/6,MLF,201503,-,-,-,-,-,-,-,100.5,2,-,-,103.5,103.5,,
2015/1/6,MLF,201506,-,-,-,-,-,-,-,100.5,0,-,-,-,-,,
2015/1/6,MLF,201509,-,-,-,-,-,-,-,101.5,0,-,-,-,-,,
2015/1/7,MLF,201501,102.5,102.5,101.5,101.5,0,0.00%,5,101.5,29,100,103.5,110,98.2,,
2015/1/7,MLF,201502,101.5,101.5,101.5,101.5,0.5,0.50%,1,101.5,7,99.6,103.5,103,100.5,,
2015/1/7,MLF,201503,-,-,-,-,-,-,-,100.5,2,-,-,103.5,103.5,,
2015/1/7,MLF,201506,-,-,-,-,-,-,-,100.5,0,-,-,-,-,,
2015/1/7,MLF,201509,-,-,-,-,-,-,-,101.5,0,-,-,-,-,,
2015/1/8,MLF,201501,102.5,102.5,102,102,0.5,0.49%,5,102.0,26,101.5,102,110,98.2,,
2015/1/8,MLF,201502,102,102,102,102,0.5,0.49%,1,102.0,7,101,102.5,103,100.5,,
2015/1/8,MLF,201503,-,-,-,-,-,-,-,101.0,2,-,-,103.5,103.5,,
2015/1/8,MLF,201506,-,-,-,-,-,-,-,101.0,0,-,-,-,-,,
