交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/6,MN1,201509,63.9,63.9,63.9,63.9,0.9,1.43%,1,63.9,7,61,-,76.2,63.9,,
2015/8/7,MN1,201509,61.9,61.9,61.3,61.3,-2.6,-4.07%,2,61.3,7,-,61.4,76.2,61.3,,
2015/8/10,MN1,201509,59.9,60.2,59.9,60.2,-1.1,-1.79%,2,60.2,6,59.2,-,76.2,59.9,,
2015/8/11,MN1,201509,58.9,58.9,57.3,57.3,-2.9,-4.82%,6,56.6,3,56.1,57,76.2,57.3,,
2015/8/12,MN1,201509,56.1,56.1,56.1,56.1,-0.5,-0.88%,1,56.1,2,55.8,57,76.2,56.1,,
2015/8/13,MN1,201509,-,-,-,-,-,-,-,55.5,2,55.3,56.1,76.2,56.1,,
2015/8/14,MN1,201509,-,-,-,-,-,-,-,56.4,2,56.3,57.3,76.2,56.1,,
2015/8/17,MN1,201509,-,-,-,-,-,-,-,53.8,2,53.2,54.4,76.2,56.1,,
2015/8/18,MN1,201509,-,-,-,-,-,-,-,53.6,2,53.2,54.3,76.2,56.1,,
2015/8/19,MN1,201509,-,-,-,-,-,-,-,50.9,2,-,52.1,76.2,56.1,,
2015/8/20,MN1,201509,-,-,-,-,-,-,-,52.7,2,-,53.2,76.2,56.1,,
2015/8/21,MN1,201509,-,-,-,-,-,-,-,48.8,2,-,49.5,76.2,56.1,,
2015/8/24,MN1,201509,45.1,45.1,45.1,45.1,-3.7,-7.58%,1,45.1,3,-,-,76.2,45.1,,
2015/8/25,MN1,201509,45.4,49.5,45.4,49.5,4.4,9.76%,5,49.5,3,-,-,76.2,45.1,,
2015/8/26,MN1,201509,-,-,-,-,-,-,-,51.4,3,52,-,76.2,45.1,,
2015/8/27,MN1,201509,-,-,-,-,-,-,-,54.8,3,53.8,55.8,76.2,45.1,,
2015/8/28,MN1,201509,56.4,56.4,55.9,56.4,1.6,2.92%,6,58.5,9,57,60,76.2,45.1,,
2015/8/31,MN1,201509,59,59,59,59,0.5,0.85%,1,59.0,10,55,-,76.2,45.1,,
2015/9/1,MN1,201509,-,-,-,-,-,-,-,60.2,10,55.9,-,76.2,45.1,,
2015/9/2,MN1,201509,58.5,58.5,58.5,58.5,-1.7,-2.82%,1,58.5,9,57.1,-,76.2,45.1,,
2015/9/3,MN1,201509,-,-,-,-,-,-,-,59.0,9,57.5,59.5,76.2,45.1,,
2015/9/4,MN1,201509,-,-,-,-,-,-,-,58.6,9,57.3,-,76.2,45.1,,
2015/9/7,MN1,201509,-,-,-,-,-,-,-,58.9,9,57.7,59.1,76.2,45.1,,
2015/9/8,MN1,201509,-,-,-,-,-,-,-,59.1,9,58.3,59.5,76.2,45.1,,
2015/9/9,MN1,201509,60.1,60.1,60,60,0.9,1.52%,6,60.0,3,59.8,61.1,76.2,45.1,,
2015/9/10,MN1,201509,59.4,59.4,59.4,59.4,-0.6,-1.00%,5,59.4,6,59.2,60.6,76.2,45.1,,
2015/9/11,MN1,201509,60.2,60.3,60.2,60.2,0.8,1.35%,10,60.2,16,60,60.7,76.2,45.1,,
2015/9/14,MN1,201509,-,-,-,-,-,-,-,60.2,16,59.6,-,76.2,45.1,,
2015/9/15,MN1,201509,-,-,-,-,-,-,-,60.2,16,59.6,60.7,76.2,45.1,,
2015/9/16,MN1,201509,60.8,60.8,60.8,60.8,0.6,1.00%,2,0.0,14,-,60.9,76.2,45.1,,
