交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MNF,201501,75.5,76.3,75.2,75.2,0.1,0.13%,9,75.2,12,74.9,76.4,76.3,70.5,,
2015/1/5,MNF,201502,-,-,-,-,-,-,-,75.2,5,74.8,75.8,75.1,75.1,,
2015/1/5,MNF,201503,-,-,-,-,-,-,-,74.1,0,-,-,-,-,,
2015/1/5,MNF,201506,-,-,-,-,-,-,-,74.5,0,-,-,-,-,,
2015/1/5,MNF,201509,-,-,-,-,-,-,-,74.6,0,-,-,-,-,,
2015/1/6,MNF,201501,74.7,74.9,74.2,74.2,-1,-1.33%,7,74.2,11,74,75.3,76.3,70.5,,
2015/1/6,MNF,201502,-,-,-,-,-,-,-,74.2,5,73.9,74.7,75.1,75.1,,
2015/1/6,MNF,201503,-,-,-,-,-,-,-,73.1,0,-,-,-,-,,
2015/1/6,MNF,201506,-,-,-,-,-,-,-,73.5,0,-,-,-,-,,
2015/1/6,MNF,201509,-,-,-,-,-,-,-,73.6,0,-,-,-,-,,
2015/1/7,MNF,201501,-,-,-,-,-,-,-,74.3,11,73.6,75,76.3,70.5,,
2015/1/7,MNF,201502,-,-,-,-,-,-,-,74.3,5,73.5,74.4,75.1,75.1,,
2015/1/7,MNF,201503,-,-,-,-,-,-,-,73.2,0,-,-,-,-,,
2015/1/7,MNF,201506,-,-,-,-,-,-,-,73.6,0,-,-,-,-,,
2015/1/7,MNF,201509,-,-,-,-,-,-,-,73.7,0,-,-,-,-,,
2015/1/8,MNF,201501,75,75,75,75,0.7,0.94%,1,75.0,10,74.4,75.4,76.3,70.5,,
2015/1/8,MNF,201502,74.3,74.3,74.3,74.3,0,0.00%,5,74.3,5,74.3,75.2,75.1,74.3,,
2015/1/8,MNF,201503,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/8,MNF,201506,-,-,-,-,-,-,-,74.3,0,-,-,-,-,,
2015/1/8,MNF,201509,-,-,-,-,-,-,-,74.4,0,-,-,-,-,,
2015/1/9,MNF,201501,74.9,74.9,74.8,74.8,-0.2,-0.27%,2,74.9,10,73.9,75.9,76.3,70.5,,
2015/1/9,MNF,201502,-,-,-,-,-,-,-,75.0,5,74.5,75.4,75.1,74.3,,
2015/1/9,MNF,201503,-,-,-,-,-,-,-,73.8,0,-,-,-,-,,
2015/1/9,MNF,201506,-,-,-,-,-,-,-,74.2,0,-,-,-,-,,
2015/1/9,MNF,201509,-,-,-,-,-,-,-,74.3,0,-,-,-,-,,
2015/1/12,MNF,201501,-,-,-,-,-,-,-,75.0,10,74.5,75.4,76.3,70.5,,
2015/1/12,MNF,201502,-,-,-,-,-,-,-,75.1,5,74.4,75.2,75.1,74.3,,
2015/1/12,MNF,201503,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/12,MNF,201506,-,-,-,-,-,-,-,74.3,0,-,-,-,-,,
2015/1/12,MNF,201509,-,-,-,-,-,-,-,74.4,0,-,-,-,-,,
2015/1/13,MNF,201501,-,-,-,-,-,-,-,75.1,10,75,75.5,76.3,70.5,,
2015/1/13,MNF,201502,-,-,-,-,-,-,-,75.2,5,74.9,75.7,75.1,74.3,,
2015/1/13,MNF,201503,-,-,-,-,-,-,-,74.0,0,-,-,-,-,,
2015/1/13,MNF,201506,-,-,-,-,-,-,-,74.4,0,-,-,-,-,,
2015/1/13,MNF,201509,-,-,-,-,-,-,-,74.5,0,-,-,-,-,,
2015/1/14,MNF,201501,-,-,-,-,-,-,-,75.5,10,74.9,75.5,76.3,70.5,,
2015/1/14,MNF,201502,-,-,-,-,-,-,-,75.6,5,74.9,75.6,75.1,74.3,,
2015/1/14,MNF,201503,-,-,-,-,-,-,-,74.4,0,-,-,-,-,,
2015/1/14,MNF,201506,-,-,-,-,-,-,-,74.8,0,-,-,-,-,,
