交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MPF,201501,62.2,63.2,61.8,62.3,1.4,2.30%,96,62.3,122,61.6,62.9,63.2,52.3,,
2015/1/5,MPF,201502,62.2,62.3,62,62.2,1.3,2.13%,17,62.2,22,61.5,63,62.3,55.5,,
2015/1/5,MPF,201503,-,-,-,-,-,-,-,63.5,2,-,-,54.7,45.5,,
2015/1/5,MPF,201506,-,-,-,-,-,-,-,63.0,0,-,-,-,-,,
2015/1/5,MPF,201509,-,-,-,-,-,-,-,63.2,0,-,-,-,-,,
2015/1/6,MPF,201501,61.7,62.7,60.4,60.8,-1.5,-2.41%,53,60.8,117,61.1,61.9,63.2,52.3,,
2015/1/6,MPF,201502,62.3,62.6,60.5,60.7,-1.5,-2.41%,19,60.7,23,61,61.8,62.6,55.5,,
2015/1/6,MPF,201503,-,-,-,-,-,-,-,62.0,2,-,-,54.7,45.5,,
2015/1/6,MPF,201506,-,-,-,-,-,-,-,61.5,0,-,-,-,-,,
2015/1/6,MPF,201509,-,-,-,-,-,-,-,61.7,0,-,-,-,-,,
2015/1/7,MPF,201501,60.2,61.2,59.9,60.5,-0.3,-0.49%,25,60.5,112,60.2,61.1,63.2,52.3,,
2015/1/7,MPF,201502,61,61,60.1,60.8,0.1,0.16%,6,60.8,22,60.3,61,62.6,55.5,,
2015/1/7,MPF,201503,-,-,-,-,-,-,-,61.7,2,-,-,54.7,45.5,,
2015/1/7,MPF,201506,-,-,-,-,-,-,-,61.2,0,-,-,-,-,,
2015/1/7,MPF,201509,-,-,-,-,-,-,-,61.4,0,-,-,-,-,,
2015/1/8,MPF,201501,61,61,60.7,60.9,0.4,0.66%,11,60.9,112,60.6,61.2,63.2,52.3,,
2015/1/8,MPF,201502,60.8,60.8,60.7,60.7,-0.1,-0.16%,2,60.7,22,60.6,61.3,62.6,55.5,,
2015/1/8,MPF,201503,-,-,-,-,-,-,-,62.1,2,-,-,54.7,45.5,,
2015/1/8,MPF,201506,-,-,-,-,-,-,-,61.6,0,-,-,-,-,,
