交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MUF,201501,117.5,117.5,117.5,117.5,1,0.86%,1,119.0,13,117,120.5,119,112.5,,
2015/1/5,MUF,201502,118.5,119,118.5,119,2.5,2.15%,2,119.0,9,116.5,120.5,119,115,,
2015/1/5,MUF,201503,-,-,-,-,-,-,-,118.5,1,115,121.5,117,111.5,,
2015/1/5,MUF,201506,-,-,-,-,-,-,-,119.5,0,-,121.5,111,107.5,,
2015/1/5,MUF,201509,-,-,-,-,-,-,-,120.0,0,-,121.5,-,-,,
2015/1/6,MUF,201501,117,117,117,117,-2,-1.68%,1,117.0,12,115.5,119.5,119,112.5,,
2015/1/6,MUF,201502,-,-,-,-,-,-,-,117.0,9,115.5,119.5,119,115,,
2015/1/6,MUF,201503,-,-,-,-,-,-,-,116.5,1,114,120.5,117,111.5,,
2015/1/6,MUF,201506,-,-,-,-,-,-,-,117.5,0,-,120.5,111,107.5,,
2015/1/6,MUF,201509,-,-,-,-,-,-,-,118.0,0,-,120.5,-,-,,
2015/1/7,MUF,201501,118.5,119,118,118,1,0.85%,10,118.0,14,115.5,120,119,112.5,,
2015/1/7,MUF,201502,118.5,118.5,118.5,118.5,1.5,1.28%,1,118.5,9,115.5,120,119,115,,
2015/1/7,MUF,201503,-,-,-,-,-,-,-,117.5,1,114,121,117,111.5,,
2015/1/7,MUF,201506,-,-,-,-,-,-,-,118.5,0,-,121,111,107.5,,
2015/1/7,MUF,201509,-,-,-,-,-,-,-,119.0,0,-,121,-,-,,
2015/1/8,MUF,201501,118.5,119,118.5,118.5,0.5,0.42%,4,118.5,14,116.5,120.5,119,112.5,,
2015/1/8,MUF,201502,-,-,-,-,-,-,-,119.0,9,116.5,120.5,119,115,,
2015/1/8,MUF,201503,-,-,-,-,-,-,-,118.0,1,115,121.5,117,111.5,,
2015/1/8,MUF,201506,-,-,-,-,-,-,-,119.0,0,-,121.5,111,107.5,,
2015/1/8,MUF,201509,-,-,-,-,-,-,-,119.5,0,-,121.5,-,-,,
2015/1/9,MUF,201501,-,-,-,-,-,-,-,119.0,14,116.5,120.5,119,112.5,,
2015/1/9,MUF,201502,-,-,-,-,-,-,-,119.5,9,117,120.5,119,115,,
2015/1/9,MUF,201503,-,-,-,-,-,-,-,118.5,1,115.5,121.5,117,111.5,,
2015/1/9,MUF,201506,-,-,-,-,-,-,-,119.5,0,-,121.5,111,107.5,,
2015/1/9,MUF,201509,-,-,-,-,-,-,-,120.0,0,-,121.5,-,-,,
2015/1/12,MUF,201501,118.5,119,118.5,118.5,-0.5,-0.42%,5,118.5,12,117,120.5,119,112.5,,
2015/1/12,MUF,201502,-,-,-,-,-,-,-,119.0,9,117,121,119,115,,
2015/1/12,MUF,201503,-,-,-,-,-,-,-,118.5,1,115.5,121.5,117,111.5,,
2015/1/12,MUF,201506,-,-,-,-,-,-,-,119.0,0,-,121.5,111,107.5,,
2015/1/12,MUF,201509,-,-,-,-,-,-,-,119.5,0,-,121.5,-,-,,
2015/1/13,MUF,201501,120.5,124.5,120.5,124.5,6,5.06%,15,124.5,17,125,126.5,124.5,112.5,,
