交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,MVF,201501,42.8,43.3,42.55,43.05,0.1,0.23%,30,43.05,51,42.8,43.15,43.9,38.95,,
2015/1/5,MVF,201502,42.7,43.3,42.7,42.95,0.2,0.47%,26,42.95,33,42.85,43.1,43.3,39.8,,
2015/1/5,MVF,201503,-,-,-,-,-,-,-,42.0,2,-,-,42.3,42,,
2015/1/5,MVF,201506,-,-,-,-,-,-,-,42.6,0,-,-,-,-,,
2015/1/5,MVF,201509,-,-,-,-,-,-,-,42.75,0,-,-,-,-,,
2015/1/6,MVF,201501,43.5,44.3,43.5,43.9,0.85,1.97%,36,43.9,62,43.8,44.2,44.3,38.95,,
2015/1/6,MVF,201502,42.95,44.5,42.95,44.05,1.1,2.56%,39,44.05,60,43.85,44.25,44.5,39.8,,
2015/1/6,MVF,201503,-,-,-,-,-,-,-,42.85,2,43.5,-,42.3,42,,
2015/1/6,MVF,201506,-,-,-,-,-,-,-,43.45,0,-,-,-,-,,
2015/1/6,MVF,201509,-,-,-,-,-,-,-,43.6,0,-,-,-,-,,
2015/1/7,MVF,201501,44.9,44.95,44.05,44.05,0.15,0.34%,22,44.05,62,43.8,44.05,44.95,38.95,,
2015/1/7,MVF,201502,44.95,44.95,44.1,44.1,0.05,0.11%,21,44.1,75,43.75,44.1,44.95,39.8,,
2015/1/7,MVF,201503,44.55,44.55,44.55,44.55,1.7,3.97%,1,44.55,1,-,-,44.55,42,,
2015/1/7,MVF,201506,-,-,-,-,-,-,-,43.6,0,-,-,-,-,,
2015/1/7,MVF,201509,-,-,-,-,-,-,-,43.75,0,-,-,-,-,,
2015/1/8,MVF,201501,44.25,44.4,43.4,43.95,-0.1,-0.23%,16,43.95,60,43.75,44,44.95,38.95,,
