交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NAF,201501,30,31.6,30,31.3,1.6,5.39%,302,31.3,476,31.3,31.4,31.6,28.6,,
2015/1/5,NAF,201502,30.2,31.65,30.2,31.4,1.6,5.37%,113,31.4,139,31.3,31.45,31.65,28.6,,
2015/1/5,NAF,201503,-,-,-,-,-,-,-,31.4,21,-,-,30.25,29.35,,
2015/1/5,NAF,201506,-,-,-,-,-,-,-,31.4,3,-,31.15,27.65,26,,
2015/1/5,NAF,201509,-,-,-,-,-,-,-,31.65,0,-,-,-,-,,
2015/1/6,NAF,201501,31.55,32.25,31.45,32.2,0.9,2.88%,301,32.2,474,32.1,32.2,32.25,28.6,,
2015/1/6,NAF,201502,31.6,32.2,31.5,32.2,0.8,2.55%,51,32.2,164,32.1,32.2,32.2,28.6,,
2015/1/6,NAF,201503,-,-,-,-,-,-,-,32.3,21,-,-,30.25,29.35,,
2015/1/6,NAF,201506,31.7,31.7,31.3,31.3,-0.1,-0.32%,3,32.3,1,-,-,31.7,26,,
2015/1/6,NAF,201509,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/1/7,NAF,201501,32.45,32.85,31.7,31.7,-0.5,-1.55%,144,31.7,451,31.7,33,32.85,28.6,,
2015/1/7,NAF,201502,32.5,32.6,31.7,32,-0.2,-0.62%,41,32.0,176,31.7,33.05,32.6,28.6,,
2015/1/7,NAF,201503,-,-,-,-,-,-,-,31.8,21,-,-,30.25,29.35,,
2015/1/7,NAF,201506,-,-,-,-,-,-,-,31.8,1,-,-,31.7,26,,
2015/1/7,NAF,201509,-,-,-,-,-,-,-,32.05,0,-,-,-,-,,
2015/1/8,NAF,201501,32.3,32.6,31.8,31.95,0.25,0.79%,33,31.95,458,32.05,33.05,32.85,28.6,,
2015/1/8,NAF,201502,32.3,32.3,31.85,32,0,0.00%,11,32.0,177,32.1,33.1,32.6,28.6,,
2015/1/8,NAF,201503,-,-,-,-,-,-,-,32.05,21,-,-,30.25,29.35,,
2015/1/8,NAF,201506,-,-,-,-,-,-,-,32.05,1,-,-,31.7,26,,
2015/1/8,NAF,201509,-,-,-,-,-,-,-,32.3,0,-,-,-,-,,
2015/1/9,NAF,201501,33.05,34.15,33.05,34.15,2.2,6.89%,150,34.15,405,34.15,-,34.15,28.6,,
2015/1/9,NAF,201502,33.55,34.2,33.55,34.2,2.2,6.88%,27,34.2,177,34.15,-,34.2,28.6,,
2015/1/9,NAF,201503,34.2,34.25,34.2,34.25,2.2,6.86%,8,34.25,13,30.25,-,34.25,29.35,,
2015/1/9,NAF,201506,-,-,-,-,-,-,-,34.25,1,-,-,31.7,26,,
2015/1/9,NAF,201509,-,-,-,-,-,-,-,34.5,0,-,-,-,-,,
2015/1/12,NAF,201501,34.45,35.35,34.35,34.5,0.35,1.02%,135,34.5,424,34.35,34.9,35.35,28.6,,
2015/1/12,NAF,201502,34.45,35.35,34.2,34.55,0.35,1.02%,84,34.55,187,34.35,34.9,35.35,28.6,,
2015/1/12,NAF,201503,34.7,35.15,34.7,35.1,0.85,2.48%,11,35.1,2,-,-,35.15,29.35,,
2015/1/12,NAF,201506,-,-,-,-,-,-,-,34.6,1,-,-,31.7,26,,
2015/1/12,NAF,201509,-,-,-,-,-,-,-,34.85,0,-,-,-,-,,
