交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/09/01,ND1,202309  ,88.1,91.1,87.8,90.3,2.9,3.32%,650.0,90.3,1050,90.3,90.5,91.6,72.1,,一般,,
2023/09/01,ND1,202310  ,91.5,91.5,88,89.1,1.6,1.83%,98.0,90.3,68,89.7,90.2,91.5,73.6,,一般,,
2023/09/04,ND1,202309  ,90.5,90.7,86.9,87.9,-2.4,-2.66%,379.0,88,1015,87.4,88,91.6,72.1,,一般,,
2023/09/04,ND1,202310  ,87.8,87.8,86.6,86.7,-3.6,-3.99%,10.0,87.8,66,86.8,87.8,91.5,73.6,,一般,,
2023/09/05,ND1,202309  ,88.6,89.5,87.7,89.5,1.5,1.70%,73.0,89.6,1017,89.4,89.7,91.6,72.1,,一般,,
2023/09/05,ND1,202310  ,88,88.9,88,88.9,1.1,1.25%,15.0,89.3,66,88.9,89.6,91.5,73.6,,一般,,
2023/09/06,ND1,202309  ,90.6,91,88.8,89.1,-0.5,-0.56%,63.0,89.4,1004,89.1,89.5,91.6,72.1,,一般,,
2023/09/06,ND1,202310  ,90.1,90.1,88.8,88.8,-0.5,-0.56%,8.0,89.1,59,88.6,89.4,91.5,73.6,,一般,,
2023/09/07,ND1,202309  ,87.3,93.4,87.3,91.3,1.9,2.13%,41.0,91.8,996,91.5,91.9,93.4,72.1,,一般,,
2023/09/07,ND1,202310  ,-,-,-,-,-,-,0.0,91.6,59,91,91.8,91.5,73.6,,一般,,
2023/09/08,ND1,202309  ,90.1,90.1,89,89,-2.8,-3.05%,15.0,89.6,1003,89.4,89.7,93.4,72.1,,一般,,
2023/09/08,ND1,202310  ,-,-,-,-,-,-,0.0,89.3,59,88.9,89.6,91.5,73.6,,一般,,
2023/09/11,ND1,202309  ,90.6,92.6,90.5,91.5,1.9,2.12%,44.0,91.4,1020,91.2,91.6,93.4,72.1,,一般,,
2023/09/11,ND1,202310  ,-,-,-,-,-,-,0.0,91.1,59,90.7,91.5,91.5,73.6,,一般,,
2023/09/12,ND1,202309  ,92.2,94.6,90.2,92.9,1.5,1.64%,39.0,93.5,1021,93.1,93.6,94.6,72.1,,一般,,
2023/09/12,ND1,202310  ,-,-,-,-,-,-,0.0,93.4,59,92.8,-,91.5,73.6,,一般,,
2023/09/13,ND1,202309  ,92,92.5,91.3,91.5,-2,-2.14%,16.0,93.7,1029,93.4,93.8,94.6,72.1,,一般,,
2023/09/13,ND1,202310  ,93.4,-,-,93.4,0,0.00%,3.0,93.6,59,92.9,93.7,91.5,73.6,,一般,,
2023/09/14,ND1,202309  ,94.5,95,93.6,93.6,-0.1,-0.11%,19.0,93.7,1031,93.4,94.1,95,72.1,,一般,,
2023/09/14,ND1,202310  ,-,-,-,-,-,-,0.0,93.5,59,92.9,94,91.5,73.6,,一般,,
2023/09/15,ND1,202309  ,95.2,96.4,95.2,96.4,2.7,2.88%,17.0,96.3,1019,96.1,96.6,96.4,72.1,,一般,,
2023/09/15,ND1,202310  ,94,96.3,94,96.3,2.8,2.99%,10.0,96.4,57,96,96.6,96.3,73.6,,一般,,
2023/09/18,ND1,202309  ,94.6,95,94.1,94.4,-1.9,-1.97%,29.0,94.5,1007,94.3,94.7,96.4,72.1,,一般,,
2023/09/18,ND1,202310  ,94.6,94.6,94.5,94.5,-1.9,-1.97%,6.0,94.4,57,94.2,95.1,96.3,73.6,,一般,,
2023/09/19,ND1,202309  ,95.1,95.1,92.2,92.6,-1.9,-2.01%,20.0,92.8,1001,92.6,93,96.4,72.1,,一般,,
2023/09/19,ND1,202310  ,93.8,94.5,92.5,92.5,-1.9,-2.01%,5.0,92.7,57,92.5,93.1,96.3,73.6,,一般,,
2023/09/20,ND1,202309  ,93.2,93.4,89.7,89.7,-3.1,-3.34%,17.0,0,998,89.8,89.9,96.4,72.1,,一般,,
