交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NFF,201501,1550,1575,1550,1570,-15,-0.95%,5,1570.0,17,1535,1570,1585,1455,,
2015/1/5,NFF,201502,-,-,-,-,-,-,-,1560.0,1,1505,1570,1575,1445,,
2015/1/5,NFF,201503,-,-,-,-,-,-,-,1575.0,1,-,1570,1300,1300,,
2015/1/5,NFF,201506,-,-,-,-,-,-,-,1580.0,0,-,1575,-,-,,
2015/1/5,NFF,201509,-,-,-,-,-,-,-,1580.0,0,-,1575,-,-,,
2015/1/6,NFF,201501,1550,1550,1480,1485,-85,-5.41%,11,1485.0,16,1470,1500,1585,1455,,
2015/1/6,NFF,201502,-,-,-,-,-,-,-,1475.0,1,-,1500,1575,1445,,
2015/1/6,NFF,201503,-,-,-,-,-,-,-,1490.0,1,-,1500,1300,1300,,
2015/1/6,NFF,201506,-,-,-,-,-,-,-,1495.0,0,-,1505,-,-,,
2015/1/6,NFF,201509,-,-,-,-,-,-,-,1495.0,0,-,1505,-,-,,
2015/1/7,NFF,201501,1500,1500,1480,1480,-5,-0.34%,2,1480.0,16,1420,1500,1585,1455,,
2015/1/7,NFF,201502,-,-,-,-,-,-,-,1470.0,1,1390,1500,1575,1445,,
2015/1/7,NFF,201503,-,-,-,-,-,-,-,1485.0,1,-,1500,1300,1300,,
2015/1/7,NFF,201506,-,-,-,-,-,-,-,1490.0,0,-,1505,-,-,,
2015/1/7,NFF,201509,-,-,-,-,-,-,-,1490.0,0,-,1505,-,-,,
2015/1/8,NFF,201501,1515,1515,1480,1480,0,0.00%,6,1480.0,14,1380,1490,1585,1455,,
2015/1/8,NFF,201502,1495,1495,1495,1495,25,1.70%,1,1490.0,1,-,1490,1575,1445,,
2015/1/8,NFF,201503,-,-,-,-,-,-,-,1485.0,1,-,1490,1300,1300,,
2015/1/8,NFF,201506,-,-,-,-,-,-,-,1490.0,0,-,1495,-,-,,
2015/1/8,NFF,201509,-,-,-,-,-,-,-,1490.0,0,-,1495,-,-,,
2015/1/9,NFF,201501,1500,1500,1460,1470,-10,-0.68%,9,1470.0,15,1450,1485,1585,1455,,
2015/1/9,NFF,201502,1500,1500,1500,1500,10,0.67%,1,1465.0,2,1440,1485,1575,1445,,
2015/1/9,NFF,201503,-,-,-,-,-,-,-,1475.0,1,-,1485,1300,1300,,
2015/1/9,NFF,201506,-,-,-,-,-,-,-,1480.0,0,-,1490,-,-,,
2015/1/9,NFF,201509,-,-,-,-,-,-,-,1480.0,0,-,1490,-,-,,
2015/1/12,NFF,201501,1440,1440,1390,1415,-55,-3.74%,6,1415.0,14,1390,1410,1585,1390,,
2015/1/12,NFF,201502,-,-,-,-,-,-,-,1410.0,2,1380,1410,1575,1445,,
2015/1/12,NFF,201503,-,-,-,-,-,-,-,1420.0,1,-,1410,1300,1300,,
2015/1/12,NFF,201506,-,-,-,-,-,-,-,1425.0,0,-,1415,-,-,,
2015/1/12,NFF,201509,-,-,-,-,-,-,-,1425.0,0,-,1415,-,-,,
2015/1/13,NFF,201501,1435,1445,1410,1420,5,0.35%,8,1420.0,13,1410,1460,1585,1390,,
2015/1/13,NFF,201502,-,-,-,-,-,-,-,1415.0,2,1400,1450,1575,1445,,
2015/1/13,NFF,201503,-,-,-,-,-,-,-,1425.0,1,-,1450,1300,1300,,
2015/1/13,NFF,201506,-,-,-,-,-,-,-,1430.0,0,-,1455,-,-,,
2015/1/13,NFF,201509,-,-,-,-,-,-,-,1430.0,0,-,1455,-,-,,
2015/1/14,NFF,201501,1415,1455,1405,1455,35,2.46%,8,1455.0,11,1440,1485,1585,1390,,
