交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NGF,201501,498,498,495,495,-6,-1.20%,3,495.0,40,495,502,501,425,,
2015/1/5,NGF,201502,498.5,498.5,498.5,498.5,-1,-0.20%,3,498.5,21,493,503,499.5,428,,
2015/1/5,NGF,201503,-,-,-,-,-,-,-,493.5,0,-,-,-,-,,
2015/1/5,NGF,201506,-,-,-,-,-,-,-,490.5,2,-,-,496.5,496.5,,
2015/1/5,NGF,201509,-,-,-,-,-,-,-,493.5,0,-,-,-,-,,
2015/1/6,NGF,201501,482,485,470,477.5,-17.5,-3.54%,14,477.5,37,474.5,-,501,425,,
2015/1/6,NGF,201502,484,484,470,472.5,-26,-5.22%,8,472.5,24,475,-,499.5,428,,
2015/1/6,NGF,201503,-,-,-,-,-,-,-,476.0,0,-,-,-,-,,
2015/1/6,NGF,201506,470.5,470.5,470,470,-20.5,-4.18%,2,470.0,0,-,-,496.5,470,,
2015/1/6,NGF,201509,-,-,-,-,-,-,-,476.0,0,-,-,-,-,,
2015/1/7,NGF,201501,477,477,470.5,470.5,-7,-1.47%,2,477.5,36,476,478.5,501,425,,
2015/1/7,NGF,201502,477.5,477.5,477.5,477.5,5,1.06%,1,477.5,25,474.5,479,499.5,428,,
2015/1/7,NGF,201503,-,-,-,-,-,-,-,476.0,0,-,-,-,-,,
2015/1/7,NGF,201506,-,-,-,-,-,-,-,470.0,0,-,-,496.5,470,,
2015/1/7,NGF,201509,-,-,-,-,-,-,-,476.0,0,-,-,-,-,,
2015/1/8,NGF,201501,474,479,474,479,1.5,0.31%,2,479.0,35,463.5,484.5,501,425,,
2015/1/8,NGF,201502,478.5,478.5,478.5,478.5,1,0.21%,1,478.5,26,461.5,484.5,499.5,428,,
2015/1/8,NGF,201503,-,-,-,-,-,-,-,477.5,0,-,-,-,-,,
2015/1/8,NGF,201506,-,-,-,-,-,-,-,471.5,0,-,-,496.5,470,,
2015/1/8,NGF,201509,-,-,-,-,-,-,-,477.5,0,-,-,-,-,,
2015/1/9,NGF,201501,-,-,-,-,-,-,-,480.0,35,476,485,501,425,,
2015/1/9,NGF,201502,-,-,-,-,-,-,-,479.5,26,474.5,485,499.5,428,,
2015/1/9,NGF,201503,-,-,-,-,-,-,-,478.5,0,-,-,-,-,,
2015/1/9,NGF,201506,-,-,-,-,-,-,-,472.5,0,-,-,496.5,470,,
2015/1/9,NGF,201509,-,-,-,-,-,-,-,478.5,0,-,-,-,-,,
2015/1/12,NGF,201501,479,479,470,470,-10,-2.08%,5,470.0,33,451.5,507,501,425,,
2015/1/12,NGF,201502,479.5,479.5,469,474.5,-5,-1.04%,4,474.5,27,450,508,499.5,428,,
2015/1/12,NGF,201503,-,-,-,-,-,-,-,468.5,0,-,509,-,-,,
2015/1/12,NGF,201506,-,-,-,-,-,-,-,462.5,0,-,-,496.5,470,,
2015/1/12,NGF,201509,-,-,-,-,-,-,-,468.5,0,-,-,-,-,,
2015/1/13,NGF,201501,474,474.5,474,474.5,4.5,0.96%,3,474.5,33,471.5,481,501,425,,
2015/1/13,NGF,201502,471.5,471.5,471.5,471.5,-3,-0.63%,1,475.0,28,470,479.5,499.5,428,,
