交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NH1,201506,-,-,-,-,-,-,-,70.5,1,-,-,81.9,81.9,,
2015/1/6,NH1,201506,-,-,-,-,-,-,-,70.0,1,-,-,81.9,81.9,,
2015/1/7,NH1,201506,-,-,-,-,-,-,-,73.2,1,-,-,81.9,81.9,,
2015/1/8,NH1,201506,-,-,-,-,-,-,-,68.2,1,-,-,81.9,81.9,,
2015/1/9,NH1,201506,-,-,-,-,-,-,-,68.0,1,-,-,81.9,81.9,,
2015/1/12,NH1,201506,-,-,-,-,-,-,-,67.7,1,-,-,81.9,81.9,,
2015/1/13,NH1,201506,-,-,-,-,-,-,-,66.2,1,-,-,81.9,81.9,,
2015/1/14,NH1,201506,-,-,-,-,-,-,-,65.7,1,-,-,81.9,81.9,,
2015/1/15,NH1,201506,-,-,-,-,-,-,-,66.8,1,-,-,81.9,81.9,,
2015/1/16,NH1,201506,-,-,-,-,-,-,-,65.6,1,-,-,81.9,81.9,,
2015/1/19,NH1,201506,-,-,-,-,-,-,-,65.2,1,-,-,81.9,81.9,,
2015/1/20,NH1,201506,-,-,-,-,-,-,-,65.5,1,-,-,81.9,81.9,,
2015/1/21,NH1,201506,-,-,-,-,-,-,-,66.2,1,-,-,81.9,81.9,,
2015/1/22,NH1,201506,-,-,-,-,-,-,-,66.1,1,-,-,81.9,81.9,,
2015/1/23,NH1,201506,-,-,-,-,-,-,-,66.4,1,-,-,81.9,81.9,,
2015/1/26,NH1,201506,-,-,-,-,-,-,-,66.4,1,-,-,81.9,81.9,,
2015/1/27,NH1,201506,-,-,-,-,-,-,-,66.4,1,-,-,81.9,81.9,,
2015/1/28,NH1,201506,-,-,-,-,-,-,-,66.1,1,-,-,81.9,81.9,,
2015/1/29,NH1,201506,-,-,-,-,-,-,-,65.2,1,-,-,81.9,81.9,,
2015/1/30,NH1,201506,-,-,-,-,-,-,-,65.3,1,-,-,81.9,81.9,,
2015/2/2,NH1,201506,-,-,-,-,-,-,-,65.1,1,-,-,81.9,81.9,,
2015/2/3,NH1,201506,-,-,-,-,-,-,-,64.9,1,-,-,81.9,81.9,,
2015/2/4,NH1,201506,-,-,-,-,-,-,-,64.9,1,-,-,81.9,81.9,,
2015/2/5,NH1,201506,-,-,-,-,-,-,-,64.9,1,-,-,81.9,81.9,,
2015/2/6,NH1,201506,-,-,-,-,-,-,-,66.6,1,-,-,81.9,81.9,,
2015/2/9,NH1,201506,-,-,-,-,-,-,-,69.2,1,-,-,81.9,81.9,,
2015/2/10,NH1,201506,-,-,-,-,-,-,-,68.1,1,-,-,81.9,81.9,,
2015/2/11,NH1,201506,-,-,-,-,-,-,-,67.1,1,-,-,81.9,81.9,,
2015/2/12,NH1,201506,-,-,-,-,-,-,-,66.6,1,-,-,81.9,81.9,,
2015/2/13,NH1,201506,-,-,-,-,-,-,-,67.0,1,-,-,81.9,81.9,,
2015/2/24,NH1,201506,-,-,-,-,-,-,-,67.6,1,-,-,81.9,81.9,,
2015/2/25,NH1,201506,-,-,-,-,-,-,-,67.1,1,-,-,81.9,81.9,,
2015/2/26,NH1,201506,-,-,-,-,-,-,-,66.9,1,-,-,81.9,81.9,,
2015/3/2,NH1,201506,-,-,-,-,-,-,-,67.1,1,-,-,81.9,81.9,,
2015/3/3,NH1,201506,-,-,-,-,-,-,-,68.5,1,-,-,81.9,81.9,,
2015/3/4,NH1,201506,-,-,-,-,-,-,-,67.7,1,-,-,81.9,81.9,,
2015/3/5,NH1,201506,-,-,-,-,-,-,-,68.1,1,-,-,81.9,81.9,,
2015/3/6,NH1,201506,-,-,-,-,-,-,-,69.2,1,-,-,81.9,81.9,,
2015/3/9,NH1,201506,-,-,-,-,-,-,-,68.4,1,-,-,81.9,81.9,,
2015/3/10,NH1,201506,-,-,-,-,-,-,-,67.7,1,-,-,81.9,81.9,,
2015/3/11,NH1,201506,-,-,-,-,-,-,-,67.3,1,-,-,81.9,81.9,,
2015/3/12,NH1,201506,-,-,-,-,-,-,-,68.6,1,-,-,81.9,81.9,,
2015/3/13,NH1,201506,-,-,-,-,-,-,-,68.9,1,-,-,81.9,81.9,,
2015/3/16,NH1,201506,-,-,-,-,-,-,-,67.8,1,-,-,81.9,81.9,,
2015/3/17,NH1,201506,-,-,-,-,-,-,-,67.6,1,-,-,81.9,81.9,,
2015/3/18,NH1,201506,-,-,-,-,-,-,-,67.2,1,-,-,81.9,81.9,,
2015/3/19,NH1,201506,-,-,-,-,-,-,-,67.2,1,-,-,81.9,81.9,,
2015/3/20,NH1,201506,-,-,-,-,-,-,-,68.9,1,-,-,81.9,81.9,,
2015/3/23,NH1,201506,-,-,-,-,-,-,-,68.3,1,-,-,81.9,81.9,,
2015/3/24,NH1,201506,-,-,-,-,-,-,-,67.6,1,-,-,81.9,81.9,,
2015/3/25,NH1,201506,-,-,-,-,-,-,-,68.4,1,-,-,81.9,81.9,,
2015/3/26,NH1,201506,-,-,-,-,-,-,-,67.4,1,-,-,81.9,81.9,,
2015/3/27,NH1,201506,-,-,-,-,-,-,-,67.2,1,-,-,81.9,81.9,,
2015/3/30,NH1,201506,-,-,-,-,-,-,-,64.7,1,-,-,81.9,81.9,,
2015/3/31,NH1,201506,-,-,-,-,-,-,-,64.3,1,-,-,81.9,81.9,,
2015/4/1,NH1,201506,-,-,-,-,-,-,-,64.2,1,-,-,81.9,81.9,,
2015/4/2,NH1,201506,-,-,-,-,-,-,-,63.9,1,-,-,81.9,81.9,,
2015/4/7,NH1,201506,-,-,-,-,-,-,-,65.0,1,-,-,81.9,81.9,,
2015/4/8,NH1,201506,-,-,-,-,-,-,-,66.3,1,-,-,81.9,81.9,,
2015/4/9,NH1,201506,-,-,-,-,-,-,-,66.6,1,-,-,81.9,81.9,,
2015/4/10,NH1,201506,-,-,-,-,-,-,-,66.5,1,-,-,81.9,81.9,,
2015/4/13,NH1,201506,-,-,-,-,-,-,-,66.3,1,-,-,81.9,81.9,,
2015/4/14,NH1,201506,-,-,-,-,-,-,-,66.9,1,-,-,81.9,81.9,,
2015/4/15,NH1,201506,-,-,-,-,-,-,-,67.1,1,-,-,81.9,81.9,,
2015/4/16,NH1,201506,-,-,-,-,-,-,-,67.0,1,-,-,81.9,81.9,,
2015/4/17,NH1,201506,-,-,-,-,-,-,-,65.8,1,-,-,81.9,81.9,,
2015/4/20,NH1,201506,-,-,-,-,-,-,-,65.2,1,-,-,81.9,81.9,,
2015/4/21,NH1,201506,-,-,-,-,-,-,-,64.4,1,-,-,81.9,81.9,,
2015/4/22,NH1,201506,-,-,-,-,-,-,-,64.9,1,-,-,81.9,81.9,,
2015/4/23,NH1,201506,-,-,-,-,-,-,-,65.1,1,-,-,81.9,81.9,,
2015/4/24,NH1,201506,-,-,-,-,-,-,-,65.6,1,-,-,81.9,81.9,,
2015/4/27,NH1,201506,-,-,-,-,-,-,-,68.4,1,-,-,81.9,81.9,,
2015/4/28,NH1,201506,-,-,-,-,-,-,-,67.5,1,-,-,81.9,81.9,,
2015/4/29,NH1,201506,-,-,-,-,-,-,-,67.9,1,-,-,81.9,81.9,,
2015/4/30,NH1,201506,-,-,-,-,-,-,-,68.8,1,-,-,81.9,81.9,,
2015/5/4,NH1,201506,-,-,-,-,-,-,-,70.0,1,-,-,81.9,81.9,,
2015/5/5,NH1,201506,-,-,-,-,-,-,-,69.0,1,-,-,81.9,81.9,,
2015/5/6,NH1,201506,-,-,-,-,-,-,-,72.6,1,-,-,81.9,81.9,,
2015/5/7,NH1,201506,-,-,-,-,-,-,-,73.2,1,-,-,81.9,81.9,,
2015/5/8,NH1,201506,-,-,-,-,-,-,-,72.8,1,-,-,81.9,81.9,,
2015/5/11,NH1,201506,-,-,-,-,-,-,-,72.0,1,-,-,81.9,81.9,,
2015/5/12,NH1,201506,-,-,-,-,-,-,-,74.2,1,-,-,81.9,81.9,,
2015/5/13,NH1,201506,-,-,-,-,-,-,-,72.9,1,-,-,81.9,81.9,,
2015/5/14,NH1,201506,-,-,-,-,-,-,-,73.8,1,-,-,81.9,81.9,,
2015/5/15,NH1,201506,-,-,-,-,-,-,-,73.4,1,-,-,81.9,81.9,,
2015/5/18,NH1,201506,-,-,-,-,-,-,-,72.4,1,-,-,81.9,81.9,,
2015/5/19,NH1,201506,-,-,-,-,-,-,-,73.1,1,-,-,81.9,81.9,,
2015/5/20,NH1,201506,-,-,-,-,-,-,-,72.0,1,-,-,81.9,81.9,,
2015/5/21,NH1,201506,-,-,-,-,-,-,-,71.7,1,-,-,81.9,81.9,,
2015/5/22,NH1,201506,-,-,-,-,-,-,-,72.1,1,-,-,81.9,81.9,,
2015/5/25,NH1,201506,-,-,-,-,-,-,-,76.0,1,-,-,81.9,81.9,,
2015/5/26,NH1,201506,-,-,-,-,-,-,-,75.2,1,-,-,81.9,81.9,,
2015/5/27,NH1,201506,-,-,-,-,-,-,-,75.5,1,-,78.2,81.9,81.9,,
2015/5/28,NH1,201506,-,-,-,-,-,-,-,77.1,1,-,-,81.9,81.9,,
2015/5/29,NH1,201506,-,-,-,-,-,-,-,76.3,1,-,-,81.9,81.9,,
2015/6/1,NH1,201506,-,-,-,-,-,-,-,74.2,1,-,-,81.9,81.9,,
2015/6/2,NH1,201506,-,-,-,-,-,-,-,74.9,1,-,-,81.9,81.9,,
2015/6/3,NH1,201506,-,-,-,-,-,-,-,73.9,1,-,-,81.9,81.9,,
2015/6/4,NH1,201506,-,-,-,-,-,-,-,70.9,1,-,-,81.9,81.9,,
2015/6/5,NH1,201506,-,-,-,-,-,-,-,71.0,1,-,-,81.9,81.9,,
2015/6/8,NH1,201506,-,-,-,-,-,-,-,71.1,1,-,-,81.9,81.9,,
2015/6/9,NH1,201506,-,-,-,-,-,-,-,67.2,1,-,-,81.9,81.9,,
2015/6/10,NH1,201506,-,-,-,-,-,-,-,69.2,1,-,-,81.9,81.9,,
2015/6/11,NH1,201506,-,-,-,-,-,-,-,69.1,1,-,-,81.9,81.9,,
2015/6/12,NH1,201506,-,-,-,-,-,-,-,71.5,1,-,-,81.9,81.9,,
2015/6/15,NH1,201506,-,-,-,-,-,-,-,71.0,1,-,-,81.9,81.9,,
2015/6/16,NH1,201506,-,-,-,-,-,-,-,73.0,1,-,-,81.9,81.9,,
2015/6/17,NH1,201506,-,-,-,-,-,-,-,0.0,1,-,-,81.9,81.9,,
