交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NOF,201501,54.3,54.7,54.2,54.6,-0.4,-0.73%,36,54.6,340,54.6,54.9,56.2,47,,
2015/1/5,NOF,201502,54.8,54.8,54.3,54.8,0,0.00%,35,54.8,37,54.6,55.5,56.1,52.7,,
2015/1/5,NOF,201503,-,-,-,-,-,-,-,54.3,0,-,-,-,-,,
2015/1/5,NOF,201506,-,-,-,-,-,-,-,54.3,0,-,-,-,-,,
2015/1/5,NOF,201509,-,-,-,-,-,-,-,54.7,0,-,-,-,-,,
2015/1/6,NOF,201501,53.9,53.9,51.9,52.3,-2.3,-4.21%,119,52.3,321,51.5,52.2,56.2,47,,
2015/1/6,NOF,201502,53.8,53.8,52,52.1,-2.7,-4.93%,36,52.1,48,52.1,52.8,56.1,52,,
2015/1/6,NOF,201503,-,-,-,-,-,-,-,52.0,0,-,-,-,-,,
2015/1/6,NOF,201506,-,-,-,-,-,-,-,52.0,0,-,-,-,-,,
2015/1/6,NOF,201509,-,-,-,-,-,-,-,52.4,0,-,-,-,-,,
2015/1/7,NOF,201501,52.9,53,51.9,52.4,0.1,0.19%,86,52.4,274,52,52.6,56.2,47,,
2015/1/7,NOF,201502,53,53,52,52.5,0.4,0.77%,86,52.5,67,52,53.2,56.1,52,,
2015/1/7,NOF,201503,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/7,NOF,201506,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/7,NOF,201509,-,-,-,-,-,-,-,52.5,0,-,-,-,-,,
2015/1/8,NOF,201501,52.6,52.6,51.8,52,-0.4,-0.76%,81,52.0,296,52,52.1,56.2,47,,
2015/1/8,NOF,201502,52.8,52.8,51.9,51.9,-0.6,-1.14%,37,51.9,81,52,52.7,56.1,51.9,,
2015/1/8,NOF,201503,-,-,-,-,-,-,-,51.7,0,-,-,-,-,,
2015/1/8,NOF,201506,-,-,-,-,-,-,-,51.7,0,-,-,-,-,,
2015/1/8,NOF,201509,-,-,-,-,-,-,-,52.1,0,-,55,-,-,,
2015/1/9,NOF,201501,52.5,53.8,52.1,53.1,1.1,2.12%,169,53.1,243,52.4,53.5,56.2,47,,
2015/1/9,NOF,201502,52.3,53.8,52.3,53.3,1.4,2.70%,77,53.3,68,53,54.1,56.1,51.9,,
2015/1/9,NOF,201503,-,-,-,-,-,-,-,52.8,0,48.65,-,-,-,,
2015/1/9,NOF,201506,-,-,-,-,-,-,-,52.8,0,-,-,-,-,,
2015/1/9,NOF,201509,-,-,-,-,-,-,-,53.2,0,-,-,-,-,,
2015/1/12,NOF,201501,53.1,53.6,52.2,52.2,-0.9,-1.69%,63,52.2,240,52.2,52.5,56.2,47,,
2015/1/12,NOF,201502,53.1,53.5,52.5,52.5,-0.8,-1.50%,27,52.5,81,52.1,52.6,56.1,51.9,,
2015/1/12,NOF,201503,-,-,-,-,-,-,-,51.9,0,49.8,-,-,-,,
2015/1/12,NOF,201506,-,-,-,-,-,-,-,51.9,0,-,-,-,-,,
2015/1/12,NOF,201509,-,-,-,-,-,-,-,52.3,0,-,-,-,-,,
2015/1/13,NOF,201501,52.7,52.8,52.4,52.5,0.3,0.57%,40,52.5,218,52,53.1,56.2,47,,
2015/1/13,NOF,201502,52.5,52.8,52.4,52.6,0.1,0.19%,46,52.6,103,52.5,53,56.1,51.9,,
2015/1/13,NOF,201503,-,-,-,-,-,-,-,52.2,0,51.5,-,-,-,,
2015/1/13,NOF,201506,-,-,-,-,-,-,-,52.2,0,-,-,-,-,,
2015/1/13,NOF,201509,-,-,-,-,-,-,-,52.6,0,-,-,-,-,,
2015/1/14,NOF,201501,53,53,51.5,51.5,-1,-1.90%,23,51.5,215,51.5,51.7,56.2,47,,
2015/1/14,NOF,201502,52.7,52.7,51.6,51.6,-1,-1.90%,42,51.6,137,51.6,51.8,56.1,51.6,,
2015/1/14,NOF,201503,-,-,-,-,-,-,-,51.2,0,48.6,-,-,-,,
2015/1/14,NOF,201506,-,-,-,-,-,-,-,51.2,0,-,-,-,-,,
2015/1/14,NOF,201509,-,-,-,-,-,-,-,51.6,0,-,-,-,-,,
2015/1/15,NOF,201501,52.1,52.1,50.6,50.8,-0.7,-1.36%,38,50.8,200,50.5,51.5,56.2,47,,
2015/1/15,NOF,201502,51.7,51.7,50.7,50.8,-0.8,-1.55%,46,50.8,152,50.6,51.6,56.1,50.7,,
2015/1/15,NOF,201503,-,-,-,-,-,-,-,50.5,0,-,-,-,-,,
2015/1/15,NOF,201506,-,-,-,-,-,-,-,50.5,0,-,-,-,-,,
2015/1/15,NOF,201509,-,-,-,-,-,-,-,50.9,0,-,-,-,-,,
2015/1/16,NOF,201501,50.8,50.8,49,49,-1.8,-3.54%,67,49.0,194,49,49.6,56.2,47,,
2015/1/16,NOF,201502,50.7,50.7,49,49,-1.8,-3.54%,54,49.0,176,48.9,51.9,56.1,49,,
2015/1/16,NOF,201503,-,-,-,-,-,-,-,48.7,0,-,-,-,-,,
2015/1/16,NOF,201506,-,-,-,-,-,-,-,48.7,0,-,-,-,-,,
2015/1/16,NOF,201509,-,-,-,-,-,-,-,49.1,0,-,-,-,-,,
2015/1/19,NOF,201501,49.8,49.8,49.4,49.6,0.6,1.22%,15,49.6,191,49.3,49.6,56.2,47,,
2015/1/19,NOF,201502,49.7,49.7,49.5,49.6,0.6,1.22%,18,49.6,161,49,49.6,56.1,49,,
2015/1/19,NOF,201503,-,-,-,-,-,-,-,49.3,0,-,-,-,-,,
2015/1/19,NOF,201506,-,-,-,-,-,-,-,49.3,0,-,-,-,-,,
