交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NQF,201501,157,157,156.5,157,-0.5,-0.32%,4,157.0,35,157,159.5,162.5,153.5,,
2015/1/5,NQF,201502,-,-,-,-,-,-,-,156.0,10,156.5,159.5,159.5,154,,
2015/1/5,NQF,201503,-,-,-,-,-,-,-,157.5,0,-,-,171,159,,
2015/1/5,NQF,201506,-,-,-,-,-,-,-,157.5,1,-,164,158,148,,
2015/1/5,NQF,201509,-,-,-,-,-,-,-,158.5,0,-,-,-,-,,
2015/1/6,NQF,201501,157,157,156.5,157,0,0.00%,3,157.0,34,156.5,160,162.5,153.5,,
2015/1/6,NQF,201502,156,156,156,156,0,0.00%,2,158.0,10,155.5,160,159.5,154,,
2015/1/6,NQF,201503,-,-,-,-,-,-,-,157.5,0,-,-,171,159,,
2015/1/6,NQF,201506,-,-,-,-,-,-,-,157.5,1,-,164,158,148,,
2015/1/6,NQF,201509,-,-,-,-,-,-,-,158.5,0,-,-,-,-,,
2015/1/7,NQF,201501,157.5,157.5,157.5,157.5,0.5,0.32%,2,157.5,32,157.5,159.5,162.5,153.5,,
2015/1/7,NQF,201502,158.5,158.5,158.5,158.5,0.5,0.32%,1,158.5,11,156.5,159.5,159.5,154,,
2015/1/7,NQF,201503,-,-,-,-,-,-,-,158.0,0,-,-,171,159,,
2015/1/7,NQF,201506,-,-,-,-,-,-,-,158.0,1,-,164,158,148,,
2015/1/7,NQF,201509,-,-,-,-,-,-,-,159.0,0,-,-,-,-,,
2015/1/8,NQF,201501,158.5,158.5,158.5,158.5,1,0.63%,2,158.5,30,157.5,160,162.5,153.5,,
2015/1/8,NQF,201502,-,-,-,-,-,-,-,159.5,11,157.5,160,159.5,154,,
2015/1/8,NQF,201503,-,-,-,-,-,-,-,159.0,0,-,-,171,159,,
2015/1/8,NQF,201506,-,-,-,-,-,-,-,159.0,1,-,164,158,148,,
2015/1/8,NQF,201509,-,-,-,-,-,-,-,160.0,0,-,-,-,-,,
2015/1/9,NQF,201501,157,157,157,157,-1.5,-0.95%,1,157.0,30,156.5,160.5,162.5,153.5,,
2015/1/9,NQF,201502,-,-,-,-,-,-,-,158.0,11,156.5,160.5,159.5,154,,
2015/1/9,NQF,201503,-,-,-,-,-,-,-,157.5,0,-,-,171,159,,
2015/1/9,NQF,201506,-,-,-,-,-,-,-,157.5,1,-,164,158,148,,
2015/1/9,NQF,201509,-,-,-,-,-,-,-,158.5,0,-,-,-,-,,
2015/1/12,NQF,201501,156,156,156,156,-1,-0.64%,7,156.0,30,155,159.5,162.5,153.5,,
2015/1/12,NQF,201502,156.5,156.5,155,155,-3,-1.90%,2,155.0,12,154.5,160,159.5,154,,
2015/1/12,NQF,201503,-,-,-,-,-,-,-,156.5,0,-,-,171,159,,
2015/1/12,NQF,201506,-,-,-,-,-,-,-,156.5,1,-,-,158,148,,
2015/1/12,NQF,201509,-,-,-,-,-,-,-,157.5,0,-,-,-,-,,
2015/1/13,NQF,201501,-,-,-,-,-,-,-,158.0,30,155,-,162.5,153.5,,
2015/1/13,NQF,201502,-,-,-,-,-,-,-,157.0,12,153.5,-,159.5,154,,
2015/1/13,NQF,201503,-,-,-,-,-,-,-,158.5,0,-,-,171,159,,
2015/1/13,NQF,201506,-,-,-,-,-,-,-,158.5,1,-,164,158,148,,
2015/1/13,NQF,201509,-,-,-,-,-,-,-,159.5,0,-,-,-,-,,
2015/1/14,NQF,201501,-,-,-,-,-,-,-,155.5,30,154.5,160,162.5,153.5,,
2015/1/14,NQF,201502,-,-,-,-,-,-,-,154.5,12,154.5,160,159.5,154,,
2015/1/14,NQF,201503,-,-,-,-,-,-,-,156.0,0,-,-,171,159,,
2015/1/14,NQF,201506,-,-,-,-,-,-,-,156.0,1,-,164,158,148,,
2015/1/14,NQF,201509,-,-,-,-,-,-,-,157.0,0,-,-,-,-,,
2015/1/15,NQF,201501,153,154,153,153,-2.5,-1.61%,6,153.0,34,-,156,162.5,153,,
2015/1/15,NQF,201502,154.5,154.5,152,152.5,-2,-1.29%,7,152.5,14,-,154.5,159.5,152,,
2015/1/15,NQF,201503,-,-,-,-,-,-,-,153.5,0,-,-,171,159,,
2015/1/15,NQF,201506,-,-,-,-,-,-,-,153.5,1,-,-,158,148,,
2015/1/15,NQF,201509,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/1/16,NQF,201501,151.5,151.5,149.5,149.5,-3.5,-2.29%,3,149.5,32,-,150,162.5,149.5,,
2015/1/16,NQF,201502,151.5,151.5,148,148,-4.5,-2.95%,10,148.0,20,148,150,159.5,148,,
2015/1/16,NQF,201503,-,-,-,-,-,-,-,150.0,0,-,-,171,159,,
2015/1/16,NQF,201506,-,-,-,-,-,-,-,150.0,1,-,-,158,148,,
2015/1/16,NQF,201509,-,-,-,-,-,-,-,151.0,0,150,-,-,-,,
2015/1/19,NQF,201501,152,152,152,152,2.5,1.67%,1,152.0,31,-,151,162.5,149.5,,
2015/1/19,NQF,201502,150,151,150,151,3,2.03%,7,151.0,16,-,151,159.5,148,,
2015/1/19,NQF,201503,-,-,-,-,-,-,-,152.5,0,-,-,171,159,,
2015/1/19,NQF,201506,-,-,-,-,-,-,-,152.5,1,-,-,158,148,,
2015/1/19,NQF,201509,-,-,-,-,-,-,-,153.5,0,148,-,-,-,,
2015/1/20,NQF,201501,-,-,-,-,-,-,-,154.5,31,-,154,162.5,149.5,,
2015/1/20,NQF,201502,152.5,153,152.5,153,2,1.32%,2,153.0,17,151,-,159.5,148,,
2015/1/20,NQF,201503,-,-,-,-,-,-,-,155.0,0,-,-,171,159,,
2015/1/20,NQF,201506,-,-,-,-,-,-,-,155.0,1,-,-,158,148,,
2015/1/20,NQF,201509,-,-,-,-,-,-,-,156.0,0,148,-,-,-,,
2015/1/21,NQF,201501,154,154,153,153,-1.5,-0.97%,5,0.0,26,152.5,154,162.5,149.5,,
2015/1/21,NQF,201502,153.5,155.5,153.5,153.5,0.5,0.33%,20,153.5,29,-,-,159.5,148,,
2015/1/21,NQF,201503,153,153,153,153,-2,-1.29%,2,153.0,2,-,-,171,153,,
2015/1/21,NQF,201506,-,-,-,-,-,-,-,153.5,1,-,-,158,148,,
2015/1/21,NQF,201509,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/1/22,NQF,201502,156.5,156.5,154,154,0.5,0.33%,12,154.0,27,151,155.5,159.5,148,,
2015/1/22,NQF,201503,-,-,-,-,-,-,-,153.5,2,150,156.5,171,153,,
2015/1/22,NQF,201506,-,-,-,-,-,-,-,154.0,1,-,-,158,148,,
2015/1/22,NQF,201509,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/1/22,NQF,201512,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/1/23,NQF,201502,157,157,157,157,3,1.95%,1,157.0,27,-,159,159.5,148,,
2015/1/23,NQF,201503,-,-,-,-,-,-,-,156.5,2,-,160,171,153,,
2015/1/23,NQF,201506,-,-,-,-,-,-,-,157.0,1,-,158,158,148,,
2015/1/23,NQF,201509,-,-,-,-,-,-,-,158.0,0,-,-,-,-,,
2015/1/23,NQF,201512,-,-,-,-,-,-,-,158.0,0,-,-,-,-,,
2015/1/26,NQF,201502,155.5,155.5,153.5,153.5,-3.5,-2.23%,5,153.5,26,-,156,159.5,148,,
2015/1/26,NQF,201503,155.5,155.5,153,153,-3.5,-2.24%,2,153.0,3,-,156.5,171,153,,
2015/1/26,NQF,201506,-,-,-,-,-,-,-,153.5,1,-,-,158,148,,
2015/1/26,NQF,201509,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/1/26,NQF,201512,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/1/27,NQF,201502,155.5,155.5,153,153,-0.5,-0.33%,4,153.0,25,144,154.5,159.5,148,,
2015/1/27,NQF,201503,-,-,-,-,-,-,-,152.5,3,143,154,171,153,,
2015/1/27,NQF,201506,-,-,-,-,-,-,-,153.0,1,-,-,158,148,,
2015/1/27,NQF,201509,-,-,-,-,-,-,-,154.0,0,-,-,-,-,,
2015/1/27,NQF,201512,-,-,-,-,-,-,-,154.0,0,-,-,-,-,,
2015/1/28,NQF,201502,-,-,-,-,-,-,-,152.0,25,153.5,-,159.5,148,,
2015/1/28,NQF,201503,-,-,-,-,-,-,-,153.0,3,153,-,171,153,,
2015/1/28,NQF,201506,-,-,-,-,-,-,-,152.0,1,-,-,158,148,,
2015/1/28,NQF,201509,-,-,-,-,-,-,-,153.0,0,152.5,-,-,-,,
2015/1/28,NQF,201512,-,-,-,-,-,-,-,153.0,0,-,-,-,-,,
2015/1/29,NQF,201502,-,-,-,-,-,-,-,153.5,25,151,155.5,159.5,148,,
2015/1/29,NQF,201503,-,-,-,-,-,-,-,154.5,3,150,155.5,171,153,,
2015/1/29,NQF,201506,-,-,-,-,-,-,-,153.5,1,-,-,158,148,,
2015/1/29,NQF,201509,-,-,-,-,-,-,-,154.5,0,151,-,-,-,,
2015/1/29,NQF,201512,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/1/30,NQF,201502,154.5,154.5,154,154,0.5,0.33%,2,154.0,26,144.5,-,159.5,148,,
2015/1/30,NQF,201503,-,-,-,-,-,-,-,155.0,3,144,-,171,153,,
2015/1/30,NQF,201506,-,-,-,-,-,-,-,154.0,1,-,-,158,148,,
2015/1/30,NQF,201509,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/1/30,NQF,201512,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/2/2,NQF,201502,-,-,-,-,-,-,-,151.5,26,153.5,-,159.5,148,,
2015/2/2,NQF,201503,-,-,-,-,-,-,-,152.5,3,152,-,171,153,,
2015/2/2,NQF,201506,-,-,-,-,-,-,-,151.5,1,-,-,158,148,,
2015/2/2,NQF,201509,-,-,-,-,-,-,-,152.5,0,-,-,-,-,,
2015/2/2,NQF,201512,-,-,-,-,-,-,-,152.5,0,-,-,-,-,,
2015/2/3,NQF,201502,153.5,155.5,153,153,1.5,0.99%,20,153.0,29,153,154,159.5,148,,
2015/2/3,NQF,201503,-,-,-,-,-,-,-,154.0,3,147.5,154,171,153,,
2015/2/3,NQF,201506,-,-,-,-,-,-,-,153.0,1,-,-,158,148,,
2015/2/3,NQF,201509,-,-,-,-,-,-,-,154.0,0,-,-,-,-,,
2015/2/3,NQF,201512,-,-,-,-,-,-,-,154.0,0,-,-,-,-,,
2015/2/4,NQF,201502,153.5,154.5,153.5,154.5,1.5,0.98%,11,154.5,24,151.5,156,159.5,148,,
2015/2/4,NQF,201503,-,-,-,-,-,-,-,155.5,3,146,156,171,153,,
2015/2/4,NQF,201506,-,-,-,-,-,-,-,154.5,1,-,-,158,148,,
2015/2/4,NQF,201509,-,-,-,-,-,-,-,155.5,0,-,-,-,-,,
2015/2/4,NQF,201512,-,-,-,-,-,-,-,155.5,0,-,-,-,-,,
2015/2/5,NQF,201502,153.5,153.5,153.5,153.5,-1,-0.65%,4,153.5,24,153,156,159.5,148,,
2015/2/5,NQF,201503,-,-,-,-,-,-,-,154.5,3,-,156,171,153,,
2015/2/5,NQF,201506,-,-,-,-,-,-,-,153.5,1,-,-,158,148,,
2015/2/5,NQF,201509,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/2/5,NQF,201512,-,-,-,-,-,-,-,154.5,0,-,-,-,-,,
2015/2/6,NQF,201502,153,153,152.5,152.5,-1,-0.65%,2,152.5,24,145,-,159.5,148,,
2015/2/6,NQF,201503,-,-,-,-,-,-,-,153.5,3,145,-,171,153,,
2015/2/6,NQF,201506,-,-,-,-,-,-,-,152.5,1,-,-,158,148,,
2015/2/6,NQF,201509,-,-,-,-,-,-,-,153.5,0,-,-,-,-,,
2015/2/6,NQF,201512,-,-,-,-,-,-,-,153.5,0,-,-,-,-,,
2015/2/9,NQF,201502,155,155,155,155,2.5,1.64%,4,155.0,20,155,156,159.5,148,,
2015/2/9,NQF,201503,-,-,-,-,-,-,-,156.0,3,153,156,171,153,,
2015/2/9,NQF,201506,-,-,-,-,-,-,-,155.0,1,-,-,158,148,,
2015/2/9,NQF,201509,-,-,-,-,-,-,-,156.0,0,-,-,-,-,,
2015/2/9,NQF,201512,-,-,-,-,-,-,-,156.0,0,-,-,-,-,,
2015/2/10,NQF,201502,154,154,153.5,154,-1,-0.65%,7,154.0,18,153,155,159.5,148,,
2015/2/10,NQF,201503,153,153,153,153,-3,-1.92%,3,153.0,6,153,155,171,153,,
2015/2/10,NQF,201506,-,-,-,-,-,-,-,154.0,1,-,-,158,148,,
2015/2/10,NQF,201509,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/2/10,NQF,201512,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/2/11,NQF,201502,-,-,-,-,-,-,-,154.0,18,-,-,159.5,148,,
2015/2/11,NQF,201503,155,155,155,155,2,1.31%,1,155.0,6,-,-,171,153,,
2015/2/11,NQF,201506,-,-,-,-,-,-,-,154.0,1,-,-,158,148,,
2015/2/11,NQF,201509,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/2/11,NQF,201512,-,-,-,-,-,-,-,155.0,0,-,-,-,-,,
2015/2/12,NQF,201502,154.5,155,154.5,155,1,0.65%,2,155.0,19,-,-,159.5,148,,
2015/2/12,NQF,201503,154.5,154.5,154.5,154.5,-0.5,-0.32%,1,154.5,6,-,-,171,153,,
2015/2/12,NQF,201506,-,-,-,-,-,-,-,155.0,1,-,-,158,148,,
2015/2/12,NQF,201509,-,-,-,-,-,-,-,156.0,0,-,-,-,-,,
2015/2/12,NQF,201512,-,-,-,-,-,-,-,156.0,0,-,-,-,-,,
2015/2/13,NQF,201502,-,-,-,-,-,-,-,154.5,19,-,-,159.5,148,,
2015/2/13,NQF,201503,157,157,155.5,155.5,1,0.65%,9,155.5,10,-,-,171,153,,
2015/2/13,NQF,201506,-,-,-,-,-,-,-,154.5,1,-,-,158,148,,
2015/2/13,NQF,201509,-,-,-,-,-,-,-,155.5,0,-,-,-,-,,
2015/2/13,NQF,201512,-,-,-,-,-,-,-,155.5,0,-,-,-,-,,
2015/2/24,NQF,201502,157,157,155.5,155.5,1,0.65%,7,0.0,12,155,156.5,159.5,148,,
2015/2/24,NQF,201503,157.5,157.5,155,155,-0.5,-0.32%,4,155.0,13,145,-,171,153,,
2015/2/24,NQF,201506,-,-,-,-,-,-,-,155.5,1,-,-,158,148,,
2015/2/24,NQF,201509,-,-,-,-,-,-,-,156.5,0,-,-,-,-,,
2015/2/24,NQF,201512,-,-,-,-,-,-,-,156.5,0,-,-,-,-,,
2015/2/25,NQF,201503,155,157.5,155,156.5,1.5,0.97%,6,156.5,16,155,165,171,153,,
2015/2/25,NQF,201504,-,-,-,-,-,-,-,157.5,0,154,166,-,-,,
2015/2/25,NQF,201506,-,-,-,-,-,-,-,157.0,1,-,-,158,148,,
2015/2/25,NQF,201509,-,-,-,-,-,-,-,158.0,0,-,-,-,-,,
2015/2/25,NQF,201512,-,-,-,-,-,-,-,158.0,0,-,-,-,-,,
