交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NUF,201501,335,337,335,335,-4,-1.18%,5,338.5,22,336,340.5,371,321,,
2015/1/5,NUF,201502,-,-,-,-,-,-,-,338.0,4,335,340.5,352,326.5,,
2015/1/5,NUF,201503,-,-,-,-,-,-,-,339.5,0,-,341.5,-,-,,
2015/1/5,NUF,201506,-,-,-,-,-,-,-,339.5,0,-,342.5,-,-,,
2015/1/5,NUF,201509,-,-,-,-,-,-,-,339.5,0,-,342,-,-,,
2015/1/6,NUF,201501,336,336,329,330.5,-8,-2.36%,15,330.5,24,323,331,371,321,,
2015/1/6,NUF,201502,331,331,331,331,-7,-2.07%,1,331.0,4,321.5,331.5,352,326.5,,
2015/1/6,NUF,201503,-,-,-,-,-,-,-,331.5,0,-,333,-,-,,
2015/1/6,NUF,201506,-,-,-,-,-,-,-,331.5,0,-,333,-,-,,
2015/1/6,NUF,201509,-,-,-,-,-,-,-,331.5,0,-,332.5,-,-,,
2015/1/7,NUF,201501,330.5,332,327,330,-0.5,-0.15%,7,330.0,23,327,350,371,321,,
2015/1/7,NUF,201502,-,-,-,-,-,-,-,330.5,4,324,350.5,352,326.5,,
2015/1/7,NUF,201503,-,-,-,-,-,-,-,331.0,0,-,352,-,-,,
2015/1/7,NUF,201506,-,-,-,-,-,-,-,331.0,0,-,352,-,-,,
2015/1/7,NUF,201509,-,-,-,-,-,-,-,331.0,0,-,351.5,-,-,,
2015/1/8,NUF,201501,332.5,341.5,329.5,338,8,2.42%,14,338.0,24,334,338,371,321,,
2015/1/8,NUF,201502,332,338,332,338,7.5,2.27%,4,338.0,4,331,338,352,326.5,,
2015/1/8,NUF,201503,-,-,-,-,-,-,-,339.0,0,-,339,-,-,,
2015/1/8,NUF,201506,-,-,-,-,-,-,-,339.0,0,-,340,-,-,,
2015/1/8,NUF,201509,-,-,-,-,-,-,-,339.0,0,-,339.5,-,-,,
2015/1/9,NUF,201501,338,338,329,330.5,-7.5,-2.22%,14,330.5,18,326,337,371,321,,
2015/1/9,NUF,201502,337,337,329,331,-7,-2.07%,8,331.0,5,323,337.5,352,326.5,,
2015/1/9,NUF,201503,-,-,-,-,-,-,-,331.5,0,-,339,-,-,,
2015/1/9,NUF,201506,-,-,-,-,-,-,-,331.5,0,-,339,-,-,,
2015/1/9,NUF,201509,-,-,-,-,-,-,-,331.5,0,-,338.5,-,-,,
2015/1/12,NUF,201501,333.5,335,330.5,330.5,0,0.00%,9,330.5,20,326,333,371,321,,
2015/1/12,NUF,201502,-,-,-,-,-,-,-,331.0,5,325,332,352,326.5,,
2015/1/12,NUF,201503,-,-,-,-,-,-,-,331.5,0,-,333,-,-,,
2015/1/12,NUF,201506,-,-,-,-,-,-,-,331.5,0,-,336,-,-,,
2015/1/12,NUF,201509,-,-,-,-,-,-,-,331.5,0,-,335.5,-,-,,
2015/1/13,NUF,201501,330.5,330.5,328,328,-2.5,-0.76%,10,328.0,21,327,332.5,371,321,,
2015/1/13,NUF,201502,329,329,329,329,-2,-0.60%,2,329.0,6,326.5,334,352,326.5,,
2015/1/13,NUF,201503,-,-,-,-,-,-,-,329.0,0,-,334.5,-,-,,
2015/1/13,NUF,201506,-,-,-,-,-,-,-,329.0,0,-,334.5,-,-,,
2015/1/13,NUF,201509,-,-,-,-,-,-,-,329.0,0,-,334,-,-,,
2015/1/14,NUF,201501,334,335.5,332.5,335.5,7.5,2.29%,5,335.5,20,336,350,371,321,,
2015/1/14,NUF,201502,333.5,333.5,333.5,333.5,4.5,1.37%,2,333.5,6,335,350.5,352,326.5,,
2015/1/14,NUF,201503,-,-,-,-,-,-,-,336.5,0,-,352,-,-,,
2015/1/14,NUF,201506,-,-,-,-,-,-,-,336.5,0,-,352,-,-,,
2015/1/14,NUF,201509,-,-,-,-,-,-,-,336.5,0,-,351.5,-,-,,
2015/1/15,NUF,201501,-,-,-,-,-,-,-,339.5,20,334,345,371,321,,
