交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NVF,201501,14.55,14.9,14.5,14.9,0.4,2.76%,98,14.9,214,14.8,14.85,14.9,13.05,,
2015/1/5,NVF,201502,14.8,14.85,14.8,14.8,0.25,1.72%,28,14.8,150,14.85,14.9,14.9,13.75,,
2015/1/5,NVF,201503,-,-,-,-,-,-,-,15.0,14,-,-,20.3,13.5,,
2015/1/5,NVF,201506,-,-,-,-,-,-,-,14.9,13,-,-,20,14.7,,
2015/1/5,NVF,201509,-,-,-,-,-,-,-,15.05,5,-,-,14.55,13.4,,
2015/1/6,NVF,201501,14.65,14.65,14.25,14.4,-0.5,-3.36%,221,14.7,190,14.35,15,14.9,13.05,,
2015/1/6,NVF,201502,14.65,14.7,14.25,14.45,-0.35,-2.36%,165,14.45,149,14.3,15.05,14.9,13.75,,
2015/1/6,NVF,201503,-,-,-,-,-,-,-,14.8,14,-,16,20.3,13.5,,
2015/1/6,NVF,201506,-,-,-,-,-,-,-,14.7,13,-,-,20,14.7,,
2015/1/6,NVF,201509,-,-,-,-,-,-,-,14.85,5,-,-,14.55,13.4,,
2015/1/7,NVF,201501,14.55,14.65,14.45,14.55,-0.15,-1.02%,108,14.55,212,13.95,14.55,14.9,13.05,,
2015/1/7,NVF,201502,14.6,14.65,14.45,14.6,0.15,1.04%,62,14.6,154,14,14.6,14.9,13.75,,
2015/1/7,NVF,201503,-,-,-,-,-,-,-,14.65,14,-,15.55,20.3,13.5,,
2015/1/7,NVF,201506,-,-,-,-,-,-,-,14.55,13,-,-,20,14.7,,
2015/1/7,NVF,201509,-,-,-,-,-,-,-,14.7,5,-,-,14.55,13.4,,
2015/1/8,NVF,201501,14.8,15.2,14.8,14.95,0.4,2.75%,174,14.95,174,14.9,15.45,15.2,13.05,,
2015/1/8,NVF,201502,14.8,15.15,14.8,15,0.4,2.74%,86,15.0,172,14.85,15.5,15.15,13.75,,
2015/1/8,NVF,201503,-,-,-,-,-,-,-,15.05,14,-,-,20.3,13.5,,
2015/1/8,NVF,201506,-,-,-,-,-,-,-,14.95,13,-,-,20,14.7,,
2015/1/8,NVF,201509,-,-,-,-,-,-,-,15.1,5,-,-,14.55,13.4,,
2015/1/9,NVF,201501,15.15,15.15,14.95,15,0.05,0.33%,156,15.0,232,14.95,15,15.2,13.05,,
2015/1/9,NVF,201502,15.15,15.15,14.95,15,0,0.00%,58,15.0,174,14.9,15.05,15.15,13.75,,
2015/1/9,NVF,201503,-,-,-,-,-,-,-,15.1,14,-,16,20.3,13.5,,
2015/1/9,NVF,201506,-,-,-,-,-,-,-,15.0,13,-,-,20,14.7,,
2015/1/9,NVF,201509,-,-,-,-,-,-,-,15.15,5,-,-,14.55,13.4,,
