交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NWF,201501,-,-,-,-,-,-,-,215.5,36,213,218,219.5,207,,
2015/1/5,NWF,201502,217.5,217.5,217,217,-3.5,-1.59%,2,217.0,3,208.5,218.5,218,217,,
2015/1/5,NWF,201503,-,-,-,-,-,-,-,217.0,0,-,219,-,-,,
2015/1/5,NWF,201506,-,-,-,-,-,-,-,218.0,0,-,220,-,-,,
2015/1/5,NWF,201509,-,-,-,-,-,-,-,217.5,0,-,219.5,-,-,,
2015/1/6,NWF,201501,213.5,215.5,213.5,215.5,0,0.00%,3,215.5,35,204,216,219.5,207,,
2015/1/6,NWF,201502,-,-,-,-,-,-,-,217.0,3,-,216.5,218,217,,
2015/1/6,NWF,201503,-,-,-,-,-,-,-,217.0,0,-,217,-,-,,
2015/1/6,NWF,201506,-,-,-,-,-,-,-,218.0,0,-,218,-,-,,
2015/1/6,NWF,201509,-,-,-,-,-,-,-,217.5,0,-,217.5,-,-,,
2015/1/7,NWF,201501,214.5,219,214.5,218.5,3,1.39%,11,218.5,32,218,222,219.5,207,,
2015/1/7,NWF,201502,216.5,218,216.5,218,1,0.46%,4,218.0,7,216.5,219.5,218,216.5,,
2015/1/7,NWF,201503,-,-,-,-,-,-,-,220.0,0,-,223,-,-,,
2015/1/7,NWF,201506,-,-,-,-,-,-,-,221.0,0,-,224,-,-,,
2015/1/7,NWF,201509,-,-,-,-,-,-,-,220.5,0,-,223.5,-,-,,
2015/1/8,NWF,201501,222.5,229,222.5,225.5,7,3.20%,31,225.5,21,225.5,226,229,207,,
2015/1/8,NWF,201502,224,226,224,226,8,3.67%,6,226.0,7,221,226.5,226,216.5,,
2015/1/8,NWF,201503,-,-,-,-,-,-,-,227.0,0,-,227,-,-,,
2015/1/8,NWF,201506,-,-,-,-,-,-,-,228.0,0,-,228,-,-,,
2015/1/8,NWF,201509,-,-,-,-,-,-,-,227.5,0,-,227.5,-,-,,
2015/1/9,NWF,201501,226.5,228.5,225.5,226.5,1,0.44%,17,226.5,21,226,227.5,229,207,,
2015/1/9,NWF,201502,226,226,226,226,0,0.00%,1,226.0,7,221.5,228,226,216.5,,
