交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/2/2,OCF,201502,21,21.65,21,21.49,-0.36,-1.65%,65,21.49,12,21.39,21.46,21.65,21,,
2015/2/2,OCF,201503,21.51,21.51,21.41,21.49,-0.38,-1.74%,50,21.49,22,21.39,21.46,21.51,21.41,,
2015/2/2,OCF,201506,-,-,-,-,-,-,-,21.57,0,21.36,21.66,-,-,,
2015/2/2,OCF,201509,-,-,-,-,-,-,-,21.62,0,21.36,21.86,-,-,,
2015/2/2,OCF,201512,21.41,21.41,21.34,21.34,-0.71,-3.22%,2,21.81,2,21.36,22.26,21.41,21.34,,
2015/2/3,OCF,201502,21.54,21.66,21.44,21.56,0.07,0.33%,132,21.56,18,21.51,21.58,21.66,21,,
2015/2/3,OCF,201503,21.61,21.64,21.43,21.56,0.07,0.33%,220,21.56,80,21.5,21.57,21.64,21.41,,
2015/2/3,OCF,201506,-,-,-,-,-,-,-,21.64,0,21.11,21.78,-,-,,
2015/2/3,OCF,201509,-,-,-,-,-,-,-,21.69,0,20.91,21.98,-,-,,
2015/2/3,OCF,201512,-,-,-,-,-,-,-,21.88,2,21,22.38,21.41,21.34,,
2015/2/4,OCF,201502,22.23,22.29,22,22.07,0.51,2.37%,212,22.07,22,22.01,22.11,22.29,21,,
2015/2/4,OCF,201503,22.1,22.21,22.01,22.07,0.51,2.37%,193,22.07,120,22.02,22.1,22.21,21.41,,
2015/2/4,OCF,201506,-,-,-,-,-,-,-,22.15,0,21.5,22.31,-,-,,
2015/2/4,OCF,201509,-,-,-,-,-,-,-,22.2,0,21.3,22.51,-,-,,
2015/2/4,OCF,201512,-,-,-,-,-,-,-,22.39,2,20.9,22.91,21.41,21.34,,
2015/2/5,OCF,201502,22.28,22.36,22.1,22.29,0.22,1.00%,63,22.29,14,21.9,22.91,22.36,21,,
2015/2/5,OCF,201503,22.73,22.85,22.17,22.17,0.1,0.45%,85,22.17,109,21.9,22.9,22.85,21.41,,
2015/2/5,OCF,201506,-,-,-,-,-,-,-,22.37,0,-,23.11,-,-,,
2015/2/5,OCF,201509,-,-,-,-,-,-,-,22.42,0,-,23.31,-,-,,
2015/2/5,OCF,201512,-,-,-,-,-,-,-,22.61,2,-,23.71,21.41,21.34,,
2015/2/6,OCF,201502,20.06,21.88,20.06,21.57,-0.72,-3.23%,36,21.57,22,21.51,21.57,22.36,20.06,,
2015/2/6,OCF,201503,21.81,21.87,21.57,21.61,-0.56,-2.53%,40,21.61,132,21.49,21.55,22.85,21.41,,
2015/2/6,OCF,201506,-,-,-,-,-,-,-,21.65,0,21.11,21.77,-,-,,
2015/2/6,OCF,201509,-,-,-,-,-,-,-,21.7,0,20.91,21.97,-,-,,
2015/2/6,OCF,201512,-,-,-,-,-,-,-,21.89,2,21,22.37,21.41,21.34,,
2015/2/9,OCF,201502,21.25,21.48,21.19,21.48,-0.09,-0.42%,21,21.65,23,21.61,21.68,22.36,20.06,,
2015/2/9,OCF,201503,21.3,21.52,21.3,21.52,-0.09,-0.42%,4,21.65,136,21.61,21.68,22.85,21.3,,
