交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/5/11,OHF,201505,-,-,-,-,-,-,-,143.5,0,-,-,-,-,,
2015/5/11,OHF,201506,-,-,-,-,-,-,-,143.5,0,-,-,-,-,,
2015/5/11,OHF,201509,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/5/11,OHF,201512,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/5/11,OHF,201603,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/5/12,OHF,201505,142.5,144,142.5,144,0.5,0.35%,4,144.0,0,-,146.5,144,142.5,,
2015/5/12,OHF,201506,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/5/12,OHF,201509,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/5/12,OHF,201512,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/5/12,OHF,201603,-,-,-,-,-,-,-,145.5,0,-,-,-,-,,
2015/5/13,OHF,201505,-,-,-,-,-,-,-,145.0,0,-,146,144,142.5,,
2015/5/13,OHF,201506,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/5/13,OHF,201509,-,-,-,-,-,-,-,145.5,0,-,-,-,-,,
2015/5/13,OHF,201512,-,-,-,-,-,-,-,146.0,0,-,-,-,-,,
2015/5/13,OHF,201603,-,-,-,-,-,-,-,146.5,0,-,-,-,-,,
2015/5/14,OHF,201505,-,-,-,-,-,-,-,143.5,0,-,145.5,144,142.5,,
2015/5/14,OHF,201506,-,-,-,-,-,-,-,143.5,0,-,-,-,-,,
2015/5/14,OHF,201509,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/5/14,OHF,201512,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/5/14,OHF,201603,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/5/15,OHF,201505,-,-,-,-,-,-,-,143.0,0,-,-,144,142.5,,
2015/5/15,OHF,201506,-,-,-,-,-,-,-,143.0,0,-,-,-,-,,
2015/5/15,OHF,201509,-,-,-,-,-,-,-,143.5,0,-,-,-,-,,
2015/5/15,OHF,201512,-,-,-,-,-,-,-,144.0,0,-,-,-,-,,
2015/5/15,OHF,201603,-,-,-,-,-,-,-,144.5,0,-,-,-,-,,
2015/5/18,OHF,201505,-,-,-,-,-,-,-,140.0,0,-,-,144,142.5,,
2015/5/18,OHF,201506,-,-,-,-,-,-,-,140.0,0,-,142,-,-,,
2015/5/18,OHF,201509,-,-,-,-,-,-,-,140.5,0,-,-,-,-,,
2015/5/18,OHF,201512,-,-,-,-,-,-,-,141.0,0,-,-,-,-,,
2015/5/18,OHF,201603,-,-,-,-,-,-,-,141.5,0,-,-,-,-,,
2015/5/19,OHF,201505,-,-,-,-,-,-,-,148.5,0,-,-,144,142.5,,
2015/5/19,OHF,201506,147.5,148,147,148,8,5.71%,15,148.0,5,146.5,-,148,147,,
2015/5/19,OHF,201509,-,-,-,-,-,-,-,149.0,0,-,-,-,-,,
