交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/9/21,OI1,201510,-,-,-,-,-,-,-,33.25,8,-,-,34.3,26.75,,
2015/9/22,OI1,201510,-,-,-,-,-,-,-,33.25,8,-,-,34.3,26.75,,
2015/9/23,OI1,201510,-,-,-,-,-,-,-,31.85,8,-,-,34.3,26.75,,
2015/9/24,OI1,201510,31.5,31.5,31.3,31.3,-0.55,-1.73%,6,31.25,9,31.2,31.6,34.3,26.75,,
2015/9/25,OI1,201510,31.3,31.3,30.95,30.95,-0.3,-0.96%,2,31.1,8,-,-,34.3,26.75,,
2015/9/30,OI1,201510,-,-,-,-,-,-,-,32.0,8,-,-,34.3,26.75,,
2015/10/1,OI1,201510,32.45,32.45,32.45,32.45,0.45,1.41%,1,32.45,8,-,-,34.3,26.75,,
2015/10/2,OI1,201510,-,-,-,-,-,-,-,32.45,8,-,-,34.3,26.75,,
2015/10/5,OI1,201510,-,-,-,-,-,-,-,32.8,8,-,-,34.3,26.75,,
2015/10/6,OI1,201510,-,-,-,-,-,-,-,32.5,8,-,-,34.3,26.75,,
2015/10/7,OI1,201510,32.8,32.8,32.8,32.8,0.3,0.92%,3,32.9,8,32.55,-,34.3,26.75,,
2015/10/8,OI1,201510,32.65,32.65,32.3,32.3,-0.6,-1.82%,9,32.55,12,-,-,34.3,26.75,,
2015/10/12,OI1,201510,31.3,31.4,31.05,31.4,-1.15,-3.53%,7,31.25,12,-,-,34.3,26.75,,
2015/10/13,OI1,201510,31.5,31.5,31.5,31.5,0.25,0.80%,3,31.45,12,-,-,34.3,26.75,,
2015/10/14,OI1,201510,-,-,-,-,-,-,-,31.65,12,-,-,34.3,26.75,,
2015/10/15,OI1,201510,33.2,34.65,33.15,34.4,2.75,8.69%,57,34.35,64,-,-,34.65,26.75,,
2015/10/16,OI1,201510,34.45,36.6,34.45,36.55,2.2,6.40%,36,37.1,94,-,-,36.6,26.75,,
2015/10/19,OI1,201510,36.55,36.75,36.4,36.45,-0.65,-1.75%,16,36.5,110,-,-,36.75,26.75,,
2015/10/20,OI1,201510,-,-,-,-,-,-,-,37.15,110,33.05,-,36.75,26.75,,
2015/10/21,OI1,201510,38.2,38.25,38.2,38.25,1.1,2.96%,8,0.0,102,-,-,38.25,26.75,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/9/13,OI1,201609,20,20.2,20,20.1,0.3,1.52%,10,20.1,43,18,20.2,25.2,20,,
2016/9/13,OI1,201612,21,21,21,21,1,5.00%,1,20.0,2,19,21,21.65,21,,
2016/9/14,OI1,201609,-,-,-,-,-,-,-,19.95,43,19.5,20.1,25.2,20,,
2016/9/14,OI1,201612,-,-,-,-,-,-,-,19.85,2,19.5,21.4,21.65,21,,
2016/9/19,OI1,201609,19.9,19.95,19.9,19.95,0,0.00%,5,19.95,39,19.8,21.35,25.2,19.9,,
2016/9/19,OI1,201612,-,-,-,-,-,-,-,19.85,2,18.45,21.25,21.65,21,,
2016/9/20,OI1,201609,-,-,-,-,-,-,-,19.8,39,18.55,21.35,25.2,19.9,,
2016/9/20,OI1,201612,-,-,-,-,-,-,-,19.85,2,18.45,21.25,21.65,21,,
2016/9/21,OI1,201609,-,-,-,-,-,-,-,0.0,39,18.4,21.2,25.2,19.9,,
2016/9/21,OI1,201612,20,20,20,20,0.15,0.76%,6,20.0,6,19.9,21.25,21.65,20,,
2016/9/22,OI1,201612,20,21.15,20,21.15,1.15,5.75%,15,21.15,12,18.6,-,21.65,20,,
2016/9/23,OI1,201612,21.3,21.3,21.3,21.3,0.15,0.71%,10,21.3,12,19.65,21.4,21.65,20,,
2016/9/26,OI1,201612,21.8,21.8,21.8,21.8,0.5,2.35%,5,21.8,12,21.65,-,21.8,20,,
2016/9/29,OI1,201612,-,-,-,-,-,-,-,21.7,12,21.4,23.35,21.8,20,,
2016/9/30,OI1,201612,-,-,-,-,-,-,-,21.55,12,-,-,21.8,20,,
2016/10/3,OI1,201612,21.1,21.1,21.1,21.1,-0.45,-2.09%,2,21.1,10,20.05,23.05,21.8,20,,
2016/10/4,OI1,201612,-,-,-,-,-,-,-,20.85,10,-,21.2,21.8,20,,
2016/10/5,OI1,201612,-,-,-,-,-,-,-,21.15,10,19.4,22.3,21.8,20,,
2016/10/6,OI1,201612,-,-,-,-,-,-,-,20.9,10,19.65,22.65,21.8,20,,
2016/10/7,OI1,201612,-,-,-,-,-,-,-,20.65,10,19.45,22.35,21.8,20,,
2016/10/11,OI1,201612,19.45,19.45,19.45,19.45,-1.2,-5.81%,5,19.45,10,19.15,22.1,21.8,19.45,,
2016/10/12,OI1,201612,19,19,19,19,-0.45,-2.31%,2,19.0,8,18.1,19.95,21.8,19,,
2016/10/13,OI1,201612,-,-,-,-,-,-,-,18.9,8,17.65,20.35,21.8,19,,
2016/10/14,OI1,201612,-,-,-,-,-,-,-,17.7,8,-,20.2,21.8,19,,
2016/10/17,OI1,201612,-,-,-,-,-,-,-,17.4,8,-,18.15,21.8,19,,
2016/10/18,OI1,201612,-,-,-,-,-,-,-,17.45,8,16.2,18.6,21.8,19,,
2016/10/19,OI1,201612,-,-,-,-,-,-,-,17.95,8,16.25,18.65,21.8,19,,
2016/10/20,OI1,201612,18,18.05,18,18.05,0.1,0.56%,2,18.05,8,18.05,19.2,21.8,18,,
2016/10/21,OI1,201612,-,-,-,-,-,-,-,18.0,8,16.8,19.3,21.8,18,,
2016/10/24,OI1,201612,-,-,-,-,-,-,-,17.8,8,16.8,19.25,21.8,18,,
2016/10/25,OI1,201612,-,-,-,-,-,-,-,18.1,8,17.8,-,21.8,18,,
2016/10/26,OI1,201612,18.05,18.05,18.05,18.05,-0.05,-0.28%,2,18.05,8,16.85,19.35,21.8,18,,
2016/10/27,OI1,201612,-,-,-,-,-,-,-,17.9,8,16.8,19.3,21.8,18,,
2016/10/28,OI1,201612,-,-,-,-,-,-,-,17.75,8,16.65,19.15,21.8,18,,
2016/10/31,OI1,201612,-,-,-,-,-,-,-,17.45,8,16.5,19,21.8,18,,
2016/11/1,OI1,201612,-,-,-,-,-,-,-,17.45,8,16.25,18.65,21.8,18,,
2016/11/2,OI1,201612,16.5,16.5,16.5,16.5,-0.95,-5.44%,5,16.5,8,-,18.65,21.8,16.5,,
2016/11/3,OI1,201612,-,-,-,-,-,-,-,15.95,8,-,17.65,21.8,16.5,,
2016/11/4,OI1,201612,16.3,16.3,16.3,16.3,0.35,2.19%,5,16.3,8,16.2,-,21.8,16.3,,
2016/11/7,OI1,201612,17.05,17.05,17.05,17.05,0.75,4.60%,5,17.05,13,17.3,-,21.8,16.3,,
2016/11/8,OI1,201612,17.2,17.2,17.2,17.2,0.15,0.88%,5,17.2,8,-,17.3,21.8,16.3,,
2016/11/9,OI1,201612,-,-,-,-,-,-,-,16.3,8,-,18.4,21.8,16.3,,
2016/11/10,OI1,201612,-,-,-,-,-,-,-,16.9,8,15.15,-,21.8,16.3,,
2016/11/11,OI1,201612,-,-,-,-,-,-,-,16.85,8,15.7,18.1,21.8,16.3,,
2016/11/14,OI1,201612,-,-,-,-,-,-,-,16.9,8,15.65,18.05,21.8,16.3,,
2016/11/15,OI1,201612,-,-,-,-,-,-,-,16.75,8,15.7,18.1,21.8,16.3,,
2016/11/16,OI1,201612,-,-,-,-,-,-,-,16.75,8,16,17.9,21.8,16.3,,
2016/11/17,OI1,201612,17.2,17.2,17.2,17.2,0.45,2.69%,1,17.2,9,17.2,-,21.8,16.3,,
2016/11/18,OI1,201612,-,-,-,-,-,-,-,17.2,9,16,18.4,21.8,16.3,,
2016/11/21,OI1,201612,-,-,-,-,-,-,-,17.3,9,16,18.4,21.8,16.3,,
2016/11/22,OI1,201612,17.9,17.9,17.6,17.6,0.3,1.73%,7,17.6,13,16.1,18.5,21.8,16.3,,
2016/11/23,OI1,201612,-,-,-,-,-,-,-,17.6,13,16.35,18.85,21.8,16.3,,
2016/11/24,OI1,201612,17.5,17.5,17.5,17.5,-0.1,-0.57%,5,17.0,8,16.35,17.6,21.8,16.3,,
2016/11/25,OI1,201612,-,-,-,-,-,-,-,17.0,8,15.8,18.2,21.8,16.3,,
2016/11/28,OI1,201612,17.35,17.35,17.3,17.3,0.3,1.76%,2,17.3,10,15.8,18.2,21.8,16.3,,
2016/11/29,OI1,201612,-,-,-,-,-,-,-,17.3,10,16.1,18.5,21.8,16.3,,
2016/11/30,OI1,201612,-,-,-,-,-,-,-,17.5,10,16.1,18.5,21.8,16.3,,
2016/12/1,OI1,201612,17.45,17.45,17.45,17.45,-0.05,-0.29%,2,17.45,8,16.25,18.75,21.8,16.3,,
2016/12/2,OI1,201612,17.75,17.85,17.45,17.45,0,0.00%,17,17.45,20,16.25,18.65,21.8,16.3,,
2016/12/5,OI1,201612,17.3,17.55,17.25,17.55,0.1,0.57%,17,17.55,9,16.25,18.65,21.8,16.3,,
2016/12/6,OI1,201612,17.85,17.85,17.6,17.6,0.05,0.28%,3,17.6,12,17.45,18.8,21.8,16.3,,
2016/12/7,OI1,201612,-,-,-,-,-,-,-,17.7,12,16.35,18.85,21.8,16.3,,
2016/12/8,OI1,201612,-,-,-,-,-,-,-,17.65,12,16.45,18.95,21.8,16.3,,
2016/12/9,OI1,201612,17.65,17.65,17.65,17.65,0,0.00%,1,17.65,13,16.4,18.9,21.8,16.3,,
2016/12/12,OI1,201612,17.3,17.3,17.2,17.2,-0.45,-2.55%,3,17.2,10,16.4,18.9,21.8,16.3,,
2016/12/13,OI1,201612,-,-,-,-,-,-,-,16.85,10,16,18.4,21.8,16.3,,
2016/12/14,OI1,201612,16.85,16.85,16.85,16.85,0,0.00%,1,16.85,9,16.5,18.05,21.8,16.3,,
2016/12/15,OI1,201612,-,-,-,-,-,-,-,16.9,9,15.65,18.05,21.8,16.3,,
2016/12/16,OI1,201612,-,-,-,-,-,-,-,16.9,9,15.7,18.1,21.8,16.3,,
2016/12/19,OI1,201612,-,-,-,-,-,-,-,16.75,9,15.7,18.1,21.8,16.3,,
2016/12/20,OI1,201612,-,-,-,-,-,-,-,16.8,9,15.6,17.9,21.8,16.3,,
2016/12/21,OI1,201612,16.85,16.85,16.85,16.85,0.05,0.30%,1,0,8,15.6,18,21.8,16.3,,
