交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/02/21,OQ1,201903  ,257.5,261,256,261,3,1.16%,17.0,262.5,91,260.5,261,261,237.5,,一般,,
2019/02/22,OQ1,201903  ,260,276.5,260,269,6.5,2.48%,59.0,269,75,267.5,270,276.5,237.5,,一般,,
2019/02/25,OQ1,201903  ,272,295.5,272,295,26,9.67%,15.0,295.5,75,295.5,-,295.5,237.5,,一般,,
2019/02/26,OQ1,201903  ,297,299.5,297,299.5,4,1.35%,8.0,296.5,73,294,298.5,299.5,237.5,,一般,,
2019/02/27,OQ1,201903  ,293.5,293.5,292,293.5,-3,-1.01%,15.0,296.5,73,292,-,299.5,237.5,,一般,,
2019/03/04,OQ1,201903  ,293.5,293.5,293.5,293.5,-3,-1.01%,2.0,300,74,298.5,302,299.5,237.5,,一般,,
2019/03/05,OQ1,201903  ,307.5,307.5,288.5,288.5,-11.5,-3.83%,14.0,285.5,78,285.5,288.5,307.5,237.5,,一般,,
2019/03/06,OQ1,201903  ,287.5,288,286.5,287,1.5,0.53%,9.0,289.5,71,288,292,307.5,237.5,,一般,,
2019/03/07,OQ1,201903  ,288,293.5,288,288,-1.5,-0.52%,18.0,286,60,284,287,307.5,237.5,,一般,,
2019/03/08,OQ1,201903  ,286,286,282.5,282.5,-3.5,-1.22%,6.0,283.5,56,282.5,285.5,307.5,237.5,,一般,,
2019/03/11,OQ1,201903  ,288.5,290,288.5,290,6.5,2.29%,2.0,289.5,57,289.5,291,307.5,237.5,,一般,,
2019/03/12,OQ1,201903  ,295,295,291.5,291.5,2,0.69%,3.0,288.5,56,287.5,290,307.5,237.5,,一般,,
2019/03/13,OQ1,201903  ,288.5,288.5,283,283,-5.5,-1.91%,3.0,283.5,56,281.5,286,307.5,237.5,,一般,,
2019/03/14,OQ1,201903  ,284,284,282.5,282.5,-1,-0.35%,2.0,287,56,286,288,307.5,237.5,,一般,,
2019/03/15,OQ1,201903  ,287.5,289,286.5,289,2,0.70%,5.0,287,56,285,288,307.5,237.5,,一般,,
2019/03/18,OQ1,201903  ,291,291.5,291,291.5,4.5,1.57%,10.0,289.5,50,288.5,291.5,307.5,237.5,,一般,,
2019/03/19,OQ1,201903  ,285.5,287.5,285.5,287,-2.5,-0.86%,33.0,288,75,286,290,307.5,237.5,,一般,,
2019/03/20,OQ1,201903  ,288,288,287.5,288,0,0.00%,6.0,0,69,288.5,289.5,307.5,237.5,,一般,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/09/09,OQ1,202009  ,253.5,254,247,249.5,-10.5,-4.04%,129.0,249.5,335,248.5,249.5,313.5,184,,一般,,
2020/09/09,OQ1,202010  ,250.5,251.5,244,246,-11,-4.28%,15.0,246,144,246,247,311,244,,一般,,
2020/09/09,OQ1,202012  ,246,247.5,246,247.5,-11,-4.26%,3.0,247.5,11,238.5,249,294.5,232,,一般,,
2020/09/10,OQ1,202009  ,252,252,240,240,-9.5,-3.81%,65.0,240.5,288,240,241,313.5,184,,一般,,
2020/09/10,OQ1,202010  ,246,246,238.5,238.5,-7.5,-3.05%,21.0,238.5,128,237.5,239,311,238.5,,一般,,
2020/09/10,OQ1,202012  ,-,-,-,-,-,-,0.0,238.5,11,230.5,242,294.5,232,,一般,,
2020/09/11,OQ1,202009  ,238,240,235,238,-2.5,-1.04%,67.0,238,240,237,238,313.5,184,,一般,,
2020/09/11,OQ1,202010  ,235,239,234,237,-1.5,-0.63%,13.0,237,125,236,237,311,234,,一般,,
2020/09/11,OQ1,202012  ,-,-,-,-,-,-,0.0,236,11,228.5,240,294.5,232,,一般,,
2020/09/14,OQ1,202009  ,239,245.5,239,244.5,6.5,2.73%,47.0,244.5,206,243,244.5,313.5,184,,一般,,
2020/09/14,OQ1,202010  ,238,244,238,243,6,2.53%,16.0,243,130,241.5,244,311,234,,一般,,
2020/09/14,OQ1,202012  ,-,-,-,-,-,-,0.0,242.5,11,235.5,246,294.5,232,,一般,,
2020/09/15,OQ1,202009  ,245.5,249.5,245.5,247,2.5,1.02%,21.0,247,192,246.5,247,313.5,184,,一般,,
2020/09/15,OQ1,202010  ,245.5,245.5,245.5,245.5,2.5,1.03%,6.0,246.5,130,244.5,246,311,234,,一般,,
2020/09/15,OQ1,202012  ,-,-,-,-,-,-,0.0,245,11,242.5,249,294.5,232,,一般,,
2020/09/16,OQ1,202009  ,249,250,247.5,247.5,0.5,0.20%,36.0,0,167,247.5,248,313.5,184,,一般,,
2020/09/16,OQ1,202010  ,248.5,248.5,248,248,1.5,0.61%,5.0,246,128,245,246.5,311,234,,一般,,
2020/09/16,OQ1,202012  ,-,-,-,-,-,-,0.0,246,11,245,247,294.5,232,,一般,,
2020/09/17,OQ1,202010  ,247,247,245,245,-1,-0.41%,4.0,246.5,128,245,247,311,234,,一般,,
2020/09/17,OQ1,202012  ,-,-,-,-,-,-,0.0,246.5,11,240.5,249,294.5,232,,一般,,
2020/09/18,OQ1,202010  ,243,243,239.5,242,-4.5,-1.83%,4.0,242,124,241.5,244,311,234,,一般,,
2020/09/18,OQ1,202012  ,-,-,-,-,-,-,0.0,242,11,231.5,243,294.5,232,,一般,,
2020/09/21,OQ1,202010  ,235.5,235.5,235.5,235.5,-6.5,-2.69%,1.0,235.5,124,-,236.5,311,234,,一般,,
2020/09/21,OQ1,202012  ,-,-,-,-,-,-,0.0,235.5,11,-,-,294.5,232,,一般,,
2020/09/22,OQ1,202010  ,234.5,234.5,234,234,-1.5,-0.64%,6.0,235,123,234,235,311,234,,一般,,
2020/09/22,OQ1,202012  ,226.5,226.5,226.5,226.5,-9,-3.82%,1.0,235,10,225.5,236,294.5,226.5,,一般,,
2020/09/23,OQ1,202010  ,-,-,-,-,-,-,0.0,234.5,123,233,235,311,234,,一般,,
2020/09/23,OQ1,202012  ,-,-,-,-,-,-,0.0,234.5,10,226.5,237,294.5,226.5,,一般,,
2020/09/24,OQ1,202010  ,229,229,222.5,222.5,-12,-5.12%,10.0,222.5,122,222,223,311,222.5,,一般,,
2020/09/24,OQ1,202012  ,215.5,215.5,215.5,215.5,-19,-8.10%,1.0,222.5,9,214.5,225,294.5,215.5,,一般,,
2020/09/25,OQ1,202010  ,225.5,225.5,225.5,225.5,3,1.35%,1.0,222,121,219.5,222,311,222.5,,一般,,
2020/09/25,OQ1,202012  ,-,-,-,-,-,-,0.0,218.5,9,213,223.5,294.5,215.5,,一般,,
2020/09/28,OQ1,202010  ,225.5,230,225.5,230,8,3.60%,2.0,231,119,230,233,311,222.5,,一般,,
2020/09/28,OQ1,202012  ,-,-,-,-,-,-,0.0,227.5,9,222,232.5,294.5,215.5,,一般,,
2020/09/29,OQ1,202010  ,228,228,228,228,-3,-1.30%,1.0,229,118,228,230.5,311,222.5,,一般,,
2020/09/29,OQ1,202012  ,-,-,-,-,-,-,0.0,227.5,9,220.5,231,294.5,215.5,,一般,,
2020/09/30,OQ1,202010  ,-,-,-,-,-,-,0.0,231.5,118,229.5,231,311,222.5,,一般,,
2020/09/30,OQ1,202012  ,-,-,-,-,-,-,0.0,230,9,222,232.5,294.5,215.5,,一般,,
2020/09/09,OQ1,202009/202010    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,11.0,
2020/09/09,OQ1,202009/202012    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,3.0,
2020/09/10,OQ1,202009/202010    ,-2.99,-2.49,-2.99,-2.49,-,-,2.0,-,-,-3.01,-2.49,-1.67,-4.51,,一般,14.0,
