交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/1,ORF,201711,142,142,142,142,1.5,1.07%,1,142,1,142,-,142,142,,一般,,
2017/11/1,ORF,201712,142,142,142,142,1.5,1.07%,5,142,5,142,-,142,142,,一般,,
2017/11/1,ORF,201803,-,-,-,-,-,-,0,142.5,0,-,-,-,-,,一般,,
2017/11/1,ORF,201806,-,-,-,-,-,-,0,143,0,-,-,-,-,,一般,,
2017/11/1,ORF,201809,-,-,-,-,-,-,0,143,0,-,-,-,-,,一般,,
2017/11/2,ORF,201711,-,-,-,-,-,-,0,136.5,1,136,137,142,142,,一般,,
2017/11/2,ORF,201712,137,137.5,136.5,136.5,-5.5,-3.87%,22,136.5,17,136.5,138,142,136.5,,一般,,
2017/11/2,ORF,201803,-,-,-,-,-,-,0,137,0,-,-,-,-,,一般,,
2017/11/2,ORF,201806,-,-,-,-,-,-,0,137.5,0,-,-,-,-,,一般,,
2017/11/2,ORF,201809,-,-,-,-,-,-,0,137.5,0,-,-,-,-,,一般,,
2017/11/3,ORF,201711,-,-,-,-,-,-,0,133.5,1,124.5,-,142,142,,一般,,
2017/11/3,ORF,201712,135,135,132.5,133.5,-3,-2.20%,24,133.5,24,132,142,142,132.5,,一般,,
2017/11/3,ORF,201803,-,-,-,-,-,-,0,134,0,-,-,-,-,,一般,,
2017/11/3,ORF,201806,-,-,-,-,-,-,0,134.5,0,-,-,-,-,,一般,,
2017/11/3,ORF,201809,-,-,-,-,-,-,0,134.5,0,-,-,-,-,,一般,,
2017/11/6,ORF,201711,134,134,133.5,133.5,0,0.00%,2,133.5,2,128,-,142,133.5,,一般,,
2017/11/6,ORF,201712,136,136,134,134,0.5,0.37%,2,134,25,-,137.5,142,132.5,,一般,,
2017/11/6,ORF,201803,-,-,-,-,-,-,0,134,0,-,-,-,-,,一般,,
2017/11/6,ORF,201806,-,-,-,-,-,-,0,134.5,0,-,-,-,-,,一般,,
2017/11/6,ORF,201809,-,-,-,-,-,-,0,134.5,0,-,-,-,-,,一般,,
2017/11/7,ORF,201711,134,134,134,134,0.5,0.37%,2,134,4,130.5,135,142,133.5,,一般,,
2017/11/7,ORF,201712,134,134.5,134,134.5,0.5,0.37%,2,134.5,24,-,-,142,132.5,,一般,,
2017/11/7,ORF,201803,-,-,-,-,-,-,0,134.5,0,-,-,-,-,,一般,,
2017/11/7,ORF,201806,-,-,-,-,-,-,0,135,0,-,-,-,-,,一般,,
2017/11/7,ORF,201809,-,-,-,-,-,-,0,135,0,-,-,-,-,,一般,,
