交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/1,OSF,201711,44.4,44.75,44.15,44.45,0.05,0.11%,22,44.45,9,43,44.45,44.75,44.15,,一般,,
2017/11/1,OSF,201712,44.35,44.35,44.35,44.35,-0.1,-0.22%,2,44.35,2,43,44.55,44.35,44.35,,一般,,
2017/11/1,OSF,201803,-,-,-,-,-,-,0,44.6,0,-,-,-,-,,一般,,
2017/11/1,OSF,201806,-,-,-,-,-,-,0,44.7,0,-,-,-,-,,一般,,
2017/11/1,OSF,201809,-,-,-,-,-,-,0,44.8,0,-,-,-,-,,一般,,
2017/11/2,OSF,201711,44.5,45.45,44.45,44.75,0.3,0.67%,20,44.75,13,44.7,-,45.45,44.15,,一般,,
2017/11/2,OSF,201712,45.25,45.25,45.25,45.25,0.9,2.03%,1,44.65,3,43,-,45.25,44.35,,一般,,
2017/11/2,OSF,201803,-,-,-,-,-,-,0,44.9,0,-,-,-,-,,一般,,
2017/11/2,OSF,201806,-,-,-,-,-,-,0,45,0,-,-,-,-,,一般,,
2017/11/2,OSF,201809,-,-,-,-,-,-,0,45.1,0,-,-,-,-,,一般,,
2017/11/3,OSF,201711,44.9,44.9,44.15,44.15,-0.6,-1.34%,31,44.15,25,43.75,43.9,45.45,44.15,,一般,,
2017/11/3,OSF,201712,44.55,44.55,44.55,44.55,-0.1,-0.22%,1,43.5,4,43,43.95,45.25,44.35,,一般,,
2017/11/3,OSF,201803,-,-,-,-,-,-,0,44.3,0,-,-,-,-,,一般,,
2017/11/3,OSF,201806,-,-,-,-,-,-,0,44.4,0,-,-,-,-,,一般,,
2017/11/3,OSF,201809,-,-,-,-,-,-,0,44.5,0,-,-,-,-,,一般,,
2017/11/6,OSF,201711,44.3,44.3,42.15,42.5,-1.65,-3.74%,39,42.5,37,42.45,42.9,45.45,42.15,,一般,,
2017/11/6,OSF,201712,43.7,43.7,42.2,42.55,-0.95,-2.18%,14,42.55,11,42,42.95,45.25,42.2,,一般,,
2017/11/6,OSF,201803,-,-,-,-,-,-,0,42.65,0,40.45,-,-,-,,一般,,
2017/11/6,OSF,201806,-,-,-,-,-,-,0,42.75,0,-,-,-,-,,一般,,
2017/11/6,OSF,201809,-,-,-,-,-,-,0,42.85,0,-,-,-,-,,一般,,
2017/11/7,OSF,201711,43.05,46.05,43.05,45,2.5,5.88%,151,45,61,44.85,45.2,46.05,42.15,,一般,,
2017/11/7,OSF,201712,44.4,45.75,44.4,44.8,2.25,5.29%,36,44.8,15,44.7,45.45,45.75,42.2,,一般,,
2017/11/7,OSF,201803,-,-,-,-,-,-,0,45.15,0,-,-,-,-,,一般,,
2017/11/7,OSF,201806,-,-,-,-,-,-,0,45.25,0,-,-,-,-,,一般,,
2017/11/7,OSF,201809,-,-,-,-,-,-,0,45.35,0,-,-,-,-,,一般,,
2017/11/8,OSF,201711,45.95,45.95,44.3,44.65,-0.35,-0.78%,64,44.65,65,44.45,44.95,46.05,42.15,,一般,,
2017/11/8,OSF,201712,45,45,44.45,44.6,-0.2,-0.45%,14,44.6,18,44.45,44.95,45.75,42.2,,一般,,
2017/11/8,OSF,201803,-,-,-,-,-,-,0,44.8,0,-,-,-,-,,一般,,
2017/11/8,OSF,201806,-,-,-,-,-,-,0,44.9,0,-,-,-,-,,一般,,
2017/11/8,OSF,201809,-,-,-,-,-,-,0,45,0,-,-,-,-,,一般,,
2017/11/9,OSF,201711,44.9,44.9,42.7,42.9,-1.75,-3.92%,84,42.9,67,42.85,42.95,46.05,42.15,,一般,,
2017/11/9,OSF,201712,44.9,44.9,42.8,42.85,-1.75,-3.92%,66,42.85,60,42.85,43,45.75,42.2,,一般,,
2017/11/9,OSF,201803,-,-,-,-,-,-,0,43.05,0,-,-,-,-,,一般,,
2017/11/9,OSF,201806,-,-,-,-,-,-,0,43.15,0,-,-,-,-,,一般,,
2017/11/9,OSF,201809,-,-,-,-,-,-,0,43.25,0,-,-,-,-,,一般,,
2017/11/10,OSF,201711,42.85,43.1,42.5,42.9,0,0.00%,46,42.9,68,42.8,42.9,46.05,42.15,,一般,,
2017/11/10,OSF,201712,42.75,43.1,42.3,42.95,0.1,0.23%,50,42.95,70,42.7,42.95,45.75,42.2,,一般,,
2017/11/10,OSF,201803,-,-,-,-,-,-,0,43.05,0,39.35,-,-,-,,一般,,
2017/11/10,OSF,201806,-,-,-,-,-,-,0,43.15,0,-,-,-,-,,一般,,
2017/11/10,OSF,201809,-,-,-,-,-,-,0,43.25,0,-,-,-,-,,一般,,
2017/11/13,OSF,201711,43.05,43.15,42.8,42.95,0.05,0.12%,31,42.95,59,42.8,42.95,46.05,42.15,,一般,,
2017/11/13,OSF,201712,42.8,43.05,42.7,42.75,-0.2,-0.47%,10,42.75,72,42.5,42.9,45.75,42.2,,一般,,
2017/11/13,OSF,201803,-,-,-,-,-,-,0,43.1,0,-,-,-,-,,一般,,
2017/11/13,OSF,201806,-,-,-,-,-,-,0,43.2,0,39.15,-,-,-,,一般,,
2017/11/13,OSF,201809,-,-,-,-,-,-,0,43.3,0,-,-,-,-,,一般,,
2017/11/14,OSF,201711,42.4,42.55,41.5,42.25,-0.7,-1.63%,60,42.25,52,42.15,42.6,46.05,41.5,,一般,,
2017/11/14,OSF,201712,42.75,42.75,41.45,42.1,-0.65,-1.52%,50,42.1,82,41.8,42.2,45.75,41.45,,一般,,
2017/11/14,OSF,201803,-,-,-,-,-,-,0,42.4,0,-,-,-,-,,一般,,
2017/11/14,OSF,201806,-,-,-,-,-,-,0,42.5,0,39.15,-,-,-,,一般,,
2017/11/14,OSF,201809,-,-,-,-,-,-,0,42.6,0,-,-,-,-,,一般,,
2017/11/15,OSF,201711,42.6,42.75,42.15,42.15,-0.1,-0.24%,20,0,42,42.45,44.75,46.05,41.5,,一般,,
