交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/1,OVF,201711,79.7,81.2,79.5,80.6,3.2,4.13%,23,80.6,14,80.4,-,81.2,79.5,,一般,,
2017/11/1,OVF,201712,80.2,81.4,79.1,81.2,3.7,4.77%,12,81.2,2,80.5,81.1,81.4,79.1,,一般,,
2017/11/1,OVF,201803,-,-,-,-,-,-,0,80.9,0,-,-,-,-,,一般,,
2017/11/1,OVF,201806,-,-,-,-,-,-,0,81,0,-,-,-,-,,一般,,
2017/11/1,OVF,201809,-,-,-,-,-,-,0,81.2,0,-,-,-,-,,一般,,
2017/11/2,OVF,201711,79.3,79.3,78.9,79.1,-1.5,-1.86%,20,79.1,18,-,79.9,81.2,78.9,,一般,,
2017/11/2,OVF,201712,79,79,78.9,79,-2.2,-2.71%,3,79,4,78,-,81.4,78.9,,一般,,
2017/11/2,OVF,201803,-,-,-,-,-,-,0,79.4,0,-,-,-,-,,一般,,
2017/11/2,OVF,201806,-,-,-,-,-,-,0,79.5,0,-,-,-,-,,一般,,
2017/11/2,OVF,201809,-,-,-,-,-,-,0,79.7,0,-,-,-,-,,一般,,
2017/11/3,OVF,201711,79.1,79.3,77.8,78.2,-0.9,-1.14%,21,78.2,29,-,78.6,81.2,77.8,,一般,,
2017/11/3,OVF,201712,78.2,78.2,78,78,-1,-1.27%,3,78,6,-,78.6,81.4,78,,一般,,
2017/11/3,OVF,201803,-,-,-,-,-,-,0,78.5,0,-,-,-,-,,一般,,
2017/11/3,OVF,201806,-,-,-,-,-,-,0,78.6,0,-,-,-,-,,一般,,
2017/11/3,OVF,201809,-,-,-,-,-,-,0,78.8,0,-,-,-,-,,一般,,
2017/11/6,OVF,201711,78,78.1,73.5,73.5,-4.7,-6.01%,51,73.5,20,72.9,74,81.2,73.5,,一般,,
2017/11/6,OVF,201712,77,77,75.1,75.1,-2.9,-3.72%,9,73.6,9,73,74.1,81.4,75.1,,一般,,
2017/11/6,OVF,201803,-,-,-,-,-,-,0,73.8,0,-,-,-,-,,一般,,
2017/11/6,OVF,201806,-,-,-,-,-,-,0,73.9,0,-,-,-,-,,一般,,
2017/11/6,OVF,201809,-,-,-,-,-,-,0,74.1,0,-,-,-,-,,一般,,
2017/11/7,OVF,201711,72.6,74.1,72,73.9,0.4,0.54%,19,73.9,20,74,77.6,81.2,72,,一般,,
2017/11/7,OVF,201712,-,-,-,-,-,-,0,74,9,-,77.7,81.4,75.1,,一般,,
2017/11/7,OVF,201803,-,-,-,-,-,-,0,74.2,0,-,-,-,-,,一般,,
2017/11/7,OVF,201806,-,-,-,-,-,-,0,74.3,0,-,-,-,-,,一般,,
2017/11/7,OVF,201809,-,-,-,-,-,-,0,74.5,0,-,-,-,-,,一般,,
2017/11/8,OVF,201711,73.8,75.8,73.8,75.7,1.8,2.44%,12,75.7,21,76,76.2,81.2,72,,一般,,
2017/11/8,OVF,201712,73.9,75.8,73.9,75.8,1.8,2.43%,10,75.8,17,75.8,76,81.4,73.9,,一般,,
2017/11/8,OVF,201803,-,-,-,-,-,-,0,76,0,-,-,-,-,,一般,,
2017/11/8,OVF,201806,-,-,-,-,-,-,0,76.1,0,-,-,-,-,,一般,,
2017/11/8,OVF,201809,-,-,-,-,-,-,0,76.3,0,-,-,-,-,,一般,,
2017/11/9,OVF,201711,75,75,72,72,-3.7,-4.89%,14,72,17,72,80.4,81.2,72,,一般,,
2017/11/9,OVF,201712,75.1,75.1,71.8,73.1,-2.7,-3.56%,48,73.1,34,72.2,80.7,81.4,71.8,,一般,,
2017/11/9,OVF,201803,-,-,-,-,-,-,0,72.3,0,-,-,-,-,,一般,,
2017/11/9,OVF,201806,-,-,-,-,-,-,0,72.4,0,-,-,-,-,,一般,,
2017/11/9,OVF,201809,-,-,-,-,-,-,0,72.6,0,-,-,-,-,,一般,,
2017/11/10,OVF,201711,72,73.7,72,73.3,1.3,1.81%,8,73.3,20,-,-,81.2,72,,一般,,
2017/11/10,OVF,201712,72,73.8,72,73.4,0.3,0.41%,68,73.4,85,71.5,-,81.4,71.8,,一般,,
2017/11/10,OVF,201803,-,-,-,-,-,-,0,73.6,0,-,-,-,-,,一般,,
2017/11/10,OVF,201806,-,-,-,-,-,-,0,73.7,0,-,-,-,-,,一般,,
2017/11/10,OVF,201809,-,-,-,-,-,-,0,73.9,0,-,-,-,-,,一般,,
2017/11/13,OVF,201711,73.3,73.9,71.9,73.2,-0.1,-0.14%,18,73.2,19,73.4,-,81.2,71.9,,一般,,
2017/11/13,OVF,201712,71.9,73.9,71.9,73.2,-0.2,-0.27%,16,73.2,85,73.2,74,81.4,71.8,,一般,,
2017/11/13,OVF,201803,-,-,-,-,-,-,0,73.5,0,-,-,-,-,,一般,,
2017/11/13,OVF,201806,-,-,-,-,-,-,0,73.6,0,-,-,-,-,,一般,,
2017/11/13,OVF,201809,-,-,-,-,-,-,0,73.8,0,-,-,-,-,,一般,,
