交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/1,OYF,201711,1110,1185,1110,1175,80,7.31%,20,1170,10,1170,-,1185,1110,,一般,,
2017/11/1,OYF,201712,1130,1130,1130,1130,35,3.20%,1,1170,1,990,1185,1130,1130,,一般,,
2017/11/1,OYF,201803,-,-,-,-,-,-,0,1175,0,-,-,-,-,,一般,,
2017/11/1,OYF,201806,-,-,-,-,-,-,0,1175,0,-,-,-,-,,一般,,
2017/11/1,OYF,201809,-,-,-,-,-,-,0,1180,0,-,-,-,-,,一般,,
2017/11/2,OYF,201711,1165,1165,1090,1090,-80,-6.84%,27,1090,17,1080,1110,1185,1090,,一般,,
2017/11/2,OYF,201712,1120,1120,1090,1090,-80,-6.84%,8,1090,9,1080,1185,1130,1090,,一般,,
2017/11/2,OYF,201803,-,-,-,-,-,-,0,1095,0,-,-,-,-,,一般,,
2017/11/2,OYF,201806,-,-,-,-,-,-,0,1095,0,-,-,-,-,,一般,,
2017/11/2,OYF,201809,-,-,-,-,-,-,0,1100,0,-,-,-,-,,一般,,
2017/11/3,OYF,201711,1130,1135,1100,1115,25,2.29%,30,1115,15,1110,1115,1185,1090,,一般,,
2017/11/3,OYF,201712,1095,1110,1095,1110,20,1.83%,2,1110,10,1105,1120,1130,1090,,一般,,
2017/11/3,OYF,201803,-,-,-,-,-,-,0,1120,0,-,-,-,-,,一般,,
2017/11/3,OYF,201806,-,-,-,-,-,-,0,1120,0,-,-,-,-,,一般,,
2017/11/3,OYF,201809,-,-,-,-,-,-,0,1125,0,-,-,-,-,,一般,,
2017/11/6,OYF,201711,1110,1190,1105,1155,40,3.59%,17,1155,18,1155,1165,1190,1090,,一般,,
2017/11/6,OYF,201712,1135,1175,1135,1175,65,5.86%,9,1155,4,1145,1165,1175,1090,,一般,,
2017/11/6,OYF,201803,-,-,-,-,-,-,0,1160,0,-,-,-,-,,一般,,
2017/11/6,OYF,201806,-,-,-,-,-,-,0,1160,0,-,-,-,-,,一般,,
2017/11/6,OYF,201809,-,-,-,-,-,-,0,1165,0,-,-,-,-,,一般,,
2017/11/7,OYF,201711,1160,1160,1155,1155,0,0.00%,22,1155,29,1150,1200,1190,1090,,一般,,
2017/11/7,OYF,201712,1155,-,-,1155,0,0.00%,3,1155,3,1145,1205,1175,1090,,一般,,
2017/11/7,OYF,201803,-,-,-,-,-,-,0,1160,0,-,-,-,-,,一般,,
2017/11/7,OYF,201806,-,-,-,-,-,-,0,1160,0,-,-,-,-,,一般,,
2017/11/7,OYF,201809,-,-,-,-,-,-,0,1165,0,-,-,-,-,,一般,,
2017/11/8,OYF,201711,1145,1145,1140,1140,-15,-1.30%,3,1140,26,1135,1165,1190,1090,,一般,,
2017/11/8,OYF,201712,-,-,-,-,-,-,0,1140,3,1130,1160,1175,1090,,一般,,
2017/11/8,OYF,201803,-,-,-,-,-,-,0,1145,0,-,-,-,-,,一般,,
2017/11/8,OYF,201806,-,-,-,-,-,-,0,1145,0,-,-,-,-,,一般,,
2017/11/8,OYF,201809,-,-,-,-,-,-,0,1150,0,-,-,-,-,,一般,,
2017/11/9,OYF,201711,1160,1160,1140,1140,0,0.00%,7,1140,25,1135,1150,1190,1090,,一般,,
2017/11/9,OYF,201712,1140,1140,1140,1140,0,0.00%,1,1140,3,1135,-,1175,1090,,一般,,
2017/11/9,OYF,201803,-,-,-,-,-,-,0,1145,0,-,-,-,-,,一般,,
2017/11/9,OYF,201806,-,-,-,-,-,-,0,1145,0,-,-,-,-,,一般,,
2017/11/9,OYF,201809,-,-,-,-,-,-,0,1150,0,-,-,-,-,,一般,,
2017/11/10,OYF,201711,1130,1130,1130,1130,-10,-0.88%,2,1130,25,1115,1150,1190,1090,,一般,,
2017/11/10,OYF,201712,-,-,-,-,-,-,0,1130,3,1115,1155,1175,1090,,一般,,
2017/11/10,OYF,201803,-,-,-,-,-,-,0,1135,0,-,-,-,-,,一般,,
2017/11/10,OYF,201806,-,-,-,-,-,-,0,1135,0,-,-,-,-,,一般,,
2017/11/10,OYF,201809,-,-,-,-,-,-,0,1140,0,-,-,-,-,,一般,,
2017/11/13,OYF,201711,1165,1165,1160,1160,30,2.65%,5,1160,24,1120,1170,1190,1090,,一般,,
2017/11/13,OYF,201712,1185,1185,1160,1160,30,2.65%,4,1150,3,1115,-,1185,1090,,一般,,
2017/11/13,OYF,201803,-,-,-,-,-,-,0,1165,0,-,-,-,-,,一般,,
2017/11/13,OYF,201806,-,-,-,-,-,-,0,1165,0,-,-,-,-,,一般,,
2017/11/13,OYF,201809,-,-,-,-,-,-,0,1170,0,-,-,-,-,,一般,,
2017/11/14,OYF,201711,1215,1215,1190,1190,30,2.59%,14,1190,24,1190,1210,1215,1090,,一般,,
2017/11/14,OYF,201712,1215,1225,1185,1190,40,3.48%,22,1190,13,1185,1205,1225,1090,,一般,,
2017/11/14,OYF,201803,-,-,-,-,-,-,0,1195,0,-,-,-,-,,一般,,
2017/11/14,OYF,201806,-,-,-,-,-,-,0,1195,0,-,-,-,-,,一般,,
2017/11/14,OYF,201809,-,-,-,-,-,-,0,1200,0,-,-,-,-,,一般,,
