交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/04/25,PJF,201905  ,103.5,104.5,101.5,102.5,-1,-0.97%,10.0,102.5,5,102.5,106,104.5,101.5,,一般,,
2019/04/25,PJF,201906  ,-,-,-,-,-,-,0.0,102.5,0,101,106.5,-,-,,一般,,
2019/04/25,PJF,201909  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2019/04/25,PJF,201912  ,-,-,-,-,-,-,0.0,103,0,-,-,-,-,,一般,,
2019/04/25,PJF,202003  ,-,-,-,-,-,-,0.0,103.5,0,-,-,-,-,,一般,,
2019/04/26,PJF,201905  ,101.5,101.5,99.7,99.7,-2.8,-2.73%,16.0,99.7,18,92.9,100.5,104.5,99.7,,一般,,
2019/04/26,PJF,201906  ,100.5,100.5,100.5,100.5,-2,-1.95%,1.0,100.5,1,93,101,100.5,100.5,,一般,,
2019/04/26,PJF,201909  ,-,-,-,-,-,-,0.0,100,0,-,-,-,-,,一般,,
2019/04/26,PJF,201912  ,-,-,-,-,-,-,0.0,100,0,-,-,-,-,,一般,,
2019/04/26,PJF,202003  ,-,-,-,-,-,-,0.0,100.5,0,-,-,-,-,,一般,,
2019/04/29,PJF,201905  ,102.5,102.5,96.1,98.4,-1.3,-1.30%,44.0,98.4,23,95,99,104.5,96.1,,一般,,
2019/04/29,PJF,201906  ,96.4,96.4,96.4,96.4,-4.1,-4.08%,1.0,96.9,0,94.7,99.1,100.5,96.4,,一般,,
2019/04/29,PJF,201909  ,-,-,-,-,-,-,0.0,98.7,0,-,-,-,-,,一般,,
2019/04/29,PJF,201912  ,-,-,-,-,-,-,0.0,98.7,0,-,-,-,-,,一般,,
2019/04/29,PJF,202003  ,-,-,-,-,-,-,0.0,99.2,0,-,-,-,-,,一般,,
2019/04/30,PJF,201905  ,98.4,99.1,98.1,98.1,-0.3,-0.30%,4.0,99,23,97.9,100,104.5,96.1,,一般,,
2019/04/30,PJF,201906  ,99,99,99,99,2.1,2.17%,1.0,99,1,98,100.5,100.5,96.4,,一般,,
2019/04/30,PJF,201909  ,-,-,-,-,-,-,0.0,99.3,0,-,-,-,-,,一般,,
2019/04/30,PJF,201912  ,-,-,-,-,-,-,0.0,99.3,0,-,-,-,-,,一般,,
2019/04/30,PJF,202003  ,-,-,-,-,-,-,0.0,99.8,0,-,-,-,-,,一般,,
2019/04/26,PJF,201905/201906     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/04/29,PJF,201905/201906     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2019/05/02,PJF,201905  ,99,99.4,98.2,99,0,0.00%,27.0,99,28,97.4,100,104.5,96.1,,一般,,
2019/05/02,PJF,201906  ,98.8,99.5,98.3,98.3,-0.7,-0.71%,12.0,98.3,8,97.5,100.5,100.5,96.4,,一般,,
2019/05/02,PJF,201909  ,-,-,-,-,-,-,0.0,99.3,0,-,-,-,-,,一般,,
2019/05/02,PJF,201912  ,-,-,-,-,-,-,0.0,99.3,0,-,-,-,-,,一般,,
2019/05/02,PJF,202003  ,-,-,-,-,-,-,0.0,99.8,0,-,-,-,-,,一般,,
2019/05/03,PJF,201905  ,98.2,101,98.2,101,2,2.02%,42.0,101,36,100,101,104.5,96.1,,一般,,
2019/05/03,PJF,201906  ,98,98,98,98,-0.3,-0.31%,10.0,100.5,17,99.6,101,100.5,96.4,,一般,,
