交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/04/25,PNF,201905  ,-,-,-,-,-,-,0.0,548,0,540,561,-,-,,一般,,
2019/04/25,PNF,201906  ,-,-,-,-,-,-,0.0,544,0,-,570,-,-,,一般,,
2019/04/25,PNF,201909  ,-,-,-,-,-,-,0.0,545,0,-,-,-,-,,一般,,
2019/04/25,PNF,201912  ,-,-,-,-,-,-,0.0,547,0,-,-,-,-,,一般,,
2019/04/25,PNF,202003  ,-,-,-,-,-,-,0.0,551,0,-,-,-,-,,一般,,
2019/04/26,PNF,201905  ,537,537,537,537,-11,-2.01%,3.0,538,3,509,541,537,537,,一般,,
2019/04/26,PNF,201906  ,-,-,-,-,-,-,0.0,534,0,502,546,-,-,,一般,,
2019/04/26,PNF,201909  ,-,-,-,-,-,-,0.0,535,0,-,-,-,-,,一般,,
2019/04/26,PNF,201912  ,-,-,-,-,-,-,0.0,537,0,-,-,-,-,,一般,,
2019/04/26,PNF,202003  ,-,-,-,-,-,-,0.0,541,0,-,-,-,-,,一般,,
2019/04/29,PNF,201905  ,515,526,512,526,-12,-2.23%,11.0,527,7,521,534,537,512,,一般,,
2019/04/29,PNF,201906  ,520,520,520,520,-14,-2.62%,1.0,523,1,525,558,520,520,,一般,,
2019/04/29,PNF,201909  ,-,-,-,-,-,-,0.0,524,0,-,-,-,-,,一般,,
2019/04/29,PNF,201912  ,-,-,-,-,-,-,0.0,526,0,-,-,-,-,,一般,,
2019/04/29,PNF,202003  ,-,-,-,-,-,-,0.0,530,0,-,-,-,-,,一般,,
2019/04/30,PNF,201905  ,523,529,523,528,1,0.19%,15.0,534,9,521,542,537,512,,一般,,
2019/04/30,PNF,201906  ,-,-,-,-,-,-,0.0,532,1,514,544,520,520,,一般,,
2019/04/30,PNF,201909  ,-,-,-,-,-,-,0.0,531,0,-,-,-,-,,一般,,
2019/04/30,PNF,201912  ,-,-,-,-,-,-,0.0,533,0,-,-,-,-,,一般,,
2019/04/30,PNF,202003  ,-,-,-,-,-,-,0.0,534,0,-,-,-,-,,一般,,
2019/05/02,PNF,201905  ,545,547,542,547,13,2.43%,11.0,550,11,511,560,547,512,,一般,,
2019/05/02,PNF,201906  ,-,-,-,-,-,-,0.0,548,1,505,562,520,520,,一般,,
2019/05/02,PNF,201909  ,-,-,-,-,-,-,0.0,547,0,-,-,-,-,,一般,,
2019/05/02,PNF,201912  ,-,-,-,-,-,-,0.0,549,0,-,-,-,-,,一般,,
2019/05/02,PNF,202003  ,-,-,-,-,-,-,0.0,550,0,-,-,-,-,,一般,,
2019/05/03,PNF,201905  ,553,553,545,549,-1,-0.18%,23.0,544,17,540,557,553,512,,一般,,
2019/05/03,PNF,201906  ,541,543,541,543,-5,-0.91%,2.0,543,0,535,559,543,520,,一般,,
2019/05/03,PNF,201909  ,-,-,-,-,-,-,0.0,541,0,-,-,-,-,,一般,,
2019/05/03,PNF,201912  ,-,-,-,-,-,-,0.0,543,0,-,-,-,-,,一般,,
2019/05/03,PNF,202003  ,-,-,-,-,-,-,0.0,544,0,-,-,-,-,,一般,,
2019/05/06,PNF,201905  ,532,536,525,525,-19,-3.49%,26.0,522,14,506,527,553,512,,一般,,
