交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/02/05,PPF,202002  ,70.9,70.9,70.9,70.9,-2.2,-3.01%,1.0,70.9,1,-,-,70.9,70.9,,一般,,
2020/02/05,PPF,202003  ,-,-,-,-,-,-,0.0,71,0,-,-,-,-,,一般,,
2020/02/05,PPF,202006  ,-,-,-,-,-,-,0.0,71.2,0,-,-,-,-,,一般,,
2020/02/05,PPF,202009  ,-,-,-,-,-,-,0.0,71.3,0,-,-,-,-,,一般,,
2020/02/05,PPF,202012  ,-,-,-,-,-,-,0.0,71.5,0,-,-,-,-,,一般,,
2020/02/06,PPF,202002  ,74,76.3,73.5,75.7,4.8,6.77%,21.0,75.7,7,75.7,-,76.3,70.9,,一般,,
2020/02/06,PPF,202003  ,73.9,73.9,73.9,73.9,2.9,4.08%,2.0,75.6,2,75.6,-,73.9,73.9,,一般,,
2020/02/06,PPF,202006  ,-,-,-,-,-,-,0.0,76,0,69.2,-,-,-,,一般,,
2020/02/06,PPF,202009  ,-,-,-,-,-,-,0.0,76.1,0,69.3,-,-,-,,一般,,
2020/02/06,PPF,202012  ,-,-,-,-,-,-,0.0,76.3,0,69.5,-,-,-,,一般,,
2020/02/07,PPF,202002  ,75,75,75,75,-0.7,-0.92%,1.0,73.6,7,70.5,83.1,76.3,70.9,,一般,,
2020/02/07,PPF,202003  ,-,-,-,-,-,-,0.0,73.5,2,70.4,83.1,73.9,73.9,,一般,,
2020/02/07,PPF,202006  ,-,-,-,-,-,-,0.0,73.9,0,-,83.5,-,-,,一般,,
2020/02/07,PPF,202009  ,-,-,-,-,-,-,0.0,74,0,-,83.7,-,-,,一般,,
2020/02/07,PPF,202012  ,-,-,-,-,-,-,0.0,74.2,0,-,83.9,-,-,,一般,,
2020/02/10,PPF,202002  ,70.7,72.4,70.7,72.2,-1.4,-1.90%,6.0,74,8,73.5,74.5,76.3,70.7,,一般,,
2020/02/10,PPF,202003  ,70.7,72.4,70.7,72.4,-1.1,-1.50%,3.0,74,2,73.4,74.5,73.9,70.7,,一般,,
2020/02/10,PPF,202006  ,-,-,-,-,-,-,0.0,74.3,0,-,-,-,-,,一般,,
2020/02/10,PPF,202009  ,-,-,-,-,-,-,0.0,74.4,0,-,-,-,-,,一般,,
2020/02/10,PPF,202012  ,-,-,-,-,-,-,0.0,74.6,0,-,-,-,-,,一般,,
2020/02/11,PPF,202002  ,75.3,79.7,75.3,79.5,5.5,7.43%,51.0,79.5,15,78.5,79.8,79.7,70.7,,一般,,
2020/02/11,PPF,202003  ,75.3,79.4,75.3,79.1,5.1,6.89%,29.0,79.1,16,78.4,79.9,79.4,70.7,,一般,,
2020/02/11,PPF,202006  ,-,-,-,-,-,-,0.0,78.5,0,-,-,-,-,,一般,,
2020/02/11,PPF,202009  ,-,-,-,-,-,-,0.0,78.6,0,-,-,-,-,,一般,,
2020/02/11,PPF,202012  ,-,-,-,-,-,-,0.0,78.8,0,-,-,-,-,,一般,,
2020/02/12,PPF,202002  ,78,79.4,77.7,79.2,-0.3,-0.38%,23.0,79.2,15,79.5,87.3,79.7,70.7,,一般,,
2020/02/12,PPF,202003  ,77.9,79.5,77.8,79.5,0.4,0.51%,36.0,79.5,34,79.4,-,79.5,70.7,,一般,,
