交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/02/05,PQF,202002  ,36.2,36.2,35.65,35.65,-0.3,-0.83%,3.0,35.65,1,-,-,36.2,35.65,,一般,,
2020/02/05,PQF,202003  ,-,-,-,-,-,-,0.0,35.7,0,-,-,-,-,,一般,,
2020/02/05,PQF,202006  ,-,-,-,-,-,-,0.0,35.75,0,-,-,-,-,,一般,,
2020/02/05,PQF,202009  ,-,-,-,-,-,-,0.0,35.85,0,-,-,-,-,,一般,,
2020/02/05,PQF,202012  ,-,-,-,-,-,-,0.0,35.95,0,-,-,-,-,,一般,,
2020/02/06,PQF,202002  ,35.65,37.2,35.65,37.15,1.5,4.21%,11.0,37.15,4,-,-,37.2,35.65,,一般,,
2020/02/06,PQF,202003  ,36.85,36.85,36.55,36.55,0.85,2.38%,3.0,36.55,3,-,-,36.85,36.55,,一般,,
2020/02/06,PQF,202006  ,-,-,-,-,-,-,0.0,37.25,0,-,-,-,-,,一般,,
2020/02/06,PQF,202009  ,-,-,-,-,-,-,0.0,37.35,0,-,-,-,-,,一般,,
2020/02/06,PQF,202012  ,-,-,-,-,-,-,0.0,37.45,0,-,-,-,-,,一般,,
2020/02/07,PQF,202002  ,-,-,-,-,-,-,0.0,36.4,4,-,-,37.2,35.65,,一般,,
2020/02/07,PQF,202003  ,-,-,-,-,-,-,0.0,35.8,3,-,-,36.85,36.55,,一般,,
2020/02/07,PQF,202006  ,-,-,-,-,-,-,0.0,36.5,0,-,-,-,-,,一般,,
2020/02/07,PQF,202009  ,-,-,-,-,-,-,0.0,36.6,0,-,-,-,-,,一般,,
2020/02/07,PQF,202012  ,-,-,-,-,-,-,0.0,36.7,0,-,-,-,-,,一般,,
2020/02/10,PQF,202002  ,35.65,36.75,35.65,36.5,0.1,0.27%,5.0,36.5,7,35.95,37.6,37.2,35.65,,一般,,
2020/02/10,PQF,202003  ,35.8,36.5,35.8,36.5,0.7,1.96%,4.0,36.5,5,35.95,37.6,36.85,35.8,,一般,,
2020/02/10,PQF,202006  ,-,-,-,-,-,-,0.0,36.6,0,-,-,-,-,,一般,,
2020/02/10,PQF,202009  ,-,-,-,-,-,-,0.0,36.7,0,-,-,-,-,,一般,,
2020/02/10,PQF,202012  ,-,-,-,-,-,-,0.0,36.8,0,-,38.1,-,-,,一般,,
2020/02/11,PQF,202002  ,37.75,37.75,37.45,37.45,0.95,2.60%,9.0,37.45,5,37.55,-,37.75,35.65,,一般,,
2020/02/11,PQF,202003  ,37.7,37.7,37.45,37.45,0.95,2.60%,8.0,37.45,5,37.55,-,37.7,35.8,,一般,,
2020/02/11,PQF,202006  ,-,-,-,-,-,-,0.0,37.55,0,-,-,-,-,,一般,,
2020/02/11,PQF,202009  ,-,-,-,-,-,-,0.0,37.65,0,-,-,-,-,,一般,,
2020/02/11,PQF,202012  ,-,-,-,-,-,-,0.0,37.75,0,-,-,-,-,,一般,,
2020/02/12,PQF,202002  ,-,-,-,-,-,-,0.0,38.1,5,37.55,-,37.75,35.65,,一般,,
2020/02/12,PQF,202003  ,38.4,38.4,38.4,38.4,0.95,2.54%,1.0,38.4,6,37.55,-,38.4,35.8,,一般,,
2020/02/12,PQF,202006  ,-,-,-,-,-,-,0.0,38.2,0,-,-,-,-,,一般,,
2020/02/12,PQF,202009  ,-,-,-,-,-,-,0.0,38.3,0,-,-,-,-,,一般,,
2020/02/12,PQF,202012  ,-,-,-,-,-,-,0.0,38.4,0,-,-,-,-,,一般,,
2020/02/13,PQF,202002  ,-,-,-,-,-,-,0.0,37.75,5,37.6,37.85,37.75,35.65,,一般,,
2020/02/13,PQF,202003  ,-,-,-,-,-,-,0.0,37.7,6,37.5,37.85,38.4,35.8,,一般,,
2020/02/13,PQF,202006  ,-,-,-,-,-,-,0.0,37.85,0,34.5,40.75,-,-,,一般,,
2020/02/13,PQF,202009  ,-,-,-,-,-,-,0.0,37.95,0,34.6,40.35,-,-,,一般,,
2020/02/13,PQF,202012  ,-,-,-,-,-,-,0.0,38.05,0,34.7,38.35,-,-,,一般,,
2020/02/14,PQF,202002  ,37.9,38.15,37.9,38.1,0.35,0.93%,16.0,38.1,6,38.05,-,38.15,35.65,,一般,,
2020/02/14,PQF,202003  ,-,-,-,-,-,-,0.0,38.05,6,38.05,-,38.4,35.8,,一般,,
2020/02/14,PQF,202006  ,-,-,-,-,-,-,0.0,38.2,0,34.2,-,-,-,,一般,,
2020/02/14,PQF,202009  ,-,-,-,-,-,-,0.0,38.3,0,34.3,-,-,-,,一般,,
2020/02/14,PQF,202012  ,-,-,-,-,-,-,0.0,38.4,0,34.4,-,-,-,,一般,,
2020/02/17,PQF,202002  ,38.35,38.35,38.35,38.35,0.25,0.66%,1.0,38.35,6,38.25,-,38.35,35.65,,一般,,
