交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/07/14,PS1,202007  ,29.35,30.3,29.25,30.3,0.5,1.68%,369.0,30.25,389,30.15,30.35,34.9,29.25,,一般,,
2020/07/14,PS1,202008  ,30.2,30.2,29.95,30.2,0.4,1.34%,50.0,30.25,171,30.15,30.3,34.55,29.95,,一般,,
2020/07/15,PS1,202007  ,30.5,30.5,29.8,29.8,-0.45,-1.49%,45.0,0,350,29.85,29.9,34.9,29.25,,一般,,
2020/07/15,PS1,202008  ,30.55,30.55,29.85,29.9,-0.35,-1.16%,18.0,29.85,172,29.7,30.1,34.55,29.85,,一般,,
2020/07/16,PS1,202008  ,29.85,30,29.8,30,0.15,0.50%,27.0,30,150,29.75,30.45,34.55,29.8,,一般,,
2020/07/17,PS1,202008  ,29.95,29.95,29.6,29.6,-0.4,-1.33%,12.0,29.6,139,29.35,29.75,34.55,29.6,,一般,,
2020/07/20,PS1,202008  ,29.3,29.6,29.1,29.6,0,0.00%,23.0,29.65,121,29.55,29.95,34.55,29.1,,一般,,
2020/07/21,PS1,202008  ,29.95,29.95,29.85,29.85,0.2,0.67%,4.0,29.85,121,29.4,29.95,34.55,29.1,,一般,,
2020/07/22,PS1,202008  ,-,-,-,-,-,-,0.0,29.75,121,29.45,29.9,34.55,29.1,,一般,,
2020/07/23,PS1,202008  ,29.5,29.55,29.5,29.55,-0.2,-0.67%,2.0,29.65,119,-,30.2,34.55,29.1,,一般,,
2020/07/24,PS1,202008  ,29.2,29.2,29.2,29.2,-0.45,-1.52%,1.0,29,119,-,29.2,34.55,29.1,,一般,,
2020/07/27,PS1,202008  ,28.5,28.5,28.5,28.5,-0.5,-1.72%,1.0,28.5,118,-,29.35,34.55,28.5,,一般,,
2020/07/28,PS1,202008  ,28.25,28.25,28.2,28.2,-0.3,-1.05%,5.0,28.2,113,-,28.4,34.55,28.2,,一般,,
2020/07/29,PS1,202008  ,28.75,28.75,28.75,28.75,0.55,1.95%,1.0,29,112,-,29.15,34.55,28.2,,一般,,
2020/07/30,PS1,202008  ,29.1,29.15,29.1,29.15,0.15,0.52%,2.0,29.15,111,-,29.25,34.55,28.2,,一般,,
2020/07/31,PS1,202008  ,29.15,29.55,29,29.55,0.4,1.37%,20.0,29.55,103,-,30.2,34.55,28.2,,一般,,
2020/07/14,PS1,202007/202008    ,0,0,-0.04,0,-,-,20.0,-,-,-0.06,0,0,-0.04,,一般,16.0,
2020/07/15,PS1,202007/202008    ,0,0,0,0,-,-,7.0,-,-,-,-,0,-0.04,,一般,6.0,
2020/08/03,PS1,202008  ,29.15,29.2,29.15,29.2,-0.35,-1.18%,3.0,29.2,106,26.8,29.45,34.55,28.2,,一般,,
2020/08/04,PS1,202008  ,29.1,29.2,29.1,29.2,0,0.00%,4.0,29.35,103,-,29.45,34.55,28.2,,一般,,
2020/08/05,PS1,202008  ,29.35,29.5,29.35,29.5,0.15,0.51%,6.0,29.5,99,-,-,34.55,28.2,,一般,,
2020/08/06,PS1,202008  ,29.5,29.55,29.5,29.55,0.05,0.17%,4.0,29.5,97,29.25,29.6,34.55,28.2,,一般,,
2020/08/07,PS1,202008  ,29.25,29.25,29.25,29.25,-0.25,-0.85%,2.0,29.25,97,27.65,29.25,34.55,28.2,,一般,,
2020/08/10,PS1,202008  ,29.25,29.25,29.25,29.25,0,0.00%,10.0,29.3,87,27.75,-,34.55,28.2,,一般,,
2020/08/11,PS1,202008  ,-,-,-,-,-,-,0.0,29.45,87,26.8,30,34.55,28.2,,一般,,
2020/08/12,PS1,202008  ,-,-,-,-,-,-,0.0,28.9,87,28.7,30,34.55,28.2,,一般,,
2020/08/13,PS1,202008  ,28.3,28.4,28.3,28.4,-0.5,-1.73%,2.0,28.4,86,28.25,-,34.55,28.2,,一般,,
2020/08/14,PS1,202008  ,-,-,-,-,-,-,0.0,28.6,86,28.35,31,34.55,28.2,,一般,,
2020/08/17,PS1,202008  ,-,-,-,-,-,-,0.0,29,86,28.8,31,34.55,28.2,,一般,,
2020/08/18,PS1,202008  ,-,-,-,-,-,-,0.0,28.9,86,28.75,31.45,34.55,28.2,,一般,,
2020/08/19,PS1,202008  ,28.5,28.5,28.5,28.5,-0.4,-1.38%,1.0,0,86,28.35,28.5,34.55,28.2,,一般,,
