交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/08/03,PUF,202008  ,729,731,696,700,-4,-0.57%,256.0,700,107,699,703,731,696,,一般,,
2020/08/03,PUF,202009  ,703,704,699,701,-1,-0.14%,37.0,698,26,697,701,704,699,,一般,,
2020/08/03,PUF,202012  ,-,-,-,-,-,-,0.0,699,0,642,754,-,-,,一般,,
2020/08/03,PUF,202103  ,-,-,-,-,-,-,0.0,699,0,642,754,-,-,,一般,,
2020/08/03,PUF,202106  ,-,-,-,-,-,-,0.0,699,0,642,754,-,-,,一般,,
2020/08/04,PUF,202008  ,703,735,702,735,35,5.00%,219.0,735,133,733,735,735,696,,一般,,
2020/08/04,PUF,202009  ,713,732,713,732,34,4.87%,14.0,732,20,731,733,732,699,,一般,,
2020/08/04,PUF,202012  ,-,-,-,-,-,-,0.0,734,0,664,-,-,-,,一般,,
2020/08/04,PUF,202103  ,-,-,-,-,-,-,0.0,734,0,664,-,-,-,,一般,,
2020/08/04,PUF,202106  ,-,-,-,-,-,-,0.0,734,0,664,-,-,-,,一般,,
2020/08/05,PUF,202008  ,742,742,723,730,-5,-0.68%,157.0,731,135,730,733,742,696,,一般,,
2020/08/05,PUF,202009  ,725,730,725,730,-2,-0.27%,3.0,731,22,729,732,732,699,,一般,,
2020/08/05,PUF,202012  ,-,-,-,-,-,-,0.0,730,0,679,795,-,-,,一般,,
2020/08/05,PUF,202103  ,-,-,-,-,-,-,0.0,731,0,679,795,-,-,,一般,,
2020/08/05,PUF,202106  ,-,-,-,-,-,-,0.0,731,0,679,795,-,-,,一般,,
2020/08/06,PUF,202008  ,738,751,731,735,4,0.55%,230.0,735,178,734,735,751,696,,一般,,
2020/08/06,PUF,202009  ,748,751,732,732,1,0.14%,5.0,734,24,731,735,751,699,,一般,,
2020/08/06,PUF,202012  ,-,-,-,-,-,-,0.0,733,0,672,787,-,-,,一般,,
2020/08/06,PUF,202103  ,-,-,-,-,-,-,0.0,735,0,673,788,-,-,,一般,,
2020/08/06,PUF,202106  ,-,-,-,-,-,-,0.0,735,0,673,788,-,-,,一般,,
2020/08/07,PUF,202008  ,743,743,704,709,-26,-3.54%,230.0,709,261,708,709,751,696,,一般,,
2020/08/07,PUF,202009  ,730,731,701,708,-26,-3.54%,17.0,707,31,705,709,751,699,,一般,,
2020/08/07,PUF,202012  ,-,-,-,-,-,-,0.0,706,0,-,-,-,-,,一般,,
2020/08/07,PUF,202103  ,-,-,-,-,-,-,0.0,709,0,-,-,-,-,,一般,,
2020/08/07,PUF,202106  ,-,-,-,-,-,-,0.0,709,0,-,-,-,-,,一般,,
2020/08/10,PUF,202008  ,710,717,695,710,1,0.14%,280.0,712,292,710,712,751,695,,一般,,
2020/08/10,PUF,202009  ,700,715,700,708,1,0.14%,42.0,710,28,708,711,751,699,,一般,,
2020/08/10,PUF,202012  ,-,-,-,-,-,-,0.0,709,0,654,761,-,-,,一般,,
2020/08/10,PUF,202103  ,-,-,-,-,-,-,0.0,712,0,655,764,-,-,,一般,,
2020/08/10,PUF,202106  ,-,-,-,-,-,-,0.0,712,0,655,764,-,-,,一般,,
2020/08/11,PUF,202008  ,702,707,692,695,-17,-2.39%,187.0,694,293,694,697,751,692,,一般,,
2020/08/11,PUF,202009  ,698,703,693,698,-12,-1.69%,34.0,692,27,692,696,751,693,,一般,,
2020/08/11,PUF,202012  ,-,-,-,-,-,-,0.0,692,0,644,754,-,-,,一般,,
2020/08/11,PUF,202103  ,-,-,-,-,-,-,0.0,694,0,646,758,-,-,,一般,,
2020/08/11,PUF,202106  ,-,-,-,-,-,-,0.0,694,0,643,758,-,-,,一般,,
2020/08/12,PUF,202008  ,694,694,676,683,-11,-1.59%,169.0,683,348,683,685,751,676,,一般,,
2020/08/12,PUF,202009  ,685,687,676,683,-9,-1.30%,44.0,682,43,681,684,751,676,,一般,,
2020/08/12,PUF,202012  ,-,-,-,-,-,-,0.0,680,0,641,751,-,-,,一般,,
2020/08/12,PUF,202103  ,-,-,-,-,-,-,0.0,683,0,670,753,-,-,,一般,,
2020/08/12,PUF,202106  ,-,-,-,-,-,-,0.0,683,0,640,753,-,-,,一般,,
2020/08/13,PUF,202008  ,693,702,672,685,2,0.29%,277.0,684,309,684,686,751,672,,一般,,
2020/08/13,PUF,202009  ,698,698,676,685,3,0.44%,30.0,685,63,681,685,751,676,,一般,,
2020/08/13,PUF,202012  ,-,-,-,-,-,-,0.0,682,0,617,721,-,-,,一般,,
2020/08/13,PUF,202103  ,-,-,-,-,-,-,0.0,684,0,620,724,-,-,,一般,,
2020/08/13,PUF,202106  ,-,-,-,-,-,-,0.0,684,0,620,724,-,-,,一般,,
2020/08/14,PUF,202008  ,679,683,672,682,-2,-0.29%,163.0,682,330,682,684,751,672,,一般,,
2020/08/14,PUF,202009  ,675,682,672,679,-6,-0.88%,64.0,681,102,680,683,751,672,,一般,,
2020/08/14,PUF,202012  ,-,-,-,-,-,-,0.0,680,0,631,737,-,-,,一般,,
2020/08/14,PUF,202103  ,-,-,-,-,-,-,0.0,682,0,633,739,-,-,,一般,,
2020/08/14,PUF,202106  ,-,-,-,-,-,-,0.0,682,0,630,739,-,-,,一般,,
2020/08/17,PUF,202008  ,682,688,681,688,6,0.88%,264.0,687,426,685,688,751,672,,一般,,
2020/08/17,PUF,202009  ,685,687,679,687,6,0.88%,154.0,686,192,685,688,751,672,,一般,,
2020/08/17,PUF,202012  ,-,-,-,-,-,-,0.0,684,0,629,736,-,-,,一般,,
2020/08/17,PUF,202103  ,-,-,-,-,-,-,0.0,685,0,631,738,-,-,,一般,,
2020/08/17,PUF,202106  ,-,-,-,-,-,-,0.0,687,0,631,738,-,-,,一般,,
2020/08/18,PUF,202008  ,644,644,619,619,-68,-9.90%,737.0,619,450,-,619,751,619,,一般,,
2020/08/18,PUF,202009  ,645,645,618,618,-68,-9.91%,687.0,618,506,-,618,751,618,,一般,,
2020/08/18,PUF,202012  ,-,-,-,-,-,-,0.0,616,0,-,734,-,-,,一般,,
2020/08/18,PUF,202103  ,-,-,-,-,-,-,0.0,617,0,-,735,-,-,,一般,,
2020/08/18,PUF,202106  ,-,-,-,-,-,-,0.0,619,0,-,737,-,-,,一般,,
