交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/11/02,PXF,202011  ,-,-,-,-,-,-,0.0,744,0,-,-,-,-,,一般,,
2020/11/02,PXF,202012  ,-,-,-,-,-,-,0.0,745,0,-,-,-,-,,一般,,
2020/11/02,PXF,202103  ,-,-,-,-,-,-,0.0,746,0,-,-,-,-,,一般,,
2020/11/02,PXF,202106  ,-,-,-,-,-,-,0.0,748,0,-,-,-,-,,一般,,
2020/11/02,PXF,202109  ,-,-,-,-,-,-,0.0,748,0,-,-,-,-,,一般,,
2020/11/03,PXF,202011  ,-,-,-,-,-,-,0.0,757,0,-,-,-,-,,一般,,
2020/11/03,PXF,202012  ,-,-,-,-,-,-,0.0,758,0,-,-,-,-,,一般,,
2020/11/03,PXF,202103  ,-,-,-,-,-,-,0.0,759,0,-,-,-,-,,一般,,
2020/11/03,PXF,202106  ,-,-,-,-,-,-,0.0,761,0,-,-,-,-,,一般,,
2020/11/03,PXF,202109  ,-,-,-,-,-,-,0.0,761,0,-,-,-,-,,一般,,
2020/11/04,PXF,202011  ,-,-,-,-,-,-,0.0,760,0,700,-,-,-,,一般,,
2020/11/04,PXF,202012  ,-,-,-,-,-,-,0.0,761,0,694,-,-,-,,一般,,
2020/11/04,PXF,202103  ,-,-,-,-,-,-,0.0,762,0,-,-,-,-,,一般,,
2020/11/04,PXF,202106  ,-,-,-,-,-,-,0.0,764,0,-,-,-,-,,一般,,
2020/11/04,PXF,202109  ,-,-,-,-,-,-,0.0,764,0,-,-,-,-,,一般,,
2020/11/05,PXF,202011  ,-,-,-,-,-,-,0.0,775,0,-,-,-,-,,一般,,
2020/11/05,PXF,202012  ,-,-,-,-,-,-,0.0,776,0,-,-,-,-,,一般,,
2020/11/05,PXF,202103  ,-,-,-,-,-,-,0.0,777,0,-,-,-,-,,一般,,
2020/11/05,PXF,202106  ,-,-,-,-,-,-,0.0,779,0,-,-,-,-,,一般,,
2020/11/05,PXF,202109  ,-,-,-,-,-,-,0.0,779,0,-,-,-,-,,一般,,
2020/11/06,PXF,202011  ,-,-,-,-,-,-,0.0,762,0,714,-,-,-,,一般,,
2020/11/06,PXF,202012  ,776,776,776,776,0,0.00%,1.0,763,1,708,-,776,776,,一般,,
2020/11/06,PXF,202103  ,-,-,-,-,-,-,0.0,764,0,-,-,-,-,,一般,,
2020/11/06,PXF,202106  ,-,-,-,-,-,-,0.0,766,0,-,-,-,-,,一般,,
2020/11/06,PXF,202109  ,-,-,-,-,-,-,0.0,766,0,-,-,-,-,,一般,,
2020/11/09,PXF,202011  ,-,-,-,-,-,-,0.0,774,0,714,-,-,-,,一般,,
2020/11/09,PXF,202012  ,-,-,-,-,-,-,0.0,775,1,708,-,776,776,,一般,,
2020/11/09,PXF,202103  ,-,-,-,-,-,-,0.0,776,0,-,-,-,-,,一般,,
2020/11/09,PXF,202106  ,-,-,-,-,-,-,0.0,778,0,-,-,-,-,,一般,,
2020/11/09,PXF,202109  ,-,-,-,-,-,-,0.0,778,0,-,-,-,-,,一般,,
