交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/07/27,PY1,202208  ,370.5,372,341,351,-17,-4.62%,471.0,351,537,350,351,800,341,,一般,,
2022/07/27,PY1,202209  ,367,367,342,345.5,-22,-5.99%,29.0,350,155,349.5,350.5,794,342,,一般,,
2022/07/28,PY1,202208  ,359,359,343,344.5,-6.5,-1.85%,63.0,344,526,343.5,345.5,800,341,,一般,,
2022/07/28,PY1,202209  ,356,357,353.5,353.5,3.5,1.00%,6.0,345,155,342,345,794,342,,一般,,
2022/07/29,PY1,202208  ,344.5,349.5,344.5,348.5,4.5,1.31%,39.0,349.5,524,347.5,349,800,341,,一般,,
2022/07/29,PY1,202209  ,346,346.5,346,346.5,1.5,0.43%,6.0,348.5,154,346,348,794,342,,一般,,
2022/07/27,PY1,202208/202209    ,-1,-1,-1,-1,-,-,10.0,-,-,-1.29,-0.99,-1,-1.5,,一般,16.0,
2022/07/28,PY1,202208/202209    ,-1,-1,-1,-1,-,-,1.0,-,-,-1.41,-0.99,-1,-1.5,,一般,4.0,
2022/07/29,PY1,202208/202209    ,-1.12,-1.1,-1.12,-1.1,-,-,2.0,-,-,-1.1,-1.09,-1,-1.5,,一般,4.0,
2022/08/01,PY1,202208  ,345,345,340.5,342.5,-7,-2.00%,120.0,344.5,527,342,343,800,340.5,,一般,,
2022/08/01,PY1,202209  ,341.5,341.5,341.5,341.5,-7,-2.01%,14.0,343.5,154,340.5,342,794,341.5,,一般,,
2022/08/02,PY1,202208  ,338,338,335.5,337,-7.5,-2.18%,48.0,338,520,336,338,800,335.5,,一般,,
2022/08/02,PY1,202209  ,343.5,-,-,343.5,0,0.00%,5.0,338,154,334.5,337,794,341.5,,一般,,
2022/08/03,PY1,202208  ,341.5,347.5,341.5,342,4,1.18%,53.0,343.5,507,342,343.5,800,335.5,,一般,,
2022/08/03,PY1,202209  ,342.5,346,342,342,4,1.18%,15.0,343.5,152,340.5,342.5,794,341.5,,一般,,
2022/08/04,PY1,202208  ,344,344,343.5,343.5,0,0.00%,4.0,345.5,507,343.5,348.5,800,335.5,,一般,,
2022/08/04,PY1,202209  ,-,-,-,-,-,-,0.0,345,152,342,347.5,794,341.5,,一般,,
2022/08/05,PY1,202208  ,349.5,363.5,349.5,363,17.5,5.07%,50.0,364,497,361,363.5,800,335.5,,一般,,
2022/08/05,PY1,202209  ,361.5,362,361.5,362,17,4.93%,3.0,364,150,359.5,362.5,794,341.5,,一般,,
2022/08/08,PY1,202208  ,365,386,365,386,22,6.04%,70.0,386,482,384,387.5,800,335.5,,一般,,
2022/08/08,PY1,202209  ,368.5,368.5,368.5,368.5,4.5,1.24%,6.0,385.5,150,381.5,386,794,341.5,,一般,,
2022/08/09,PY1,202208  ,386.5,410.5,386.5,410,24,6.22%,48.0,411,483,407,411,800,335.5,,一般,,
2022/08/09,PY1,202209  ,392,405.5,390,405.5,20,5.19%,10.0,409,150,403.5,408,794,341.5,,一般,,
2022/08/10,PY1,202208  ,407.5,408.5,398,399.5,-11.5,-2.80%,38.0,402,470,400,401,800,335.5,,一般,,
2022/08/10,PY1,202209  ,398,399,398,399,-10,-2.44%,6.0,400,150,396.5,399,794,341.5,,一般,,
2022/08/11,PY1,202208  ,403.5,407.5,402,407.5,5.5,1.37%,25.0,410,460,406.5,408,800,335.5,,一般,,
2022/08/11,PY1,202209  ,400,-,-,400,0,0.00%,10.0,407,150,402.5,406,794,341.5,,一般,,
2022/08/12,PY1,202208  ,405.5,410.5,405.5,407.5,-2.5,-0.61%,15.0,408.5,458,406,408,800,335.5,,一般,,
2022/08/12,PY1,202209  ,-,-,-,-,-,-,0.0,406,150,401.5,406,794,341.5,,一般,,
2022/08/15,PY1,202208  ,402.5,403.5,398,401.5,-7,-1.71%,43.0,402,443,402,402.5,800,335.5,,一般,,
2022/08/15,PY1,202209  ,393,395.5,393,395.5,-10.5,-2.59%,22.0,400.5,160,398.5,401.5,794,341.5,,一般,,
2022/08/16,PY1,202208  ,407,407,403.5,404.5,2.5,0.62%,38.0,404,432,403,405,800,335.5,,一般,,
2022/08/16,PY1,202209  ,400.5,-,-,400.5,0,0.00%,18.0,402.5,178,400.5,403.5,794,341.5,,一般,,
2022/08/17,PY1,202208  ,405.5,406.5,402,406.5,2.5,0.62%,16.0,0,422,406.5,407,800,335.5,,一般,,
2022/08/17,PY1,202209  ,399,403.5,399,403.5,1,0.25%,4.0,403.5,180,399.5,402.5,794,341.5,,一般,,
2022/08/18,PY1,202209  ,398,398,398,398,-5.5,-1.36%,10.0,400,171,397.5,401,794,341.5,,一般,,
2022/08/19,PY1,202209  ,-,-,-,-,-,-,0.0,400,171,396.5,400,794,341.5,,一般,,
2022/08/22,PY1,202209  ,395,395,388,388,-12,-3.00%,3.0,387.5,173,384.5,387,794,341.5,,一般,,
2022/08/23,PY1,202209  ,-,-,-,-,-,-,0.0,383,173,381.5,383,794,341.5,,一般,,
2022/08/24,PY1,202209  ,382.5,382.5,381,381,-2,-0.52%,2.0,384.5,173,380.5,383.5,794,341.5,,一般,,
2022/08/25,PY1,202209  ,-,-,-,-,-,-,0.0,384,173,382.5,384.5,794,341.5,,一般,,
2022/08/26,PY1,202209  ,-,-,-,-,-,-,0.0,387.5,173,385.5,394,794,341.5,,一般,,
2022/08/29,PY1,202209  ,373,373,373,373,-14.5,-3.74%,1.0,374,173,370.5,386,794,341.5,,一般,,
2022/08/30,PY1,202209  ,378,378,378,378,4,1.07%,1.0,378,172,375,377,794,341.5,,一般,,
2022/08/31,PY1,202209  ,372,372,370,370,-8,-2.12%,4.0,372,172,367.5,374.5,794,341.5,,一般,,
2022/08/01,PY1,202208/202209    ,-1.01,-1.01,-1.11,-1.11,-,-,13.0,-,-,-1.49,-1.09,-1,-1.5,,一般,1.0,
2022/08/02,PY1,202208/202209    ,-1,-1,-1.05,-1.05,-,-,5.0,-,-,-1.18,-1.01,-1,-1.5,,一般,0.0,
2022/08/03,PY1,202208/202209    ,-1.08,-1.08,-1.12,-1.12,-,-,11.0,-,-,-1.13,-1.12,-1,-1.5,,一般,4.0,
2022/08/05,PY1,202208/202209    ,-1.32,-1.32,-1.32,-1.32,-,-,1.0,-,-,-1.33,-1.32,-1,-1.5,,一般,2.0,
2022/08/08,PY1,202208/202209    ,-1.43,-1.43,-1.99,-1.99,-,-,5.0,-,-,-2.49,-1.99,-1,-1.99,,一般,1.0,
2022/08/09,PY1,202208/202209    ,-,-,-,-,-,-,0.0,-,-,-5.99,-3.01,-1,-1.99,,一般,6.0,
