交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QCF,202102  ,31.25,31.25,31.25,31.25,0,0.00%,1.0,31.25,1,31.25,-,31.25,31.25,,一般,,
2021/02/01,QCF,202103  ,-,-,-,-,-,-,0.0,31.3,0,29.25,-,-,-,,一般,,
2021/02/01,QCF,202106  ,-,-,-,-,-,-,0.0,31.35,0,29.05,-,-,-,,一般,,
2021/02/01,QCF,202109  ,-,-,-,-,-,-,0.0,31.35,0,-,-,-,-,,一般,,
2021/02/01,QCF,202112  ,-,-,-,-,-,-,0.0,31.45,0,-,-,-,-,,一般,,
2021/02/02,QCF,202102  ,32.05,33,32,33,1.75,5.60%,12.0,33,2,-,-,33,31.25,,一般,,
2021/02/02,QCF,202103  ,-,-,-,-,-,-,0.0,33.05,0,-,-,-,-,,一般,,
2021/02/02,QCF,202106  ,-,-,-,-,-,-,0.0,33.1,0,-,-,-,-,,一般,,
2021/02/02,QCF,202109  ,-,-,-,-,-,-,0.0,33.1,0,-,-,-,-,,一般,,
2021/02/02,QCF,202112  ,-,-,-,-,-,-,0.0,33.2,0,-,-,-,-,,一般,,
2021/02/03,QCF,202102  ,-,-,-,-,-,-,0.0,32.55,2,-,-,33,31.25,,一般,,
2021/02/03,QCF,202103  ,32.6,32.6,32.6,32.6,-0.45,-1.36%,1.0,32.6,1,-,-,32.6,32.6,,一般,,
2021/02/03,QCF,202106  ,-,-,-,-,-,-,0.0,32.65,0,-,-,-,-,,一般,,
2021/02/03,QCF,202109  ,-,-,-,-,-,-,0.0,32.65,0,-,-,-,-,,一般,,
2021/02/03,QCF,202112  ,-,-,-,-,-,-,0.0,32.75,0,-,-,-,-,,一般,,
