交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/10/31,QE1,202211  ,330,364.5,330,364.5,31,9.30%,203.0,365.5,493,364.5,365,364.5,261.5,,一般,,
2022/10/31,QE1,202212  ,337,363,337,363,27.5,8.20%,4.0,365.5,31,-,365,459,269,,一般,,
2022/10/31,QE1,202303  ,-,-,-,-,-,-,0.0,365.5,2,-,-,316,275,,一般,,
2022/10/31,QE1,202211/202212    ,-,-,-,-,-,-,0.0,-,-,-,0.37,-,-,,一般,2.0,
2022/11/01,QE1,202211  ,366,380,361,379.5,14,3.83%,102.0,380,473,378.5,382.5,380,261.5,,一般,,
2022/11/01,QE1,202212  ,377.5,379,377.5,379,13.5,3.69%,6.0,379,27,375,383,459,269,,一般,,
2022/11/01,QE1,202303  ,-,-,-,-,-,-,0.0,380,2,-,-,316,275,,一般,,
2022/11/02,QE1,202211  ,374.5,383,373.5,381.5,1.5,0.39%,41.0,381.5,480,380,381.5,383,261.5,,一般,,
2022/11/02,QE1,202212  ,379,-,-,379,0,0.00%,1.0,380.5,28,380,382,459,269,,一般,,
2022/11/02,QE1,202303  ,-,-,-,-,-,-,0.0,381.5,2,-,-,316,275,,一般,,
2022/11/03,QE1,202211  ,373.5,391,373.5,388,6.5,1.70%,45.0,389.5,468,388.5,392,391,261.5,,一般,,
2022/11/03,QE1,202212  ,381.5,383,381.5,382.5,2,0.53%,5.0,390,23,387,391,459,269,,一般,,
2022/11/03,QE1,202303  ,-,-,-,-,-,-,0.0,389.5,2,-,-,316,275,,一般,,
2022/11/04,QE1,202211  ,386,393,382.5,389.5,0,0.00%,36.0,390,466,389,390,393,261.5,,一般,,
2022/11/04,QE1,202212  ,392.5,392.5,392.5,392.5,2.5,0.64%,24.0,389,47,388.5,390,459,269,,一般,,
2022/11/04,QE1,202303  ,-,-,-,-,-,-,0.0,390,2,-,-,316,275,,一般,,
2022/11/07,QE1,202211  ,390,390,381,381.5,-8.5,-2.18%,11.0,382.5,462,382,401,393,261.5,,一般,,
2022/11/07,QE1,202212  ,384,384,384,384,-5,-1.29%,2.0,382,49,381,400,459,269,,一般,,
2022/11/07,QE1,202303  ,-,-,-,-,-,-,0.0,382.5,2,-,-,316,275,,一般,,
2022/11/08,QE1,202211  ,386,396.5,386,393,10.5,2.75%,59.0,394,453,392,393,396.5,261.5,,一般,,
2022/11/08,QE1,202212  ,392,393.5,392,392,10,2.62%,6.0,394,49,391.5,393.5,459,269,,一般,,
2022/11/08,QE1,202303  ,-,-,-,-,-,-,0.0,394,2,-,-,316,275,,一般,,
2022/11/09,QE1,202211  ,398.5,423,398.5,421.5,27.5,6.98%,89.0,421.5,467,421,421.5,423,261.5,,一般,,
2022/11/09,QE1,202212  ,408,421.5,408,421.5,27.5,6.98%,17.0,421.5,55,421.5,-,459,269,,一般,,
2022/11/09,QE1,202303  ,-,-,-,-,-,-,0.0,421.5,2,416.5,-,316,275,,一般,,
