交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QFF,202102  ,593,612,589,612,23,3.90%,1574.0,611,765,611,612,612,589,,一般,,
2021/02/01,QFF,202103  ,594,611,588,611,23,3.91%,559.0,611,361,610,611,611,588,,一般,,
2021/02/01,QFF,202106  ,-,-,-,-,-,-,0.0,606,0,592,641,-,-,,一般,,
2021/02/01,QFF,202109  ,591,596,591,596,16,2.76%,3.0,601,2,597,637,596,591,,一般,,
2021/02/01,QFF,202112  ,-,-,-,-,-,-,0.0,597,0,600,633,-,-,,一般,,
2021/02/02,QFF,202102  ,618,638,618,632,21,3.44%,2016.0,632,1031,632,633,638,589,,一般,,
2021/02/02,QFF,202103  ,617,637,617,632,21,3.44%,964.0,632,633,631,632,637,588,,一般,,
2021/02/02,QFF,202106  ,630,662,630,631,25,4.13%,11.0,631,11,625,631,662,630,,一般,,
2021/02/02,QFF,202109  ,616,620,616,620,19,3.16%,2.0,623,4,625,630,620,591,,一般,,
2021/02/02,QFF,202112  ,624,625,624,625,28,4.69%,2.0,619,2,617,625,625,624,,一般,,
2021/02/03,QFF,202102  ,638,640,630,631,-1,-0.16%,1963.0,631,1323,631,632,640,589,,一般,,
2021/02/03,QFF,202103  ,636,640,629,630,-2,-0.32%,1536.0,630,1430,630,631,640,588,,一般,,
2021/02/03,QFF,202106  ,632,635,628,630,-1,-0.16%,26.0,625,34,626,630,662,628,,一般,,
2021/02/03,QFF,202109  ,621,636,621,624,1,0.16%,5.0,622,7,623,628,636,591,,一般,,
2021/02/03,QFF,202112  ,630,630,620,624,5,0.81%,9.0,618,11,618,624,630,620,,一般,,
2021/02/04,QFF,202102  ,630,631,619,628,-3,-0.48%,1938.0,627,1416,627,628,640,589,,一般,,
2021/02/04,QFF,202103  ,628,630,618,626,-4,-0.63%,1319.0,626,1975,625,627,640,588,,一般,,
2021/02/04,QFF,202106  ,620,627,618,621,-4,-0.64%,29.0,621,58,620,622,662,618,,一般,,
2021/02/04,QFF,202109  ,620,621,618,619,-3,-0.48%,8.0,617,15,616,621,636,591,,一般,,
2021/02/04,QFF,202112  ,617,620,614,614,-4,-0.65%,10.0,613,21,613,617,630,614,,一般,,
2021/02/05,QFF,202102  ,631,641,630,632,5,0.80%,2114.0,632,1161,631,633,641,589,,一般,,
2021/02/05,QFF,202103  ,630,639,629,631,5,0.80%,1857.0,631,2278,630,632,640,588,,一般,,
2021/02/05,QFF,202106  ,626,633,626,630,9,1.45%,23.0,626,69,627,630,662,618,,一般,,
2021/02/05,QFF,202109  ,621,630,621,623,6,0.97%,5.0,620,16,621,626,636,591,,一般,,
2021/02/05,QFF,202112  ,626,626,619,619,6,0.98%,13.0,617,32,618,623,630,614,,一般,,
