交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QGF,202102  ,452,468.5,450,468.5,17.5,3.88%,53.0,467,22,467,470,468.5,450,,一般,,
2021/02/01,QGF,202103  ,457,466,453,466,12.5,2.76%,16.0,466.5,7,464,467,466,453,,一般,,
2021/02/01,QGF,202106  ,-,-,-,-,-,-,0.0,464.5,0,434,486,-,-,,一般,,
2021/02/01,QGF,202109  ,-,-,-,-,-,-,0.0,465.5,0,435,487,-,-,,一般,,
2021/02/01,QGF,202112  ,-,-,-,-,-,-,0.0,466.5,0,430,486,-,-,,一般,,
2021/02/02,QGF,202102  ,474,486.5,467,483,16,3.43%,100.0,485,45,481,484,486.5,450,,一般,,
2021/02/02,QGF,202103  ,469,482,469,481,14.5,3.11%,29.0,481,14,481,483.5,482,453,,一般,,
2021/02/02,QGF,202106  ,-,-,-,-,-,-,0.0,482.5,0,447,509,-,-,,一般,,
2021/02/02,QGF,202109  ,-,-,-,-,-,-,0.0,483.5,0,447,506,-,-,,一般,,
2021/02/02,QGF,202112  ,-,-,-,-,-,-,0.0,484.5,0,443,507,-,-,,一般,,
2021/02/03,QGF,202102  ,490,505,489.5,498.5,13.5,2.78%,49.0,497,58,498.5,501,505,450,,一般,,
2021/02/03,QGF,202103  ,490,505,490,497,16,3.33%,29.0,497,33,497,500,505,453,,一般,,
2021/02/03,QGF,202106  ,-,-,-,-,-,-,0.0,494.5,0,481,526,-,-,,一般,,
2021/02/03,QGF,202109  ,-,-,-,-,-,-,0.0,495.5,0,465.5,522,-,-,,一般,,
2021/02/03,QGF,202112  ,-,-,-,-,-,-,0.0,496.5,0,461.5,523,-,-,,一般,,
2021/02/04,QGF,202102  ,497,497,478,480.5,-16.5,-3.32%,284.0,477.5,157,480,483.5,505,450,,一般,,
2021/02/04,QGF,202103  ,490.5,491,479,479.5,-17.5,-3.52%,169.0,477,127,479.5,483.5,505,453,,一般,,
2021/02/04,QGF,202106  ,-,-,-,-,-,-,0.0,474.5,0,447,518,-,-,,一般,,
2021/02/04,QGF,202109  ,-,-,-,-,-,-,0.0,476,0,448,520,-,-,,一般,,
2021/02/04,QGF,202112  ,-,-,-,-,-,-,0.0,477,0,449,521,-,-,,一般,,
2021/02/05,QGF,202102  ,482.5,505,482.5,500,22.5,4.71%,203.0,495.5,150,499,501,505,450,,一般,,
2021/02/05,QGF,202103  ,488,505,488,499,22,4.61%,146.0,494,141,499,500,505,453,,一般,,
2021/02/05,QGF,202106  ,-,-,-,-,-,-,0.0,492.5,0,459,-,-,-,,一般,,
2021/02/05,QGF,202109  ,-,-,-,-,-,-,0.0,494,0,460,521,-,-,,一般,,
2021/02/05,QGF,202112  ,-,-,-,-,-,-,0.0,495,0,456,522,-,-,,一般,,
2021/02/17,QGF,202102  ,509,526,507,511,15.5,3.13%,164.0,0,204,510,513,526,450,,一般,,
2021/02/17,QGF,202103  ,518,526,505,520,26,5.26%,200.0,519,227,518,521,526,453,,一般,,
2021/02/17,QGF,202106  ,-,-,-,-,-,-,0.0,515,0,462,533,-,-,,一般,,
2021/02/17,QGF,202109  ,-,-,-,-,-,-,0.0,512,0,464,535,-,-,,一般,,
2021/02/17,QGF,202112  ,-,-,-,-,-,-,0.0,511,0,464,533,-,-,,一般,,
2021/02/18,QGF,202103  ,510,515,504,512,-7,-1.35%,141.0,507,291,511,516,526,453,,一般,,
2021/02/18,QGF,202104  ,-,-,-,-,-,-,0.0,505,0,509,516,-,-,,一般,,
2021/02/18,QGF,202106  ,-,-,-,-,-,-,0.0,503,0,480,522,-,-,,一般,,
2021/02/18,QGF,202109  ,-,-,-,-,-,-,0.0,500,0,478,519,-,-,,一般,,
2021/02/18,QGF,202112  ,-,-,-,-,-,-,0.0,499,0,472,518,-,-,,一般,,
2021/02/19,QGF,202103  ,503,509,488,500,-7,-1.38%,169.0,500,375,495,500,526,453,,一般,,
2021/02/19,QGF,202104  ,-,-,-,-,-,-,0.0,493,0,493.5,501,-,-,,一般,,
2021/02/19,QGF,202106  ,-,-,-,-,-,-,0.0,496,0,465,532,-,-,,一般,,
2021/02/19,QGF,202109  ,-,-,-,-,-,-,0.0,493,0,462,529,-,-,,一般,,
