交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/02/01,QIF,202102  ,415,422.5,415,421,8,1.94%,23.0,420.5,15,422,449,422.5,415,,一般,,
2021/02/01,QIF,202103  ,418,418,417,417,5,1.21%,4.0,420.5,3,418.5,449,418,417,,一般,,
2021/02/01,QIF,202106  ,-,-,-,-,-,-,0.0,419.5,0,385,-,-,-,,一般,,
2021/02/01,QIF,202109  ,-,-,-,-,-,-,0.0,420.5,0,386,-,-,-,,一般,,
2021/02/01,QIF,202112  ,-,-,-,-,-,-,0.0,420.5,0,381,-,-,-,,一般,,
2021/02/02,QIF,202102  ,431,442,427,433,12.5,2.97%,91.0,435.5,44,436,436.5,442,415,,一般,,
2021/02/02,QIF,202103  ,436,439.5,432,432.5,12,2.85%,32.0,433,12,434,436.5,439.5,417,,一般,,
2021/02/02,QIF,202106  ,-,-,-,-,-,-,0.0,434.5,0,397,451.5,-,-,,一般,,
2021/02/02,QIF,202109  ,-,-,-,-,-,-,0.0,435.5,0,397,451.5,-,-,,一般,,
2021/02/02,QIF,202112  ,-,-,-,-,-,-,0.0,435.5,0,392,451.5,-,-,,一般,,
2021/02/03,QIF,202102  ,440.5,440.5,423,429,-6.5,-1.49%,106.0,427.5,89,427,429,442,415,,一般,,
2021/02/03,QIF,202103  ,438.5,440,423,423,-10,-2.31%,69.0,426.5,43,425.5,428.5,440,417,,一般,,
2021/02/03,QIF,202106  ,-,-,-,-,-,-,0.0,426.5,0,394,456,-,-,,一般,,
2021/02/03,QIF,202109  ,-,-,-,-,-,-,0.0,427.5,0,395,452,-,-,,一般,,
2021/02/03,QIF,202112  ,-,-,-,-,-,-,0.0,427.5,0,392,452,-,-,,一般,,
2021/02/04,QIF,202102  ,418,418,385,388.5,-39,-9.12%,627.0,388.5,243,388,392.5,442,385,,一般,,
2021/02/04,QIF,202103  ,421,421,384,388,-38.5,-9.03%,250.0,388,152,388,392.5,440,384,,一般,,
2021/02/04,QIF,202106  ,-,-,-,-,-,-,0.0,387.5,0,-,450.5,-,-,,一般,,
2021/02/04,QIF,202109  ,-,-,-,-,-,-,0.0,388.5,0,-,451.5,-,-,,一般,,
2021/02/04,QIF,202112  ,-,-,-,-,-,-,0.0,388.5,0,-,451.5,-,-,,一般,,
2021/02/05,QIF,202102  ,392,392,371,373,-15.5,-3.99%,332.0,373,317,373,374,442,371,,一般,,
2021/02/05,QIF,202103  ,390,393,371,372.5,-15.5,-3.99%,240.0,372.5,311,372.5,373.5,440,371,,一般,,
2021/02/05,QIF,202106  ,-,-,-,-,-,-,0.0,372,0,370,374,-,-,,一般,,
2021/02/05,QIF,202109  ,-,-,-,-,-,-,0.0,373,0,-,399,-,-,,一般,,
2021/02/05,QIF,202112  ,-,-,-,-,-,-,0.0,373,0,-,399,-,-,,一般,,
2021/02/17,QIF,202102  ,380,389.5,376,378,5,1.34%,270.0,0,290,377.5,378.5,442,371,,一般,,
2021/02/17,QIF,202103  ,380.5,388,375.5,384,11.5,3.09%,282.0,381,354,384,384.5,440,371,,一般,,
2021/02/17,QIF,202106  ,-,-,-,-,-,-,0.0,377,0,353,385,-,-,,一般,,
2021/02/17,QIF,202109  ,-,-,-,-,-,-,0.0,378,0,354,402.5,-,-,,一般,,
2021/02/17,QIF,202112  ,-,-,-,-,-,-,0.0,378,0,349,402.5,-,-,,一般,,
2021/02/18,QIF,202103  ,383,383.5,377.5,383.5,2.5,0.66%,207.0,382,420,382,383.5,440,371,,一般,,
2021/02/18,QIF,202104  ,380,382,380,382,2,0.53%,6.0,382,4,380.5,383.5,382,380,,一般,,
2021/02/18,QIF,202106  ,-,-,-,-,-,-,0.0,378,0,350,383.5,-,-,,一般,,
2021/02/18,QIF,202109  ,-,-,-,-,-,-,0.0,379,0,351,407.5,-,-,,一般,,
2021/02/18,QIF,202112  ,-,-,-,-,-,-,0.0,379,0,351,402.5,-,-,,一般,,
2021/02/19,QIF,202103  ,383.5,401.5,382.5,400,18,4.71%,441.0,399.5,443,399,400.5,440,371,,一般,,
2021/02/19,QIF,202104  ,387,400,387,399,17,4.45%,22.0,399,9,398,400,400,380,,一般,,
2021/02/19,QIF,202106  ,-,-,-,-,-,-,0.0,395.5,0,368,401,-,-,,一般,,
2021/02/19,QIF,202109  ,-,-,-,-,-,-,0.0,396.5,0,369,-,-,-,,一般,,
2021/02/19,QIF,202112  ,-,-,-,-,-,-,0.0,396.5,0,364,-,-,-,,一般,,
2021/02/22,QIF,202103  ,405,418.5,404.5,414.5,15,3.75%,495.0,414,430,414,414.5,440,371,,一般,,
2021/02/22,QIF,202104  ,405,416,405,411,12,3.01%,30.0,411,14,412.5,414.5,416,380,,一般,,
2021/02/22,QIF,202106  ,-,-,-,-,-,-,0.0,410,0,374,414.5,-,-,,一般,,
2021/02/22,QIF,202109  ,-,-,-,-,-,-,0.0,411,0,375,427.5,-,-,,一般,,
2021/02/22,QIF,202112  ,-,-,-,-,-,-,0.0,411,0,375,427.5,-,-,,一般,,
2021/02/23,QIF,202103  ,408,415.5,404,409,-5,-1.21%,308.0,409,452,408.5,410.5,440,371,,一般,,
2021/02/23,QIF,202104  ,413.5,414,405,407,-4,-0.97%,21.0,407,29,407,409,416,380,,一般,,
2021/02/23,QIF,202106  ,-,-,-,-,-,-,0.0,405,0,379.5,411,-,-,,一般,,
2021/02/23,QIF,202109  ,-,-,-,-,-,-,0.0,406,0,380.5,439,-,-,,一般,,
2021/02/23,QIF,202112  ,-,-,-,-,-,-,0.0,406,0,380.5,434,-,-,,一般,,
2021/02/24,QIF,202103  ,405,412,399,400,-9,-2.20%,306.0,400,459,399,400,440,371,,一般,,
2021/02/24,QIF,202104  ,405,410,399,399,-8,-1.97%,116.0,399,38,397.5,399.5,416,380,,一般,,
2021/02/24,QIF,202106  ,-,-,-,-,-,-,0.0,397.5,0,369,400,-,-,,一般,,
2021/02/24,QIF,202109  ,-,-,-,-,-,-,0.0,397,0,-,422,-,-,,一般,,
2021/02/24,QIF,202112  ,-,-,-,-,-,-,0.0,397,0,-,422,-,-,,一般,,
2021/02/25,QIF,202103  ,405,409,392.5,396,-4,-1.00%,285.0,395,530,394,396.5,440,371,,一般,,
2021/02/25,QIF,202104  ,404,408,391.5,392,-7,-1.75%,72.0,392,47,392,396,416,380,,一般,,
2021/02/25,QIF,202106  ,-,-,-,-,-,-,0.0,392.5,0,361,420.5,-,-,,一般,,
2021/02/25,QIF,202109  ,-,-,-,-,-,-,0.0,392,0,360,415.5,-,-,,一般,,
2021/02/25,QIF,202112  ,-,-,-,-,-,-,0.0,392,0,360,415.5,-,-,,一般,,
2021/02/26,QIF,202103  ,380.5,385.5,376.5,380,-15,-3.80%,227.0,380,516,379.5,381,440,371,,一般,,
2021/02/26,QIF,202104  ,380,381.5,376,381,-11,-2.81%,21.0,380,56,379,380.5,416,376,,一般,,
2021/02/26,QIF,202106  ,-,-,-,-,-,-,0.0,377.5,0,356.5,408,-,-,,一般,,
2021/02/26,QIF,202109  ,-,-,-,-,-,-,0.0,377,0,356.5,407,-,-,,一般,,
2021/02/26,QIF,202112  ,-,-,-,-,-,-,0.0,377,0,354.5,407,-,-,,一般,,
2021/02/01,QIF,202102/202103    ,-,-,-,-,-,-,0.0,-,-,-3.01,-0.49,-,-,,一般,2.0,
2021/02/02,QIF,202102/202103    ,-0.49,-0.49,-0.49,-0.49,-,-,2.0,-,-,-1.51,-0.49,-0.49,-0.49,,一般,14.0,
2021/02/03,QIF,202102/202103    ,-1.01,-1.01,-1.11,-1.11,-,-,2.0,-,-,-1.01,-0.49,-0.49,-1.11,,一般,29.0,
2021/02/04,QIF,202102/202103    ,-0.49,-0.49,-0.49,-0.49,-,-,1.0,-,-,-1.01,-0.49,-0.49,-1.11,,一般,110.0,
