交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/05/03,QKF,202105  ,36.9,37.1,36.65,36.8,-1.2,-3.16%,8.0,36.8,8,-,37.2,37.1,36.65,,一般,,
2021/05/03,QKF,202106  ,37.05,37.1,37.05,37.1,-0.95,-2.50%,2.0,37.1,2,-,37.1,37.1,37.05,,一般,,
2021/05/03,QKF,202109  ,-,-,-,-,-,-,0.0,36.9,0,-,-,-,-,,一般,,
2021/05/03,QKF,202112  ,-,-,-,-,-,-,0.0,37,0,-,-,-,-,,一般,,
2021/05/03,QKF,202203  ,-,-,-,-,-,-,0.0,37.05,0,-,-,-,-,,一般,,
2021/05/04,QKF,202105  ,33.15,35.85,33.15,34.8,-2,-5.43%,35.0,34.8,18,34.3,-,37.1,33.15,,一般,,
2021/05/04,QKF,202106  ,34.45,35.15,34.45,34.9,-2.2,-5.93%,10.0,34.9,8,34.2,-,37.1,34.45,,一般,,
2021/05/04,QKF,202109  ,-,-,-,-,-,-,0.0,34.9,0,-,-,-,-,,一般,,
2021/05/04,QKF,202112  ,-,-,-,-,-,-,0.0,35,0,-,-,-,-,,一般,,
2021/05/04,QKF,202203  ,-,-,-,-,-,-,0.0,35.05,0,-,-,-,-,,一般,,
2021/05/05,QKF,202105  ,34,36,34,36,1.2,3.45%,2.0,36,18,34.05,35.95,37.1,33.15,,一般,,
2021/05/05,QKF,202106  ,36.15,36.15,36.15,36.15,1.25,3.58%,1.0,36.15,8,34,35.9,37.1,34.45,,一般,,
2021/05/05,QKF,202109  ,-,-,-,-,-,-,0.0,36.1,0,31.65,37.9,-,-,,一般,,
2021/05/05,QKF,202112  ,-,-,-,-,-,-,0.0,36.2,0,-,38.1,-,-,,一般,,
2021/05/05,QKF,202203  ,-,-,-,-,-,-,0.0,36.25,0,-,38.1,-,-,,一般,,
2021/05/06,QKF,202105  ,36,36,35.5,35.5,-0.5,-1.39%,3.0,35.5,17,32.6,35.9,37.1,33.15,,一般,,
2021/05/06,QKF,202106  ,35.35,35.35,35.35,35.35,-0.8,-2.21%,1.0,35.35,9,32.6,35.9,37.1,34.45,,一般,,
2021/05/06,QKF,202109  ,-,-,-,-,-,-,0.0,35.6,0,-,38.2,-,-,,一般,,
2021/05/06,QKF,202112  ,-,-,-,-,-,-,0.0,35.7,0,-,38.3,-,-,,一般,,
2021/05/06,QKF,202203  ,-,-,-,-,-,-,0.0,35.75,0,-,38.4,-,-,,一般,,
2021/05/07,QKF,202105  ,35.15,35.7,34.6,35.7,0.2,0.56%,28.0,35.7,16,35.25,38.7,37.1,33.15,,一般,,
2021/05/07,QKF,202106  ,34.7,35.65,34.6,35.65,0.3,0.85%,19.0,35.65,9,35.2,38.7,37.1,34.45,,一般,,
2021/05/07,QKF,202109  ,-,-,-,-,-,-,0.0,35.8,0,32.95,-,-,-,,一般,,
