交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/10/11,QO1,202210  ,-,-,-,-,-,-,0.0,29.9,121,28.2,30,34.25,30,,一般,,
2022/10/11,QO1,202211  ,-,-,-,-,-,-,0.0,30.1,2,-,-,33,32.2,,一般,,
2022/10/11,QO1,202212  ,-,-,-,-,-,-,0.0,30.2,5,-,-,34.45,33.2,,一般,,
2022/10/12,QO1,202210  ,29.95,30.45,29.55,30.45,0.55,1.84%,7.0,30.8,125,29.3,31.05,34.25,29.55,,一般,,
2022/10/12,QO1,202211  ,-,-,-,-,-,-,0.0,31,2,29.25,31.1,33,32.2,,一般,,
2022/10/12,QO1,202212  ,-,-,-,-,-,-,0.0,31.1,5,-,-,34.45,33.2,,一般,,
2022/10/13,QO1,202210  ,-,-,-,-,-,-,0.0,29.5,125,-,30,34.25,29.55,,一般,,
2022/10/13,QO1,202211  ,-,-,-,-,-,-,0.0,29.7,2,-,30,33,32.2,,一般,,
2022/10/13,QO1,202212  ,-,-,-,-,-,-,0.0,29.8,5,-,-,34.45,33.2,,一般,,
2022/10/14,QO1,202210  ,-,-,-,-,-,-,0.0,29.9,125,28.55,30.2,34.25,29.55,,一般,,
2022/10/14,QO1,202211  ,-,-,-,-,-,-,0.0,30.1,2,28.5,30.25,33,32.2,,一般,,
2022/10/14,QO1,202212  ,-,-,-,-,-,-,0.0,30.2,5,-,-,34.45,33.2,,一般,,
2022/10/17,QO1,202210  ,29.15,29.5,29.15,29.5,-0.4,-1.34%,3.0,29.7,124,28.95,30.5,34.25,29.15,,一般,,
2022/10/17,QO1,202211  ,-,-,-,-,-,-,0.0,29.9,2,28.9,30.55,33,32.2,,一般,,
2022/10/17,QO1,202212  ,-,-,-,-,-,-,0.0,30,5,-,-,34.45,33.2,,一般,,
2022/10/18,QO1,202210  ,30.35,30.5,30.35,30.5,0.8,2.69%,14.0,30.55,114,29.7,30.8,34.25,29.15,,一般,,
2022/10/18,QO1,202211  ,29.9,-,-,29.9,0,0.00%,10.0,30.75,12,29.4,30.75,33,32.2,,一般,,
2022/10/18,QO1,202212  ,-,-,-,-,-,-,0.0,30.85,5,-,-,34.45,33.2,,一般,,
2022/10/19,QO1,202210  ,30.65,30.65,30.65,30.65,0.1,0.33%,2.0,0,112,30.6,30.7,34.25,29.15,,一般,,
2022/10/19,QO1,202211  ,30.65,30.65,30.65,30.65,-0.1,-0.33%,2.0,30.65,14,27.75,33.75,33,30.65,,一般,,
2022/10/19,QO1,202212  ,-,-,-,-,-,-,0.0,30.75,5,-,-,34.45,33.2,,一般,,
2022/10/20,QO1,202211  ,-,-,-,-,-,-,0.0,31,14,28.2,33.65,33,30.65,,一般,,
2022/10/20,QO1,202212  ,-,-,-,-,-,-,0.0,31.1,5,-,33.75,34.45,33.2,,一般,,
2022/10/21,QO1,202211  ,-,-,-,-,-,-,0.0,29.95,14,-,-,33,30.65,,一般,,
2022/10/21,QO1,202212  ,-,-,-,-,-,-,0.0,30.05,5,-,-,34.45,33.2,,一般,,
2022/10/24,QO1,202211  ,-,-,-,-,-,-,0.0,29.95,14,27.05,32.85,33,30.65,,一般,,
2022/10/24,QO1,202212  ,-,-,-,-,-,-,0.0,30.05,5,-,-,34.45,33.2,,一般,,
2022/10/25,QO1,202211  ,-,-,-,-,-,-,0.0,29.95,14,-,-,33,30.65,,一般,,
2022/10/25,QO1,202212  ,-,-,-,-,-,-,0.0,30,5,-,-,34.45,33.2,,一般,,
2022/10/26,QO1,202211  ,-,-,-,-,-,-,0.0,30.5,14,27,30.7,33,30.65,,一般,,
2022/10/26,QO1,202212  ,-,-,-,-,-,-,0.0,30.55,5,-,-,34.45,33.2,,一般,,
2022/10/27,QO1,202211  ,-,-,-,-,-,-,0.0,30.7,14,27.5,31,33,30.65,,一般,,
2022/10/27,QO1,202212  ,-,-,-,-,-,-,0.0,30.75,5,-,31.1,34.45,33.2,,一般,,
2022/10/28,QO1,202211  ,-,-,-,-,-,-,0.0,29.9,14,-,-,33,30.65,,一般,,
2022/10/28,QO1,202212  ,-,-,-,-,-,-,0.0,29.85,5,-,-,34.45,33.2,,一般,,
2022/10/31,QO1,202211  ,-,-,-,-,-,-,0.0,29.9,14,-,-,33,30.65,,一般,,
2022/10/31,QO1,202212  ,-,-,-,-,-,-,0.0,29.85,5,-,-,34.45,33.2,,一般,,
2022/10/18,QO1,202210/202211    ,0,0,0,0,-,-,10.0,-,-,-0.3,-0.05,0,0,,一般,0.0,
2022/10/19,QO1,202210/202211    ,0,0,0,0,-,-,1.0,-,-,-,-,0,0,,一般,1.0,
2022/11/01,QO1,202211  ,-,-,-,-,-,-,0.0,30.1,14,-,-,33,30.65,,一般,,
2022/11/01,QO1,202212  ,-,-,-,-,-,-,0.0,30,5,-,-,34.45,33.2,,一般,,
