交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/08/02,QPF,202108  ,-,-,-,-,-,-,0.0,42.05,0,38,-,-,-,,一般,,
2021/08/02,QPF,202109  ,-,-,-,-,-,-,0.0,42,0,-,-,-,-,,一般,,
2021/08/02,QPF,202112  ,-,-,-,-,-,-,0.0,42.15,0,-,-,-,-,,一般,,
2021/08/02,QPF,202203  ,-,-,-,-,-,-,0.0,42.2,0,-,-,-,-,,一般,,
2021/08/02,QPF,202206  ,-,-,-,-,-,-,0.0,42.3,0,-,-,-,-,,一般,,
2021/08/03,QPF,202108  ,41.5,41.5,41.5,41.5,-0.55,-1.31%,1.0,41.5,1,41.15,-,41.5,41.5,,一般,,
2021/08/03,QPF,202109  ,-,-,-,-,-,-,0.0,41.45,0,41,-,-,-,,一般,,
2021/08/03,QPF,202112  ,-,-,-,-,-,-,0.0,41.6,0,40.7,-,-,-,,一般,,
2021/08/03,QPF,202203  ,-,-,-,-,-,-,0.0,41.65,0,40.05,-,-,-,,一般,,
2021/08/03,QPF,202206  ,-,-,-,-,-,-,0.0,41.75,0,-,-,-,-,,一般,,
2021/08/04,QPF,202108  ,-,-,-,-,-,-,0.0,41.9,1,41.8,-,41.5,41.5,,一般,,
2021/08/04,QPF,202109  ,-,-,-,-,-,-,0.0,41.85,0,41.65,-,-,-,,一般,,
2021/08/04,QPF,202112  ,-,-,-,-,-,-,0.0,42,0,41.35,-,-,-,,一般,,
2021/08/04,QPF,202203  ,-,-,-,-,-,-,0.0,42.05,0,-,-,-,-,,一般,,
2021/08/04,QPF,202206  ,-,-,-,-,-,-,0.0,42.15,0,-,-,-,-,,一般,,
2021/08/05,QPF,202108  ,-,-,-,-,-,-,0.0,41.75,1,41.65,-,41.5,41.5,,一般,,
2021/08/05,QPF,202109  ,-,-,-,-,-,-,0.0,41.7,0,41.7,-,-,-,,一般,,
2021/08/05,QPF,202112  ,-,-,-,-,-,-,0.0,41.85,0,41.3,-,-,-,,一般,,
2021/08/05,QPF,202203  ,-,-,-,-,-,-,0.0,41.9,0,-,-,-,-,,一般,,
2021/08/05,QPF,202206  ,-,-,-,-,-,-,0.0,42,0,-,-,-,-,,一般,,
2021/08/06,QPF,202108  ,-,-,-,-,-,-,0.0,41.75,1,41.4,-,41.5,41.5,,一般,,
2021/08/06,QPF,202109  ,-,-,-,-,-,-,0.0,41.7,0,41.45,-,-,-,,一般,,
2021/08/06,QPF,202112  ,-,-,-,-,-,-,0.0,41.85,0,41.05,-,-,-,,一般,,
2021/08/06,QPF,202203  ,-,-,-,-,-,-,0.0,41.9,0,-,-,-,-,,一般,,
2021/08/06,QPF,202206  ,-,-,-,-,-,-,0.0,42,0,-,-,-,-,,一般,,
2021/08/09,QPF,202108  ,-,-,-,-,-,-,0.0,42.1,1,-,42.3,41.5,41.5,,一般,,
2021/08/09,QPF,202109  ,-,-,-,-,-,-,0.0,42.05,0,-,42.35,-,-,,一般,,
2021/08/09,QPF,202112  ,-,-,-,-,-,-,0.0,42.2,0,-,42.35,-,-,,一般,,
2021/08/09,QPF,202203  ,-,-,-,-,-,-,0.0,42.25,0,-,-,-,-,,一般,,
2021/08/09,QPF,202206  ,-,-,-,-,-,-,0.0,42.35,0,-,-,-,-,,一般,,
2021/08/10,QPF,202108  ,-,-,-,-,-,-,0.0,41.55,1,41.35,-,41.5,41.5,,一般,,
2021/08/10,QPF,202109  ,-,-,-,-,-,-,0.0,41.5,0,41.4,-,-,-,,一般,,
2021/08/10,QPF,202112  ,-,-,-,-,-,-,0.0,41.65,0,41,-,-,-,,一般,,
2021/08/10,QPF,202203  ,-,-,-,-,-,-,0.0,41.7,0,-,-,-,-,,一般,,
2021/08/10,QPF,202206  ,-,-,-,-,-,-,0.0,41.8,0,-,-,-,-,,一般,,
2021/08/11,QPF,202108  ,-,-,-,-,-,-,0.0,40.85,1,-,-,41.5,41.5,,一般,,
2021/08/11,QPF,202109  ,-,-,-,-,-,-,0.0,40.8,0,-,-,-,-,,一般,,
2021/08/11,QPF,202112  ,-,-,-,-,-,-,0.0,40.95,0,-,-,-,-,,一般,,
2021/08/11,QPF,202203  ,-,-,-,-,-,-,0.0,41,0,-,-,-,-,,一般,,
2021/08/11,QPF,202206  ,-,-,-,-,-,-,0.0,41.1,0,-,-,-,-,,一般,,
2021/08/12,QPF,202108  ,-,-,-,-,-,-,0.0,40.85,1,38.6,-,41.5,41.5,,一般,,
2021/08/12,QPF,202109  ,-,-,-,-,-,-,0.0,40.8,0,38.65,-,-,-,,一般,,
2021/08/12,QPF,202112  ,-,-,-,-,-,-,0.0,40.95,0,38.25,-,-,-,,一般,,
2021/08/12,QPF,202203  ,-,-,-,-,-,-,0.0,41,0,-,-,-,-,,一般,,
2021/08/12,QPF,202206  ,-,-,-,-,-,-,0.0,41.1,0,-,-,-,-,,一般,,
2021/08/13,QPF,202108  ,-,-,-,-,-,-,0.0,40.6,1,38.6,-,41.5,41.5,,一般,,
2021/08/13,QPF,202109  ,-,-,-,-,-,-,0.0,40.55,0,38.65,-,-,-,,一般,,
2021/08/13,QPF,202112  ,-,-,-,-,-,-,0.0,40.7,0,38.25,-,-,-,,一般,,
2021/08/13,QPF,202203  ,-,-,-,-,-,-,0.0,40.75,0,-,-,-,-,,一般,,
2021/08/13,QPF,202206  ,-,-,-,-,-,-,0.0,40.85,0,-,-,-,-,,一般,,
2021/08/16,QPF,202108  ,-,-,-,-,-,-,0.0,39.3,1,38.8,39.8,41.5,41.5,,一般,,
2021/08/16,QPF,202109  ,-,-,-,-,-,-,0.0,39.25,0,38,40.6,-,-,,一般,,
2021/08/16,QPF,202112  ,-,-,-,-,-,-,0.0,39.4,0,38.35,39.85,-,-,,一般,,
2021/08/16,QPF,202203  ,-,-,-,-,-,-,0.0,39.45,0,-,-,-,-,,一般,,
2021/08/16,QPF,202206  ,-,-,-,-,-,-,0.0,39.55,0,-,-,-,-,,一般,,
2021/08/17,QPF,202108  ,-,-,-,-,-,-,0.0,36.5,1,35,-,41.5,41.5,,一般,,
2021/08/17,QPF,202109  ,-,-,-,-,-,-,0.0,36.45,0,34.2,-,-,-,,一般,,
2021/08/17,QPF,202112  ,-,-,-,-,-,-,0.0,36.6,0,-,-,-,-,,一般,,
2021/08/17,QPF,202203  ,-,-,-,-,-,-,0.0,36.65,0,-,-,-,-,,一般,,
2021/08/17,QPF,202206  ,-,-,-,-,-,-,0.0,36.75,0,-,-,-,-,,一般,,
2021/08/18,QPF,202108  ,-,-,-,-,-,-,0.0,0,1,36.85,37.05,41.5,41.5,,一般,,
2021/08/18,QPF,202109  ,-,-,-,-,-,-,0.0,36.9,0,-,-,-,-,,一般,,
2021/08/18,QPF,202112  ,-,-,-,-,-,-,0.0,37.05,0,-,-,-,-,,一般,,
2021/08/18,QPF,202203  ,-,-,-,-,-,-,0.0,37.1,0,-,-,-,-,,一般,,
2021/08/18,QPF,202206  ,-,-,-,-,-,-,0.0,37.2,0,-,-,-,-,,一般,,
2021/08/19,QPF,202109  ,-,-,-,-,-,-,0.0,35.95,0,34.5,-,-,-,,一般,,
2021/08/19,QPF,202110  ,-,-,-,-,-,-,0.0,35.75,0,34.35,-,-,-,,一般,,
2021/08/19,QPF,202112  ,-,-,-,-,-,-,0.0,36.1,0,-,-,-,-,,一般,,
2021/08/19,QPF,202203  ,-,-,-,-,-,-,0.0,36.15,0,-,-,-,-,,一般,,
2021/08/19,QPF,202206  ,-,-,-,-,-,-,0.0,36.25,0,-,-,-,-,,一般,,
2021/08/20,QPF,202109  ,-,-,-,-,-,-,0.0,36.2,0,-,-,-,-,,一般,,
2021/08/20,QPF,202110  ,-,-,-,-,-,-,0.0,36,0,-,-,-,-,,一般,,
2021/08/20,QPF,202112  ,-,-,-,-,-,-,0.0,36.35,0,-,-,-,-,,一般,,
2021/08/20,QPF,202203  ,-,-,-,-,-,-,0.0,36.4,0,-,-,-,-,,一般,,
2021/08/20,QPF,202206  ,-,-,-,-,-,-,0.0,36.5,0,-,-,-,-,,一般,,
2021/08/23,QPF,202109  ,-,-,-,-,-,-,0.0,36.8,0,-,-,-,-,,一般,,
2021/08/23,QPF,202110  ,-,-,-,-,-,-,0.0,36.6,0,-,-,-,-,,一般,,
2021/08/23,QPF,202112  ,-,-,-,-,-,-,0.0,36.95,0,-,-,-,-,,一般,,
2021/08/23,QPF,202203  ,-,-,-,-,-,-,0.0,37,0,-,-,-,-,,一般,,
2021/08/23,QPF,202206  ,-,-,-,-,-,-,0.0,37.1,0,-,-,-,-,,一般,,
