交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/11/01,QTF,202111  ,-,-,-,-,-,-,0.0,79.9,0,-,-,-,-,,一般,,
2021/11/01,QTF,202112  ,-,-,-,-,-,-,0.0,80,0,-,-,-,-,,一般,,
2021/11/01,QTF,202203  ,-,-,-,-,-,-,0.0,80.2,0,-,-,-,-,,一般,,
2021/11/01,QTF,202206  ,-,-,-,-,-,-,0.0,80.3,0,-,-,-,-,,一般,,
2021/11/01,QTF,202209  ,-,-,-,-,-,-,0.0,80.4,0,-,-,-,-,,一般,,
2021/11/02,QTF,202111  ,-,-,-,-,-,-,0.0,77.9,0,-,-,-,-,,一般,,
2021/11/02,QTF,202112  ,-,-,-,-,-,-,0.0,78,0,-,-,-,-,,一般,,
2021/11/02,QTF,202203  ,-,-,-,-,-,-,0.0,78.2,0,-,-,-,-,,一般,,
2021/11/02,QTF,202206  ,-,-,-,-,-,-,0.0,78.3,0,-,-,-,-,,一般,,
2021/11/02,QTF,202209  ,-,-,-,-,-,-,0.0,78.4,0,-,-,-,-,,一般,,
2021/11/03,QTF,202111  ,-,-,-,-,-,-,0.0,77.3,0,-,-,-,-,,一般,,
2021/11/03,QTF,202112  ,-,-,-,-,-,-,0.0,77.4,0,-,-,-,-,,一般,,
2021/11/03,QTF,202203  ,-,-,-,-,-,-,0.0,77.6,0,-,-,-,-,,一般,,
2021/11/03,QTF,202206  ,-,-,-,-,-,-,0.0,77.7,0,-,-,-,-,,一般,,
2021/11/03,QTF,202209  ,-,-,-,-,-,-,0.0,77.8,0,-,-,-,-,,一般,,
2021/11/04,QTF,202111  ,78.7,78.7,78.6,78.6,1.3,1.68%,13.0,78.6,11,78.2,84.6,78.7,78.6,,一般,,
2021/11/04,QTF,202112  ,-,-,-,-,-,-,0.0,78.7,0,77.9,84.7,-,-,,一般,,
2021/11/04,QTF,202203  ,-,-,-,-,-,-,0.0,78.9,0,76.2,-,-,-,,一般,,
2021/11/04,QTF,202206  ,-,-,-,-,-,-,0.0,79,0,-,-,-,-,,一般,,
2021/11/04,QTF,202209  ,-,-,-,-,-,-,0.0,79.1,0,-,-,-,-,,一般,,
2021/11/05,QTF,202111  ,-,-,-,-,-,-,0.0,78,11,77.6,-,78.7,78.6,,一般,,
2021/11/05,QTF,202112  ,-,-,-,-,-,-,0.0,78.1,0,77.3,-,-,-,,一般,,
2021/11/05,QTF,202203  ,-,-,-,-,-,-,0.0,78.3,0,75.6,-,-,-,,一般,,
2021/11/05,QTF,202206  ,-,-,-,-,-,-,0.0,78.4,0,-,-,-,-,,一般,,
2021/11/05,QTF,202209  ,-,-,-,-,-,-,0.0,78.5,0,-,-,-,-,,一般,,
2021/11/08,QTF,202111  ,79.2,79.2,79.1,79.1,1.1,1.41%,2.0,79.1,12,-,-,79.2,78.6,,一般,,
2021/11/08,QTF,202112  ,-,-,-,-,-,-,0.0,79.2,0,-,-,-,-,,一般,,
2021/11/08,QTF,202203  ,-,-,-,-,-,-,0.0,79.4,0,-,-,-,-,,一般,,
2021/11/08,QTF,202206  ,-,-,-,-,-,-,0.0,79.5,0,-,-,-,-,,一般,,
2021/11/08,QTF,202209  ,-,-,-,-,-,-,0.0,79.6,0,-,-,-,-,,一般,,
2021/11/09,QTF,202111  ,-,-,-,-,-,-,0.0,80,12,79.1,-,79.2,78.6,,一般,,
2021/11/09,QTF,202112  ,-,-,-,-,-,-,0.0,80.1,0,79.1,-,-,-,,一般,,
2021/11/09,QTF,202203  ,-,-,-,-,-,-,0.0,80.3,0,-,-,-,-,,一般,,
2021/11/09,QTF,202206  ,-,-,-,-,-,-,0.0,80.4,0,-,-,-,-,,一般,,
2021/11/09,QTF,202209  ,-,-,-,-,-,-,0.0,80.5,0,-,-,-,-,,一般,,
2021/11/10,QTF,202111  ,-,-,-,-,-,-,0.0,81.3,12,-,-,79.2,78.6,,一般,,
2021/11/10,QTF,202112  ,-,-,-,-,-,-,0.0,81.4,0,-,-,-,-,,一般,,
2021/11/10,QTF,202203  ,-,-,-,-,-,-,0.0,81.6,0,-,-,-,-,,一般,,
2021/11/10,QTF,202206  ,-,-,-,-,-,-,0.0,81.7,0,-,-,-,-,,一般,,
2021/11/10,QTF,202209  ,-,-,-,-,-,-,0.0,81.8,0,-,-,-,-,,一般,,
2021/11/11,QTF,202111  ,-,-,-,-,-,-,0.0,80.6,12,-,-,79.2,78.6,,一般,,
2021/11/11,QTF,202112  ,80.5,80.5,80.5,80.5,-0.9,-1.11%,1.0,80.5,1,-,-,80.5,80.5,,一般,,
2021/11/11,QTF,202203  ,-,-,-,-,-,-,0.0,80.9,0,-,-,-,-,,一般,,
2021/11/11,QTF,202206  ,-,-,-,-,-,-,0.0,81,0,-,-,-,-,,一般,,
2021/11/11,QTF,202209  ,-,-,-,-,-,-,0.0,81.1,0,-,-,-,-,,一般,,
2021/11/12,QTF,202111  ,-,-,-,-,-,-,0.0,79.4,12,78.9,-,79.2,78.6,,一般,,
2021/11/12,QTF,202112  ,80.4,80.4,80.1,80.1,-0.4,-0.50%,2.0,79.3,3,78.9,-,80.5,80.1,,一般,,
2021/11/12,QTF,202203  ,-,-,-,-,-,-,0.0,79.7,0,-,-,-,-,,一般,,
2021/11/12,QTF,202206  ,-,-,-,-,-,-,0.0,79.8,0,-,-,-,-,,一般,,
2021/11/12,QTF,202209  ,-,-,-,-,-,-,0.0,79.9,0,-,-,-,-,,一般,,
2021/11/15,QTF,202111  ,80.5,80.5,80.5,80.5,1.1,1.39%,5.0,80.5,17,-,-,80.5,78.6,,一般,,
2021/11/15,QTF,202112  ,-,-,-,-,-,-,0.0,80.4,3,-,-,80.5,80.1,,一般,,
2021/11/15,QTF,202203  ,-,-,-,-,-,-,0.0,80.8,0,-,-,-,-,,一般,,
2021/11/15,QTF,202206  ,-,-,-,-,-,-,0.0,80.9,0,-,-,-,-,,一般,,
2021/11/15,QTF,202209  ,-,-,-,-,-,-,0.0,81,0,-,-,-,-,,一般,,
2021/11/16,QTF,202111  ,80.5,-,-,80.5,0,0.00%,12.0,80.5,5,-,-,80.5,78.6,,一般,,
2021/11/16,QTF,202112  ,81.1,81.1,80.7,80.7,0.3,0.37%,17.0,80.7,17,-,-,81.1,80.1,,一般,,
2021/11/16,QTF,202203  ,-,-,-,-,-,-,0.0,80.8,0,-,-,-,-,,一般,,
2021/11/16,QTF,202206  ,-,-,-,-,-,-,0.0,80.9,0,-,-,-,-,,一般,,
2021/11/16,QTF,202209  ,-,-,-,-,-,-,0.0,81,0,-,-,-,-,,一般,,
2021/11/17,QTF,202111  ,81.8,81.8,81.8,81.8,1.3,1.61%,5.0,0,5,81.6,82.1,81.8,78.6,,一般,,
2021/11/17,QTF,202112  ,82,82,82,82,1.3,1.61%,1.0,82,18,81.8,-,82,80.1,,一般,,
2021/11/17,QTF,202203  ,-,-,-,-,-,-,0.0,82.1,0,79.8,-,-,-,,一般,,
2021/11/17,QTF,202206  ,-,-,-,-,-,-,0.0,82.2,0,79.8,-,-,-,,一般,,
2021/11/17,QTF,202209  ,-,-,-,-,-,-,0.0,82.3,0,79.8,-,-,-,,一般,,
2021/11/18,QTF,202112  ,83.7,84,81.8,81.8,-0.2,-0.24%,11.0,81.8,26,81.8,-,84,80.1,,一般,,
