交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/04/27,QXF,202205  ,137.5,145,137.5,144.5,-0.5,-0.34%,216.0,144.5,132,143,144.5,145,137.5,,一般,,
2022/04/27,QXF,202206  ,142,142.5,142,142,-3,-2.07%,5.0,143.5,5,142.5,144.5,142.5,142,,一般,,
2022/04/27,QXF,202209  ,-,-,-,-,-,-,0.0,145,0,142,144,-,-,,一般,,
2022/04/27,QXF,202212  ,-,-,-,-,-,-,0.0,145.5,0,141.5,143.5,-,-,,一般,,
2022/04/27,QXF,202303  ,-,-,-,-,-,-,0.0,146,0,140.5,143,-,-,,一般,,
2022/04/28,QXF,202205  ,148,148,141,141,-3.5,-2.42%,144.0,141,154,140.5,141,148,137.5,,一般,,
2022/04/28,QXF,202206  ,144,144,141,141,-2.5,-1.74%,21.0,141,10,140.5,141,144,141,,一般,,
2022/04/28,QXF,202209  ,-,-,-,-,-,-,0.0,141.5,0,139.5,141,-,-,,一般,,
2022/04/28,QXF,202212  ,-,-,-,-,-,-,0.0,142,0,139,140,-,-,,一般,,
2022/04/28,QXF,202303  ,-,-,-,-,-,-,0.0,142.5,0,138.5,140,-,-,,一般,,
2022/04/29,QXF,202205  ,144,148,143.5,146,5,3.55%,407.0,146,305,146,146.5,148,137.5,,一般,,
2022/04/29,QXF,202206  ,147.5,148,145.5,146,5,3.55%,4.0,146,12,145.5,146.5,148,141,,一般,,
2022/04/29,QXF,202209  ,-,-,-,-,-,-,0.0,146.5,0,145,146.5,-,-,,一般,,
2022/04/29,QXF,202212  ,-,-,-,-,-,-,0.0,147,0,144.5,145.5,-,-,,一般,,
2022/04/29,QXF,202303  ,-,-,-,-,-,-,0.0,147.5,0,143.5,145.5,-,-,,一般,,
2022/04/27,QXF,202205/202206    ,-,-,-,-,-,-,0.0,-,-,-0.12,-0.11,-,-,,一般,5.0,
2022/04/28,QXF,202205/202206    ,-0.13,-0.11,-0.22,-0.19,-,-,11.0,-,-,-0.2,-0.19,-0.11,-0.22,,一般,6.0,
2022/04/29,QXF,202205/202206    ,-,-,-,-,-,-,0.0,-,-,-0.19,-0.18,-0.11,-0.22,,一般,4.0,
2022/05/03,QXF,202205  ,145,146,142,145.5,-0.5,-0.34%,303.0,145.5,323,145.5,146,148,137.5,,一般,,
2022/05/03,QXF,202206  ,145,145,142.5,145,-1,-0.68%,11.0,145,17,145,146,148,141,,一般,,
2022/05/03,QXF,202209  ,-,-,-,-,-,-,0.0,146,0,144.5,146,-,-,,一般,,
2022/05/03,QXF,202212  ,-,-,-,-,-,-,0.0,146.5,0,144,145,-,-,,一般,,
2022/05/03,QXF,202303  ,-,-,-,-,-,-,0.0,147,0,143,145,-,-,,一般,,
2022/05/04,QXF,202205  ,148,151,147.5,148,2.5,1.72%,174.0,148,352,148,148.5,151,137.5,,一般,,
2022/05/04,QXF,202206  ,148,148,147.5,147.5,2.5,1.72%,19.0,147.5,17,147.5,148.5,148,141,,一般,,
2022/05/04,QXF,202209  ,-,-,-,-,-,-,0.0,148.5,0,147,148.5,-,-,,一般,,
2022/05/04,QXF,202212  ,-,-,-,-,-,-,0.0,149,0,146.5,147.5,-,-,,一般,,
2022/05/04,QXF,202303  ,-,-,-,-,-,-,0.0,149.5,0,145.5,147.5,-,-,,一般,,
2022/05/05,QXF,202205  ,151,154.5,149,153.5,5.5,3.72%,397.0,153.5,404,153,153.5,154.5,137.5,,一般,,
2022/05/05,QXF,202206  ,150.5,153.5,150.5,153,5.5,3.73%,29.0,153,36,152.5,153.5,153.5,141,,一般,,
2022/05/05,QXF,202209  ,-,-,-,-,-,-,0.0,154,0,152,153.5,-,-,,一般,,
2022/05/05,QXF,202212  ,-,-,-,-,-,-,0.0,154.5,0,151.5,152.5,-,-,,一般,,
2022/05/05,QXF,202303  ,-,-,-,-,-,-,0.0,155,0,150.5,152.5,-,-,,一般,,
2022/05/06,QXF,202205  ,150,153.5,145.5,151.5,-2,-1.30%,296.0,151.5,400,151,151.5,154.5,137.5,,一般,,
2022/05/06,QXF,202206  ,147.5,151.5,147.5,151.5,-1.5,-0.98%,37.0,151.5,37,150.5,151.5,153.5,141,,一般,,
2022/05/06,QXF,202209  ,-,-,-,-,-,-,0.0,152,0,150,151.5,-,-,,一般,,
2022/05/06,QXF,202212  ,-,-,-,-,-,-,0.0,152.5,0,149.5,150.5,-,-,,一般,,
2022/05/06,QXF,202303  ,-,-,-,-,-,-,0.0,153,0,148.5,150.5,-,-,,一般,,
2022/05/09,QXF,202205  ,152,152.5,146.5,146.5,-5,-3.30%,244.0,146.5,459,146.5,147,154.5,137.5,,一般,,
2022/05/09,QXF,202206  ,149,149.5,148.5,149,-2.5,-1.65%,22.0,146.5,48,146,147,153.5,141,,一般,,
2022/05/09,QXF,202209  ,-,-,-,-,-,-,0.0,147,0,145.5,147,-,-,,一般,,
2022/05/09,QXF,202212  ,-,-,-,-,-,-,0.0,147.5,0,145,146,-,-,,一般,,
2022/05/09,QXF,202303  ,-,-,-,-,-,-,0.0,148,0,144,146,-,-,,一般,,
2022/05/10,QXF,202205  ,144.5,152.5,141.5,152,5.5,3.75%,441.0,152,667,151.5,152,154.5,137.5,,一般,,
2022/05/10,QXF,202206  ,147,152.5,147,152,5.5,3.75%,21.0,152,56,151,152,153.5,141,,一般,,
2022/05/10,QXF,202209  ,-,-,-,-,-,-,0.0,152,0,150.5,152,-,-,,一般,,
2022/05/10,QXF,202212  ,-,-,-,-,-,-,0.0,151,0,150,151,-,-,,一般,,
2022/05/10,QXF,202303  ,-,-,-,-,-,-,0.0,151,0,149,151,-,-,,一般,,
2022/05/11,QXF,202205  ,151,152.5,149.5,151,-1,-0.66%,227.0,151,725,150.5,151,154.5,137.5,,一般,,
2022/05/11,QXF,202206  ,149.5,152.5,149.5,152.5,0.5,0.33%,66.0,150.5,71,150,151,153.5,141,,一般,,
2022/05/11,QXF,202209  ,-,-,-,-,-,-,0.0,151,0,149.5,151,-,-,,一般,,
2022/05/11,QXF,202212  ,-,-,-,-,-,-,0.0,150,0,149,150,-,-,,一般,,
2022/05/11,QXF,202303  ,-,-,-,-,-,-,0.0,150,0,148,150,-,-,,一般,,
2022/05/12,QXF,202205  ,151,153.5,146,147.5,-3.5,-2.32%,255.0,147.5,745,147,148,154.5,137.5,,一般,,
2022/05/12,QXF,202206  ,152,152.5,146,146.5,-4,-2.66%,60.0,146.5,89,146.5,148,153.5,141,,一般,,
2022/05/12,QXF,202209  ,-,-,-,-,-,-,0.0,147.5,0,146,148,-,-,,一般,,
2022/05/12,QXF,202212  ,-,-,-,-,-,-,0.0,146.5,0,145.5,147,-,-,,一般,,
2022/05/12,QXF,202303  ,-,-,-,-,-,-,0.0,146.5,0,144.5,147,-,-,,一般,,
2022/05/13,QXF,202205  ,150,153.5,150,153.5,6,4.07%,171.0,153.5,746,153,153.5,154.5,137.5,,一般,,
2022/05/13,QXF,202206  ,150.5,153,150.5,153,6.5,4.44%,82.0,153,127,152.5,153.5,153.5,141,,一般,,
2022/05/13,QXF,202209  ,-,-,-,-,-,-,0.0,153.5,0,152,153.5,-,-,,一般,,
2022/05/13,QXF,202212  ,-,-,-,-,-,-,0.0,152.5,0,151.5,152.5,-,-,,一般,,
2022/05/13,QXF,202303  ,-,-,-,-,-,-,0.0,152.5,0,150.5,152.5,-,-,,一般,,
2022/05/16,QXF,202205  ,153.5,153.5,147.5,148,-5.5,-3.58%,233.0,148,730,147,148,154.5,137.5,,一般,,
2022/05/16,QXF,202206  ,153.5,153.5,147.5,147.5,-5.5,-3.59%,118.0,147.5,169,146.5,148,153.5,141,,一般,,
2022/05/16,QXF,202209  ,-,-,-,-,-,-,0.0,148,0,146,148,-,-,,一般,,
2022/05/16,QXF,202212  ,-,-,-,-,-,-,0.0,147,0,145.5,147,-,-,,一般,,
2022/05/16,QXF,202303  ,-,-,-,-,-,-,0.0,147,0,144.5,147,-,-,,一般,,
2022/05/17,QXF,202205  ,147,148.5,142.5,143,-5,-3.38%,426.0,143,621,142.5,143,154.5,137.5,,一般,,
2022/05/17,QXF,202206  ,146.5,147.5,142.5,143,-4.5,-3.05%,219.0,143,234,142.5,143,153.5,141,,一般,,
2022/05/17,QXF,202209  ,-,-,-,-,-,-,0.0,143,0,141.5,143,-,-,,一般,,
2022/05/17,QXF,202212  ,-,-,-,-,-,-,0.0,142,0,141,142,-,-,,一般,,
2022/05/17,QXF,202303  ,-,-,-,-,-,-,0.0,142,0,140.5,142,-,-,,一般,,
2022/05/18,QXF,202205  ,144.5,147,144,147,4,2.80%,358.0,0,445,146.5,147,154.5,137.5,,一般,,
2022/05/18,QXF,202206  ,143.5,147,143.5,146,3,2.10%,415.0,146,481,146,146.5,153.5,141,,一般,,
2022/05/18,QXF,202209  ,-,-,-,-,-,-,0.0,147,0,145,146.5,-,-,,一般,,
2022/05/18,QXF,202212  ,-,-,-,-,-,-,0.0,146,0,144.5,146,-,-,,一般,,
2022/05/18,QXF,202303  ,-,-,-,-,-,-,0.0,146,0,144,145.5,-,-,,一般,,
2022/05/19,QXF,202206  ,142.5,145.5,140,145.5,-0.5,-0.34%,366.0,145.5,539,145,145.5,153.5,140,,一般,,
2022/05/19,QXF,202207  ,141.5,141.5,141,141,-4.5,-3.09%,3.0,145,2,144.5,145.5,141.5,141,,一般,,
2022/05/19,QXF,202209  ,-,-,-,-,-,-,0.0,146.5,0,144,145.5,-,-,,一般,,
2022/05/19,QXF,202212  ,-,-,-,-,-,-,0.0,145.5,0,143.5,144.5,-,-,,一般,,
