交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/02/17,RA1,202303  ,116.5,118.5,116.5,116.5,-0.5,-0.43%,40.0,116.5,651,115.5,116.5,118.5,104,,一般,,
2023/02/17,RA1,202304  ,-,-,-,-,-,-,0.0,116,2,114.5,117.5,-,-,,一般,,
2023/02/20,RA1,202303  ,116.5,116.5,114,115.5,-1,-0.86%,79.0,116,615,116,117,118.5,104,,一般,,
2023/02/20,RA1,202304  ,-,-,-,-,-,-,0.0,116,2,115,117.5,-,-,,一般,,
2023/02/21,RA1,202303  ,116,118,115,117,1,0.86%,46.0,117,587,116,117,118.5,104,,一般,,
2023/02/21,RA1,202304  ,-,-,-,-,-,-,0.0,116,2,115.5,117.5,-,-,,一般,,
2023/02/22,RA1,202303  ,115.5,115.5,113,115,-2,-1.71%,76.0,116,563,115.5,117,118.5,104,,一般,,
2023/02/22,RA1,202304  ,114,114,114,114,-2,-1.72%,2.0,115.5,3,114.5,117.5,114,114,,一般,,
2023/02/23,RA1,202303  ,117.5,117.5,117,117.5,1.5,1.29%,35.0,118,544,117.5,118.5,118.5,104,,一般,,
2023/02/23,RA1,202304  ,117.5,117.5,117.5,117.5,2,1.73%,11.0,118,10,116.5,119.5,117.5,114,,一般,,
2023/02/24,RA1,202303  ,120.5,127,120.5,121.5,3.5,2.97%,25.0,122.5,547,121.5,-,127,104,,一般,,
2023/02/24,RA1,202304  ,-,-,-,-,-,-,0.0,123,10,121,-,117.5,114,,一般,,
2023/02/22,RA1,202303/202304    ,-,-,-,-,-,-,0.0,-,-,-0.51,0.01,-,-,,一般,2.0,
2023/02/23,RA1,202303/202304    ,-0.01,0.01,-0.01,0.01,-,-,9.0,-,-,-0.51,0.51,0.01,-0.01,,一般,2.0,
2023/03/01,RA1,202303  ,119.5,119.5,118,118.5,-4,-3.27%,4.0,121,546,119.5,122,127,104,,一般,,
2023/03/01,RA1,202304  ,-,-,-,-,-,-,0.0,121.5,10,118.5,122.5,117.5,114,,一般,,
2023/03/02,RA1,202303  ,118.5,119.5,118.5,119.5,-1.5,-1.24%,11.0,121,545,119.5,-,127,104,,一般,,
2023/03/02,RA1,202304  ,-,-,-,-,-,-,0.0,121.5,10,118.5,-,117.5,114,,一般,,
2023/03/03,RA1,202303  ,120,120,120,120,-1,-0.83%,10.0,120,540,119.5,121,127,104,,一般,,
2023/03/03,RA1,202304  ,-,-,-,-,-,-,0.0,120,10,118.5,121.5,117.5,114,,一般,,
2023/03/06,RA1,202303  ,120.5,121.5,120,121.5,1.5,1.25%,39.0,121.5,536,120,-,127,104,,一般,,
2023/03/06,RA1,202304  ,-,-,-,-,-,-,0.0,121.5,10,119.5,-,117.5,114,,一般,,
2023/03/07,RA1,202303  ,-,-,-,-,-,-,0.0,120,536,119,120.5,127,104,,一般,,
2023/03/07,RA1,202304  ,-,-,-,-,-,-,0.0,120,10,118.5,121,117.5,114,,一般,,
2023/03/08,RA1,202303  ,118,119,118,118.5,-1.5,-1.25%,10.0,120.5,536,119.5,-,127,104,,一般,,
2023/03/08,RA1,202304  ,-,-,-,-,-,-,0.0,120.5,10,119,-,117.5,114,,一般,,
2023/03/09,RA1,202303  ,121,121,121,121,0.5,0.41%,5.0,119,531,118.5,119.5,127,104,,一般,,
2023/03/09,RA1,202304  ,-,-,-,-,-,-,0.0,119.5,10,-,120,117.5,114,,一般,,
2023/03/10,RA1,202303  ,116.5,117.5,114,114,-5,-4.20%,21.0,115,527,114,115.5,127,104,,一般,,
2023/03/10,RA1,202304  ,-,-,-,-,-,-,0.0,115,10,113.5,116,117.5,114,,一般,,
