交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/06/16,RD1,202306  ,56.8,58.2,56.7,57.8,1.5,2.66%,120.0,57.8,576,57.8,58,66,56.7,,一般,,
2023/06/16,RD1,202307  ,57,58.1,57,58.1,2.1,3.75%,12.0,57.8,77,57.8,58.2,61.4,57,,一般,,
2023/06/16,RD1,202309  ,-,-,-,-,-,-,0.0,57.6,2,-,-,60,60,,一般,,
2023/06/19,RD1,202306  ,57.8,58,57.4,57.4,-0.4,-0.69%,23.0,57.4,558,57.3,57.5,66,56.7,,一般,,
2023/06/19,RD1,202307  ,57.7,57.7,57.6,57.6,-0.2,-0.35%,14.0,57.6,91,57.3,57.7,61.4,57,,一般,,
2023/06/19,RD1,202309  ,-,-,-,-,-,-,0.0,57.2,2,-,-,60,60,,一般,,
2023/06/20,RD1,202306  ,57.4,57.5,57.4,57.5,0.1,0.17%,6.0,57.5,552,57.3,57.5,66,56.7,,一般,,
2023/06/20,RD1,202307  ,57.6,-,-,57.6,0,0.00%,1.0,57.5,92,57.5,57.7,61.4,57,,一般,,
2023/06/20,RD1,202309  ,-,-,-,-,-,-,0.0,57.3,2,-,-,60,60,,一般,,
2023/06/21,RD1,202306  ,57.6,57.7,57.1,57.1,-0.4,-0.70%,32.0,0,521,56.5,56.7,66,56.7,,一般,,
2023/06/21,RD1,202307  ,57.7,57.7,56.8,56.8,-0.7,-1.22%,101.0,56.4,191,56.8,57,61.4,56.8,,一般,,
2023/06/21,RD1,202309  ,-,-,-,-,-,-,0.0,56.5,2,-,-,60,60,,一般,,
2023/06/26,RD1,202307  ,57,57.6,57,57.6,1.2,2.13%,35.0,57.6,225,57.6,60.1,61.4,56.8,,一般,,
2023/06/26,RD1,202309  ,-,-,-,-,-,-,0.0,57.7,2,-,-,60,60,,一般,,
2023/06/27,RD1,202307  ,57.6,60.3,57.6,59.6,2,3.47%,28.0,59.2,216,58.7,59.2,61.4,56.8,,一般,,
2023/06/27,RD1,202309  ,-,-,-,-,-,-,0.0,59.3,2,-,-,60,60,,一般,,
2023/06/28,RD1,202307  ,58.3,58.3,58.3,58.3,-0.9,-1.52%,1.0,58.8,215,58.3,60,61.4,56.8,,一般,,
2023/06/28,RD1,202309  ,-,-,-,-,-,-,0.0,58.9,2,-,-,60,60,,一般,,
2023/06/29,RD1,202307  ,59.2,59.2,59.2,59.2,0.4,0.68%,3.0,59.3,213,-,59.5,61.4,56.8,,一般,,
2023/06/29,RD1,202309  ,-,-,-,-,-,-,0.0,59.4,2,-,-,60,60,,一般,,
2023/06/30,RD1,202307  ,58.6,58.6,58.4,58.5,-0.8,-1.35%,6.0,58.2,207,57.6,60.5,61.4,56.8,,一般,,
2023/06/30,RD1,202309  ,-,-,-,-,-,-,0.0,58.3,2,-,-,60,60,,一般,,
2023/06/16,RD1,202306/202307    ,0,0,0,0,-,-,4.0,-,-,0.01,0.14,0.06,-0.09,,一般,6.0,
2023/06/19,RD1,202306/202307    ,0.13,0.13,0.05,0.05,-,-,12.0,-,-,0.02,0.14,0.13,-0.09,,一般,2.0,
2023/06/20,RD1,202306/202307    ,0.13,0.13,0.13,0.13,-,-,1.0,-,-,0.03,0.17,0.13,-0.09,,一般,0.0,
2023/06/21,RD1,202306/202307    ,0.18,0.18,0.06,0.06,-,-,21.0,-,-,-,-,0.18,-0.09,,一般,0.0,
2023/07/03,RD1,202307  ,57,57,57,57,-1.2,-2.06%,3.0,57.5,204,-,-,61.4,56.8,,一般,,
2023/07/03,RD1,202309  ,-,-,-,-,-,-,0.0,57.6,2,-,-,60,60,,一般,,
2023/07/04,RD1,202307  ,57.4,57.4,57.4,57.4,-0.1,-0.17%,1.0,57.4,203,56.8,57.4,61.4,56.8,,一般,,
2023/07/04,RD1,202309  ,-,-,-,-,-,-,0.0,57.5,2,-,-,60,60,,一般,,
2023/07/05,RD1,202307  ,-,-,-,-,-,-,0.0,57.3,203,57.1,58,61.4,56.8,,一般,,
2023/07/05,RD1,202309  ,-,-,-,-,-,-,0.0,57.4,2,56.8,-,60,60,,一般,,
2023/07/06,RD1,202307  ,56.6,56.6,56.5,56.5,-0.8,-1.40%,3.0,56.5,200,-,56.8,61.4,56.5,,一般,,
2023/07/06,RD1,202309  ,-,-,-,-,-,-,0.0,56.6,2,-,-,60,60,,一般,,
2023/07/07,RD1,202307  ,56.7,56.7,56.7,56.7,0.2,0.35%,1.0,56.5,199,56.4,57.8,61.4,56.5,,一般,,
2023/07/07,RD1,202309  ,-,-,-,-,-,-,0.0,56.6,2,56.2,-,60,60,,一般,,
2023/07/10,RD1,202307  ,58,58,58,58,1.5,2.65%,1.0,57,198,-,57.1,61.4,56.5,,一般,,
2023/07/10,RD1,202309  ,-,-,-,-,-,-,0.0,57.1,2,-,57.2,60,60,,一般,,
2023/07/11,RD1,202307  ,57,57,57,57,0,0.00%,1.0,56.7,197,53.1,57,61.4,56.5,,一般,,
2023/07/11,RD1,202309  ,-,-,-,-,-,-,0.0,56.8,2,-,57,60,60,,一般,,
2023/07/12,RD1,202307  ,-,-,-,-,-,-,0.0,55.5,197,52.5,56.9,61.4,56.5,,一般,,
2023/07/12,RD1,202309  ,-,-,-,-,-,-,0.0,55.6,2,-,56.9,60,60,,一般,,
2023/07/13,RD1,202307  ,-,-,-,-,-,-,0.0,53.7,197,50,55.5,61.4,56.5,,一般,,
2023/07/13,RD1,202309  ,-,-,-,-,-,-,0.0,53.8,2,-,54.6,60,60,,一般,,
2023/07/14,RD1,202307  ,-,-,-,-,-,-,0.0,54.3,197,48.4,57.1,61.4,56.5,,一般,,
2023/07/14,RD1,202309  ,-,-,-,-,-,-,0.0,54.4,2,-,-,60,60,,一般,,
2023/07/17,RD1,202307  ,56.5,57.5,56.5,57.5,3.2,5.89%,4.0,57.1,193,48.9,57.4,61.4,56.5,,一般,,
2023/07/17,RD1,202309  ,-,-,-,-,-,-,0.0,57.2,2,-,57.6,60,60,,一般,,
2023/07/18,RD1,202307  ,-,-,-,-,-,-,0.0,55.5,193,-,62,61.4,56.5,,一般,,
2023/07/18,RD1,202309  ,-,-,-,-,-,-,0.0,55.6,2,-,56.1,60,60,,一般,,
2023/07/19,RD1,202307  ,-,-,-,-,-,-,0.0,0,193,50,56,61.4,56.5,,一般,,
2023/07/19,RD1,202309  ,-,-,-,-,-,-,0.0,55.8,2,-,-,60,60,,一般,,
2023/07/20,RD1,202309  ,-,-,-,-,-,-,0.0,56,2,-,-,60,60,,一般,,
2023/07/21,RD1,202309  ,-,-,-,-,-,-,0.0,55.4,2,-,-,60,60,,一般,,
2023/07/24,RD1,202309  ,-,-,-,-,-,-,0.0,54.4,2,-,-,60,60,,一般,,
2023/07/25,RD1,202309  ,-,-,-,-,-,-,0.0,54.6,2,-,-,60,60,,一般,,
2023/07/26,RD1,202309  ,-,-,-,-,-,-,0.0,53.4,2,-,-,60,60,,一般,,
2023/07/27,RD1,202309  ,-,-,-,-,-,-,0.0,53.5,2,-,-,60,60,,一般,,
2023/07/28,RD1,202309  ,-,-,-,-,-,-,0.0,53.1,2,-,-,60,60,,一般,,
2023/07/31,RD1,202309  ,-,-,-,-,-,-,0.0,52.8,2,-,-,60,60,,一般,,
2023/08/01,RD1,202309  ,-,-,-,-,-,-,0.0,52.8,2,-,-,60,60,,一般,,
2023/08/02,RD1,202309  ,-,-,-,-,-,-,0.0,51.7,2,-,-,60,60,,一般,,
2023/08/04,RD1,202309  ,-,-,-,-,-,-,0.0,52.7,2,-,-,60,60,,一般,,
2023/08/07,RD1,202309  ,-,-,-,-,-,-,0.0,51.9,2,-,-,60,60,,一般,,
2023/08/08,RD1,202309  ,-,-,-,-,-,-,0.0,51,2,-,-,60,60,,一般,,
2023/08/09,RD1,202309  ,-,-,-,-,-,-,0.0,50.9,2,-,-,60,60,,一般,,
2023/08/10,RD1,202309  ,-,-,-,-,-,-,0.0,51,2,-,-,60,60,,一般,,
2023/08/11,RD1,202309  ,-,-,-,-,-,-,0.0,50.9,2,-,-,60,60,,一般,,
2023/08/14,RD1,202309  ,-,-,-,-,-,-,0.0,47.05,2,-,-,60,60,,一般,,
2023/08/15,RD1,202309  ,-,-,-,-,-,-,0.0,49.1,2,-,-,60,60,,一般,,
2023/08/16,RD1,202309  ,-,-,-,-,-,-,0.0,49.5,2,-,-,60,60,,一般,,
2023/08/17,RD1,202309  ,-,-,-,-,-,-,0.0,49.1,2,-,-,60,60,,一般,,
2023/08/18,RD1,202309  ,-,-,-,-,-,-,0.0,48.5,2,-,-,60,60,,一般,,
2023/08/21,RD1,202309  ,-,-,-,-,-,-,0.0,48.9,2,49,-,60,60,,一般,,
2023/08/22,RD1,202309  ,-,-,-,-,-,-,0.0,48.05,2,-,-,60,60,,一般,,
2023/08/23,RD1,202309  ,-,-,-,-,-,-,0.0,48.2,2,-,-,60,60,,一般,,
2023/08/24,RD1,202309  ,-,-,-,-,-,-,0.0,48.1,2,-,-,60,60,,一般,,
2023/08/25,RD1,202309  ,-,-,-,-,-,-,0.0,48.3,2,-,-,60,60,,一般,,
2023/08/28,RD1,202309  ,-,-,-,-,-,-,0.0,48.3,2,-,-,60,60,,一般,,
2023/08/29,RD1,202309  ,-,-,-,-,-,-,0.0,49.8,2,-,-,60,60,,一般,,
2023/08/30,RD1,202309  ,-,-,-,-,-,-,0.0,51.2,2,51,53,60,60,,一般,,
2023/08/31,RD1,202309  ,51.4,51.4,51.4,51.4,0.2,0.39%,1.0,51.1,3,51,-,60,51.4,,一般,,
2023/09/01,RD1,202309  ,-,-,-,-,-,-,0.0,50.7,3,-,-,60,51.4,,一般,,
2023/09/04,RD1,202309  ,-,-,-,-,-,-,0.0,50,3,-,-,60,51.4,,一般,,
2023/09/05,RD1,202309  ,-,-,-,-,-,-,0.0,49.4,3,-,-,60,51.4,,一般,,
2023/09/06,RD1,202309  ,-,-,-,-,-,-,0.0,49.1,3,-,-,60,51.4,,一般,,
2023/09/07,RD1,202309  ,-,-,-,-,-,-,0.0,49.1,3,-,-,60,51.4,,一般,,
2023/09/08,RD1,202309  ,-,-,-,-,-,-,0.0,49.1,3,-,-,60,51.4,,一般,,
2023/09/11,RD1,202309  ,-,-,-,-,-,-,0.0,49.4,3,-,-,60,51.4,,一般,,
2023/09/12,RD1,202309  ,-,-,-,-,-,-,0.0,49.9,3,-,-,60,51.4,,一般,,
2023/09/13,RD1,202309  ,-,-,-,-,-,-,0.0,50.5,3,-,-,60,51.4,,一般,,
2023/09/14,RD1,202309  ,-,-,-,-,-,-,0.0,51.3,3,49.15,-,60,51.4,,一般,,
2023/09/15,RD1,202309  ,-,-,-,-,-,-,0.0,51.7,3,-,-,60,51.4,,一般,,
2023/09/18,RD1,202309  ,-,-,-,-,-,-,0.0,51.9,3,-,-,60,51.4,,一般,,
2023/09/19,RD1,202309  ,-,-,-,-,-,-,0.0,50.4,3,-,-,60,51.4,,一般,,
2023/09/20,RD1,202309  ,50.2,50.2,50.2,50.2,-0.2,-0.40%,1.0,0,2,45.45,55.4,60,50.2,,一般,,
