交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/02/10,RDF,202302  ,67.4,67.7,66.6,67,0.3,0.45%,83.0,67,71,67.5,-,67.7,66.6,,一般,,
2023/02/10,RDF,202303  ,67.6,67.7,66.8,66.9,0.1,0.15%,28.0,66.9,25,67.4,-,67.7,66.8,,一般,,
2023/02/10,RDF,202306  ,-,-,-,-,-,-,0.0,67.4,0,65.5,-,-,-,,一般,,
2023/02/10,RDF,202309  ,-,-,-,-,-,-,0.0,67.7,0,65.4,-,-,-,,一般,,
2023/02/10,RDF,202312  ,-,-,-,-,-,-,0.0,67.9,0,-,-,-,-,,一般,,
2023/02/13,RDF,202302  ,67.9,68.3,66.8,66.8,-0.2,-0.30%,61.0,66.8,44,60.5,67.4,68.3,66.6,,一般,,
2023/02/13,RDF,202303  ,67.9,68.3,66.5,66.5,-0.4,-0.60%,105.0,66.5,115,66.5,67.3,68.3,66.5,,一般,,
2023/02/13,RDF,202306  ,-,-,-,-,-,-,0.0,67.2,0,-,70.5,-,-,,一般,,
2023/02/13,RDF,202309  ,-,-,-,-,-,-,0.0,67.5,0,-,70.5,-,-,,一般,,
2023/02/13,RDF,202312  ,-,-,-,-,-,-,0.0,67.7,0,-,70.5,-,-,,一般,,
2023/02/14,RDF,202302  ,66.1,66.5,65.7,66.2,-0.6,-0.90%,33.0,66.2,14,63.7,66.9,68.3,65.7,,一般,,
2023/02/14,RDF,202303  ,66.5,66.6,65.6,65.7,-0.8,-1.20%,52.0,65.7,166,65.7,66.8,68.3,65.6,,一般,,
2023/02/14,RDF,202306  ,-,-,-,-,-,-,0.0,66.4,0,-,70.4,-,-,,一般,,
2023/02/14,RDF,202309  ,-,-,-,-,-,-,0.0,66.7,0,-,70.4,-,-,,一般,,
2023/02/14,RDF,202312  ,-,-,-,-,-,-,0.0,66.9,0,-,70.4,-,-,,一般,,
2023/02/15,RDF,202302  ,-,-,-,-,-,-,0.0,0,14,65.9,66,68.3,65.7,,一般,,
2023/02/15,RDF,202303  ,66.7,66.8,65.7,66.2,0.5,0.76%,129.0,66.2,279,66.4,68.6,68.3,65.6,,一般,,
2023/02/15,RDF,202306  ,-,-,-,-,-,-,0.0,66.2,0,64.5,70.5,-,-,,一般,,
2023/02/15,RDF,202309  ,-,-,-,-,-,-,0.0,66.5,0,64.5,70.5,-,-,,一般,,
2023/02/15,RDF,202312  ,-,-,-,-,-,-,0.0,66.7,0,64.5,70.5,-,-,,一般,,
2023/02/16,RDF,202303  ,66.5,67.3,66.3,67.1,0.9,1.36%,62.0,67.1,330,67.1,67.7,68.3,65.6,,一般,,
2023/02/16,RDF,202304  ,67.1,67.1,67.1,67.1,1,1.51%,1.0,67.1,1,66.9,67.7,67.1,67.1,,一般,,
2023/02/16,RDF,202306  ,-,-,-,-,-,-,0.0,67.1,0,65.2,69.6,-,-,,一般,,
2023/02/16,RDF,202309  ,-,-,-,-,-,-,0.0,67.4,0,65.2,69.6,-,-,,一般,,
2023/02/16,RDF,202312  ,-,-,-,-,-,-,0.0,67.6,0,65.2,69.6,-,-,,一般,,
