交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/03/10,RF1,202303  ,806,806,800,800,-21,-2.56%,21.0,806,65,737,803,886,800,,一般,,
2023/03/10,RF1,202304  ,805,806,805,805,-15,-1.83%,6.0,807,92,-,804,882,804,,一般,,
2023/03/10,RF1,202306  ,-,-,-,-,-,-,0.0,808,1,-,-,823,823,,一般,,
2023/03/13,RF1,202303  ,799,799,799,799,-7,-0.87%,2.0,791,65,787,800,886,799,,一般,,
2023/03/13,RF1,202304  ,799,799,799,799,-8,-0.99%,1.0,793,92,-,799,882,799,,一般,,
2023/03/13,RF1,202306  ,-,-,-,-,-,-,0.0,793,1,-,-,823,823,,一般,,
2023/03/14,RF1,202303  ,791,792,782,782,-9,-1.14%,13.0,782,59,780,793,886,782,,一般,,
2023/03/14,RF1,202304  ,786,786,782,782,-11,-1.39%,5.0,785,93,750,789,882,782,,一般,,
2023/03/14,RF1,202306  ,-,-,-,-,-,-,0.0,788,1,-,-,823,823,,一般,,
2023/03/15,RF1,202303  ,794,810,794,803,21,2.69%,7.0,0,58,795,798,886,782,,一般,,
2023/03/15,RF1,202304  ,807,807,807,807,22,2.80%,3.0,797,93,779,815,882,782,,一般,,
2023/03/15,RF1,202306  ,-,-,-,-,-,-,0.0,800,1,-,-,823,823,,一般,,
2023/03/16,RF1,202304  ,793,795,792,792,-5,-0.63%,16.0,786,81,732,794,882,782,,一般,,
2023/03/16,RF1,202306  ,-,-,-,-,-,-,0.0,789,1,-,-,823,823,,一般,,
2023/03/17,RF1,202304  ,816,816,816,816,30,3.82%,5.0,812,81,713,823,882,782,,一般,,
2023/03/17,RF1,202306  ,-,-,-,-,-,-,0.0,815,1,-,-,823,823,,一般,,
2023/03/20,RF1,202304  ,824,892,822,892,80,9.85%,36.0,893,48,888,893,892,782,,一般,,
2023/03/20,RF1,202306  ,-,-,-,-,-,-,0.0,896,1,-,-,823,823,,一般,,
2023/03/21,RF1,202304  ,940,940,915,915,22,2.46%,6.0,924,47,915,981,940,782,,一般,,
2023/03/21,RF1,202306  ,910,910,910,910,14,1.56%,1.0,927,0,-,-,910,823,,一般,,
2023/03/22,RF1,202304  ,-,-,-,-,-,-,0.0,899,47,835,994,940,782,,一般,,
2023/03/23,RF1,202304  ,906,915,883,899,0,0.00%,6.0,893,46,811,929,940,782,,一般,,
2023/03/24,RF1,202304  ,899,899,899,899,6,0.67%,1.0,903,45,805,-,940,782,,一般,,
2023/03/27,RF1,202304  ,918,918,918,918,15,1.66%,1.0,922,44,917,-,940,782,,一般,,
2023/03/28,RF1,202304  ,932,932,927,927,5,0.54%,2.0,924,43,915,-,940,782,,一般,,
2023/03/29,RF1,202304  ,-,-,-,-,-,-,0.0,924,43,833,-,940,782,,一般,,
2023/03/30,RF1,202304  ,-,-,-,-,-,-,0.0,933,43,928,939,940,782,,一般,,
2023/03/31,RF1,202304  ,929,930,926,930,-3,-0.32%,9.0,926,44,917,930,940,782,,一般,,
2023/03/14,RF1,202303/202304    ,-0.01,-0.01,-0.01,-0.01,-,-,2.0,-,-,-,-0.02,-0.01,-1.11,,一般,2.0,
2023/03/15,RF1,202303/202304    ,-0.01,-0.01,-0.01,-0.01,-,-,1.0,-,-,-,-,-0.01,-1.11,,一般,0.0,
2023/04/06,RF1,202304  ,-,-,-,-,-,-,0.0,921,44,915,930,940,782,,一般,,
2023/04/07,RF1,202304  ,929,929,929,929,8,0.87%,1.0,920,43,916,926,940,782,,一般,,
2023/04/10,RF1,202304  ,934,939,934,938,18,1.96%,6.0,935,45,934,939,940,782,,一般,,
2023/04/11,RF1,202304  ,939,942,939,942,7,0.75%,6.0,934,41,931,939,942,782,,一般,,
2023/04/12,RF1,202304  ,947,947,947,947,13,1.39%,1.0,957,41,953,960,947,782,,一般,,
2023/04/13,RF1,202304  ,953,953,932,932,-25,-2.61%,3.0,931,43,927,941,953,782,,一般,,
2023/04/14,RF1,202304  ,-,-,-,-,-,-,0.0,938,43,936,940,953,782,,一般,,
2023/04/17,RF1,202304  ,-,-,-,-,-,-,0.0,941,43,933,948,953,782,,一般,,
2023/04/18,RF1,202304  ,-,-,-,-,-,-,0.0,932,43,933,940,953,782,,一般,,
2023/04/19,RF1,202304  ,-,-,-,-,-,-,0.0,0,43,935,937,953,782,,一般,,
